,rxns_added
0,GMPt6
1,ILEASNHISr
2,EX_trpthrile_e
3,ASPVALASNr
4,CYOO2ppc
5,BPNT
6,ALATA_L
7,URCN
8,CYOO_HP
9,GTHPe
10,ILEARGILEr
11,ASPTA6
12,EX_pnto__R_e
13,HISD_c
14,CITt2r
15,SO4CLtex
16,PNTOt2
17,ILEASNHISt
18,FERIRDe
19,GLNt
20,PYDXO
21,CLOHtex2_1
22,ASNASNARGt
23,THRASNTYRr
24,CYSDS
25,FUM
26,PSERT
27,r0368
28,THRTHRARGr
29,TRPTHRILEr
30,LYSt5r
31,GLUSfx
32,PGCD
33,MDH
34,NADHDH
35,NDH_1
36,IZPN_1
37,PGMfc
38,r0366
39,MTHFD
40,ILEARGILEt
41,EX_asnasnarg_e
42,METtec
43,CS
44,H2O2t
45,r1665
46,GTHOXti
47,BC10_new
48,HMR_3951
49,VALLEUPHEt
50,PPC
51,PROPAT4te
52,r0381
53,THRASNTYRt
54,HISDr
55,ADSL1r
56,ASNASNARGr
57,LEUASNASPr
58,GLYCL_2
59,CYSAMO_cho
60,EX_thrthrarg_e
61,SO4t_e
62,EX_aspvalasn_e
63,CYTMQOR3ppc
64,GTHOr
65,GLNtN1
66,EX_thrasntyr_e
67,VALLEUPHEr
68,FORAMD
69,ADSS
70,GLYC3tr
71,TRPTHRILEt
72,FTCD
73,LEUASNASPt
74,GLYCLTDy
75,G3POc
76,THRTHRARGt
77,EX_valleuphe_e
78,FA182COAabcpc
79,GluForTx
80,TAURt
81,PDYXPT_c
82,PNTEH
83,EX_ileargile_e
84,EX_leuasnasp_e
85,EX_ileasnhis_e
86,FDH3
87,GMPR
88,ASPVALASNt
89,SULR_1
90,PSP_L
91,PAN4PP
