,rxns_added
0,PCHOLHSTDe_1nhs
1,PPCDC
2,PLA2PC_HDE_ARA_c
3,AHMMPS_1
4,PLDAGAT_MYRS_EPA_ARA_PE_15_c
5,PLA2_2nhs
6,DAGK_LNA_LNA_c
7,PI4PP_cho
8,PAPA_LNA_EPA_c
9,DHNANT
10,PINOS_SC
11,PLDAGAT_OLE_EPA_DHA_PE_11_c
12,PLDAGAT_HDE_EPA_LNA_PC_2_c
13,PLDPC_LNA_DHA_c
14,ETHAPT_HDE_ARA_c
15,PAPA_HDE_ARA_c
16,PAPA_LNA_ARA_c
17,RETt
18,DAGCPT
19,INSCR
20,APATr
21,PLDAGAT_MYRS_EPA_ARA_PC_5_c
22,AGPATCOA_STC_OLE_c
23,DAGK_OLE_OLE_c
24,ETHAPT_STC_LNA_c
25,lipid2
26,RETFAt
27,ETHAPT_STC_ARA_c
28,LPEAT_LNA_EPA_sn2_c
29,HMR_2495
30,PGPPT_cho
31,DASYN_SC
32,PLDAGAT_PALM_PALM_LNA_PC_4_c
33,PI45P5P_cho
34,PI45PLC_cho
35,ETHAPT_LNA_LNA_c
36,LPCH1819Z_sn1_c
37,ACPS
38,EX_retfa_e
39,GAPD
40,VOR
41,LPEAT_HDE_ARA_sn2_c
42,PLDPC_HDE_ARA_c
43,NADPPPS
44,CHOPT_HDE_DHA_c
45,PAPA_LNA_DHA_c
46,LPS3_cho
47,PLDPC_LNA_ARA_c
48,pc_prod
49,PLDPC_LNA_EPA_c
50,PAPA_STC_ARA_c
51,RE3126C
52,DMBZIDS
53,PLDAGAT_PALM_PALM_LNA_PC_2_c
54,CDIPTr_cho
55,LRATnhs
56,MOGAT_cho
57,LPEAT_STC_LNA_sn2_c
58,DHNAPHT
59,PLPSD1819Z1819Z
60,AGPAT1819Z1819Zhc
61,FTHFCL_1
62,RE3124C
63,PCW3DS_LNA_EPA_sn2_c
64,CLS_cho
65,PLA2PE_DHA_ARA_c
66,DAGAH_LNA_ARA_c
67,ETHAPT_HDE_DHA_c
68,PAPA_STC_LNA_c
69,PLDPC_STC_LNA_c
70,EX_retinol_e
71,HMR_0378
72,PCHOLN203_HSPLA2nhs
73,PLA2PE_EPA_ARA_c
74,CHOLESTle_1nhs
75,DESAT20_1
76,LCAT49enhs
77,PGPP_cho
78,CHOPT_OLE_OLE_c
79,DBRC
80,PLDAGAT_HDE_EPA_LNA_PE_13_c
81,RBK
82,PCW3DS_STC_EPA_sn2_c
83,LPEAT_STC_ARA_sn2_c
84,LPCAT_STC_EPA_sn2_c
85,DAGAH_LNA_LNA_c
86,PKETF
87,OORr
88,LPEAT_DHA_GLNA_sn2_c
89,LPEH2264Z7Z10Z13Z16Z19Z_sn1_c
90,PLPSD18111Z1819Z
91,AGPAT18111Z1819Zhc
92,LPCAT_LNA_LNA_sn2_c
93,PLDPC_STC_ARA_c
94,RE3125C
95,PCHOLN203_HSABCtnhs
96,ETHAPT_LNA_EPA_c
97,LPCAT_OLE_OLE_sn2_c
98,PLDPC_LNA_LNA_c
