,rxns_added
0,ALATA_L: akg_c + ala__L_c --> glu__L_c + pyr_c
1,EX_pap_e: pap_e <=> 
2,3HAO: 3hanthrn_c + o2_c --> cmusa_c + h_c
3,ASNS2: asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c
4,EX_arg__L_e: arg__L_e <=> 
5,AMETt2: amet_e + h_e --> amet_c + h_c
6,H2ASE_syn: h_c + nadph_c --> h2_c + nadp_c
7,CYTK3: cmp_c + gtp_c --> cdp_c + gdp_c
8,HCYSMT: amet_c + hcys__L_c --> ahcys_c + h_c + met__L_c
9,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
10,G5SD2: glu5p_c + h_c + nadh_c --> glu5sa_c + nad_c + pi_c
11,FKYNH: Lfmkynr_c + h2o_c --> Lkynr_c + for_c + h_c
12,GLU5K: atp_c + glu__L_c --> adp_c + glu5p_c
13,AMCOXO: amuco_c + h2o_c + h_c + nadph_c --> 2oxoadp_c + nadp_c + nh4_c
14,EX_val__L_e: val__L_e <=> 
15,ETHAPT_STC_STC_c: 12dgr180_c + cdpea_c --> cmp_c + h_c + pe180_c
16,PRUK: atp_c + ru5p__D_c --> adp_c + h_c + rb15bp_c
17,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
18,PAPA18111Z1819Z: h2o_c + pa18111Z1819Z_c --> 12dgr18111Z1819Z_c + pi_c
19,AM6SAD: am6sa_c + h2o_c + nad_c --> amuco_c + 2.0 h_c + nadh_c
20,H2Ot: h2o_e <=> h2o_c
21,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
22,SACCD2: h2o_c + nad_c + saccrp__L_c <=> akg_c + h_c + lys__L_c + nadh_c
23,r1860: cys__L_c + na1_e + val__L_e --> cys__L_e + na1_c + val__L_c
24,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
25,NAD_H2: h_c + nadh_c --> h2_c + nad_c
26,GTHOXti: gthox_e --> gthox_c
27,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
28,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
29,RBPC: co2_c + h2o_c + rb15bp_c --> 2.0 3pg_c + 2.0 h_c
30,ERTHMMOR: nad_c + r3mmal_c --> 2obut_c + co2_c + nadh_c
31,CHORM: chor_c --> pphn_c
32,ETHAAL: etha_c --> acald_c + nh4_c
33,DHQS: 2dda7p_c --> 3dhq_c + pi_c
34,PAPt: pap_e <=> pap_c
35,GLNS: atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c
36,DHQTi: 3dhq_c --> 3dhsk_c + h2o_c
37,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
38,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
39,AASAD2: L2aadp_c + atp_c + h_c + nadh_c --> L2aadp6sa_c + amp_c + nad_c + ppi_c
40,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
41,r2016: arg__L_e + cys__L_c --> arg__L_c + cys__L_e
42,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
43,araphe2: 3mop_c + phe__L_c --> ile__L_c + phpyr_c
44,CITMS: accoa_c + h2o_c + pyr_c --> citm_c + coa_c + h_c
45,CITCIb: citac_c + h2o_c --> r3mmal_c
46,EX_thr__L_e: thr__L_e <=> 
47,EX_leu__L_e: leu__L_e <=> 
48,TALA: g3p_c + s7p_c --> e4p_c + f6p_c
49,FDH7: co2_c + fdxr_42_c + h_c --> fdxo_42_c + for_c
50,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
51,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
52,PPND2: nadp_c + pphn_c --> 34hpp_c + co2_c + nadph_c
53,TKT1: r5p_c + xu5p__D_c <=> g3p_c + s7p_c
54,ACAFDOR: acald_c + fdxo_42_c + h2o_c --> ac_c + fdxr_42_c + 3.0 h_c
55,PSSA141: cdpdtdec7eg_c + ser__L_c --> cmp_c + h_c + ps141_c
56,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
57,PDYXPT_c: pydam_c + pyr_c --> ala__L_c + pydx_c
58,PSD141: h_c + ps141_c --> co2_c + pe141_c
59,FERIRDe: 2.0 fe3_e + qh2_c --> 2.0 fe2_e + 2.0 h_e + q_c
60,EX_amet_e: amet_e <=> 
61,THRCYSNaEx: cys__L_c + na1_e + thr__L_e --> cys__L_e + na1_c + thr__L_c
62,MALS: accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c
63,DAGK141: 12dgr141_c + atp_c --> adp_c + h_c + pa141_c
64,CYSt2r: cys__L_e + h_e <=> cys__L_c + h_c
65,HKYNH: h2o_c + hLkynr_c --> 3hanthrn_c + ala__L_c
66,TKT2: e4p_c + xu5p__D_c <=> f6p_c + g3p_c
67,CITCIa: citm_c --> citac_c + h2o_c
68,EX_his__L_e: his__L_e <=> 
69,r1815: cys__L_c + leu__L_e + na1_e --> cys__L_e + leu__L_c + na1_c
70,lipid5: pe_c <=> pe120_c + pe140_c + pe141_c + pe160_c + pe161_c + pe180_c + pe181_c
71,PCLAD: cmusa_c + h_c --> am6sa_c + co2_c
72,RPEc: 2.0 ru5p__D_c <=> 2.0 xu5p__D_c
73,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
74,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
75,PRAIi: pran_c --> 2cpr5p_c
76,ETHAPT_MYRS_MYRS_c: 12dgr140_c + cdpea_c --> cmp_c + h_c + pe140_c
77,BPNT: h2o_c + pap_c --> amp_c + pi_c
78,PSD120: h_c + ps120_c --> co2_c + pe120_c
79,lipid3: dag_c <=> 12dgr120_c + 12dgr140_c + 12dgr141_c + 12dgr160_c + 12dgr161_c + 12dgr180_c + 12dgr181_c
80,r2048: cys__L_c + his__L_e --> cys__L_e + his__L_c
81,BGLK: atp_c + cellb_c + h2o_c --> adp_c + g6p_c + glc__D_c + h_c
82,PSSA120: cdpdddecg_c + ser__L_c --> cmp_c + h_c + ps120_c
83,ETHAPT_HDE_HDE_c: 12dgr161_c + cdpea_c --> cmp_c + h_c + pe161_c
84,CELASE2: cell6_c + 2.0 h2o_c --> 3.0 cellb_c
85,PHETA1: akg_c + phe__L_c <=> glu__L_c + phpyr_c
86,CHORS: 3psme_c --> chor_c + pi_c
87,DAGK120: 12dgr120_c + atp_c --> adp_c + h_c + pa120_c
88,KYN3OX: Lkynr_c + h_c + nadph_c + o2_c --> h2o_c + hLkynr_c + nadp_c
89,ETHAPT: cdpea_c + 0.01 dag_c <=> cmp_c + h_c + 0.01 pe_c
90,DAGK181: 12dgr181_c + atp_c --> adp_c + h_c + pa181_c
91,PSD181: h_c + ps181_c --> co2_c + pe181_c
92,ETHAPT_PALM_PALM_c: 12dgr160_c + cdpea_c --> cmp_c + h_c + pe160_c
93,PSSA181: cdpdodec11eg_c + ser__L_c --> cmp_c + h_c + ps181_c
94,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
95,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
96,TRPO2: o2_c + trp__L_c --> Lfmkynr_c
97,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
98,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
99,G5SADs: glu5sa_c <=> 1pyr5c_c + h2o_c + h_c
