,rxns_added
0,EX_leuleutrp_e
1,GLS2
2,EX_argserser_e
3,THRASNTYRt
4,GTHRDH_syn
5,THRASNTYRr
6,EX_valhisasn_e
7,LEULEUTRPt
8,SUCOAACTr
9,PYDXO
10,EX_lyslyslys_e
11,PSP_L
12,ALDD2x
13,ASPTA6
14,EX_ileasnhis_e
15,LYSLYSLYSt
16,SULR_1
17,XTSNH
18,VALLEUPHEr
19,IMPtr
20,AMETt2
21,ILEPROLYSt
22,SULR_2
23,CYSt2r
24,FERIRDe
25,GLNTYRLEUr
26,ALLTAMH
27,ARGSERSERr
28,ATNAHc
29,PSERT
30,EX_thrasntyr_e
31,XAND
32,THRTHRARGt
33,MALS
34,POX2
35,CYOO_HP
36,ILEPROLYSr
37,PDYXPT_c
38,ILEASNHISr
39,EX_hislysthr_e
40,EX_thrthrarg_e
41,ARGSERSERt
42,SO4HCOtex
43,ILEASNHISt
44,PPM2
45,HISD_c
46,HCYSMT
47,THRTHRARGr
48,DRPA
49,PUNP4
50,LYSLYSLYSr
51,EX_ileprolys_e
52,EX_glntyrleu_e
53,VALHISASNr
54,GUAD_1
55,HISLYSTHRr
56,GLNTYRLEUt
57,GLNS
58,URIC
59,VALHISASNt
60,HISLYSTHRt
61,ICL
62,GTHOXti
63,LEULEUTRPr
64,DGTPtmc
65,SO4t_e
66,UGLYCH
67,PYDXO_1
68,VALLEUPHEt
69,EX_valleuphe_e
70,ASNS2
71,PGCD
