,rxns_added
0,LYSLYSLYSt
1,GLCMAN600b_e
2,EX_lyspheile_e
3,ASPVALASNt
4,HCYSMT
5,EX_lystyrile_e
6,GTHRDH_syn
7,TRPTHRILEr
8,ASPVALASNr
9,PYDXO
10,H2Ot
11,ALALYSTHRr
12,H2O2t
13,FRUt1r
14,GMPt6
15,EX_aspvalasn_e
16,ALAASNLEUt
17,LEUASNASPr
18,ORNCD
19,EX_glcman600_e
20,ILESERARGt
21,ILESERARGr
22,EX_trpthrile_e
23,GLCMAN6
24,ARGSERSERr
25,EX_alaasnleu_e
26,THRASNTYRr
27,EX_ileserarg_e
28,ALAASNLEUr
29,PSP_L
30,PGCD
31,HISD_c
32,EX_valleuphe_e
33,GTHOXti
34,ILEASNHISt
35,VALLEUPHEt
36,EX_alalysthr_e
37,LYSTYRILEt
38,VALLEUPHEr
39,EX_ileasnhis_e
40,TRPTHRILEt
41,GMPR
42,LYSPHEILEt
43,ILEASNHISr
44,ARGSERSERt
45,PDYXPT_c
46,EX_lyslyslys_e
47,CYSt2r
48,THRASNTYRt
49,EX_argserser_e
50,PSERT
51,LYSTYRILEr
52,EX_leuasnasp_e
53,EX_thrasntyr_e
54,GLCMAN6abc
55,LEUASNASPt
56,LYSLYSLYSr
57,LYSPHEILEr
58,AMETt2
59,ALALYSTHRt
60,r2032
61,ASPTA6
