,rxns_added
0,GLYO1: gly_c + h2o_c + o2_c --> glx_c + h2o2_c + nh4_c
1,EX_leu__L_e: leu__L_e <=> 
2,TKT2: e4p_c + xu5p__D_c <=> f6p_c + g3p_c
3,BPNT: h2o_c + pap_c --> amp_c + pi_c
4,MTHFD: mlthf_c + nadp_c <=> methf_c + nadph_c
5,KYN3OX: Lkynr_c + h_c + nadph_c + o2_c --> h2o_c + hLkynr_c + nadp_c
6,CHITPH: chit6p_c + h2o_c --> acgam6p_c + acgam_c
7,ACAFDOR: acald_c + fdxo_42_c + h2o_c --> ac_c + fdxr_42_c + 3.0 h_c
8,THRCYSNaEx: cys__L_c + na1_e + thr__L_e --> cys__L_e + na1_c + thr__L_c
9,FERIRDe: 2.0 fe3_e + qh2_c --> 2.0 fe2_e + 2.0 h_e + q_c
10,aratyr2: 3mop_c + tyr__L_c --> 34hpp_c + ile__L_c
11,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
12,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
13,PRUK: atp_c + ru5p__D_c --> adp_c + h_c + rb15bp_c
14,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
15,AASAD2: L2aadp_c + atp_c + h_c + nadh_c --> L2aadp6sa_c + amp_c + nad_c + ppi_c
16,TKT1: r5p_c + xu5p__D_c <=> g3p_c + s7p_c
17,G6PDA: gam6p_c + h2o_c --> f6p_c + nh4_c
18,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
19,CITCIb: citac_c + h2o_c --> r3mmal_c
20,TALA: g3p_c + s7p_c --> e4p_c + f6p_c
21,GLNS: atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c
22,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
23,AMCOXO: amuco_c + h2o_c + h_c + nadph_c --> 2oxoadp_c + nadp_c + nh4_c
24,GLUSx: akg_c + gln__L_c + h_c + nadh_c --> 2.0 glu__L_c + nad_c
25,SACCD2: h2o_c + nad_c + saccrp__L_c <=> akg_c + h_c + lys__L_c + nadh_c
26,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
27,HCYSMT: amet_c + hcys__L_c --> ahcys_c + h_c + met__L_c
28,EX_thr__L_e: thr__L_e <=> 
29,ERTHMMOR: nad_c + r3mmal_c --> 2obut_c + co2_c + nadh_c
30,PPND: nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
31,RBPC: co2_c + h2o_c + rb15bp_c --> 2.0 3pg_c + 2.0 h_c
32,MALS: accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c
33,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
34,PDYXPT_c: pydam_c + pyr_c --> ala__L_c + pydx_c
35,CHORS: 3psme_c --> chor_c + pi_c
36,GTHRDH_syn: gthrd_c + h2o_c --> cgly_c + glu__L_c
37,FKYNH: Lfmkynr_c + h2o_c --> Lkynr_c + for_c + h_c
38,H2Ot: h2o_e <=> h2o_c
39,r1860: cys__L_c + na1_e + val__L_e --> cys__L_e + na1_c + val__L_c
40,AGDC: acgam6p_c + h2o_c --> ac_c + gam6p_c
41,EX_arg__L_e: arg__L_e <=> 
42,HKYNH: h2o_c + hLkynr_c --> 3hanthrn_c + ala__L_c
43,CITCIa: citm_c --> citac_c + h2o_c
44,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
45,DHQS: 2dda7p_c --> 3dhq_c + pi_c
46,GLU5K: atp_c + glu__L_c --> adp_c + glu5p_c
47,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
48,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
49,EX_his__L_e: his__L_e <=> 
50,AM6SAD: am6sa_c + h2o_c + nad_c --> amuco_c + 2.0 h_c + nadh_c
51,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
52,r1815: cys__L_c + leu__L_e + na1_e --> cys__L_e + leu__L_c + na1_c
53,EX_val__L_e: val__L_e <=> 
54,HMR_9726: 5fthf_c + glu__L_c --> forglu_c + thf_c
55,H2ASE_syn: h_c + nadph_c --> h2_c + nadp_c
56,CITMS: accoa_c + h2o_c + pyr_c --> citm_c + coa_c + h_c
57,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
58,EX_pap_e: pap_e <=> 
59,AMETt2: amet_e + h_e --> amet_c + h_c
60,PHETA1: akg_c + phe__L_c <=> glu__L_c + phpyr_c
61,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
62,G5SADs: glu5sa_c <=> 1pyr5c_c + h2o_c + h_c
63,ACGAMK: acgam_c + atp_c --> acgam6p_c + adp_c + h_c
64,SUCOAACTr: ac_c + succoa_c --> accoa_c + succ_c
65,PRAIi: pran_c --> 2cpr5p_c
66,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
67,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
68,ASNS2: asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c
69,P5CRx: 1pyr5c_c + 2.0 h_c + nadh_c --> nad_c + pro__L_c
70,EX_amet_e: amet_e <=> 
71,3HAO: 3hanthrn_c + o2_c --> cmusa_c + h_c
72,r2048: cys__L_c + his__L_e --> cys__L_e + his__L_c
73,DHQTi: 3dhq_c --> 3dhsk_c + h2o_c
74,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
75,ALATA_L: akg_c + ala__L_c --> glu__L_c + pyr_c
76,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
77,RPEc: 2.0 ru5p__D_c <=> 2.0 xu5p__D_c
78,PCLAD: cmusa_c + h_c --> am6sa_c + co2_c
79,TRPO2: o2_c + trp__L_c --> Lfmkynr_c
80,CYSt2r: cys__L_e + h_e <=> cys__L_c + h_c
81,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
82,FDH7: co2_c + fdxr_42_c + h_c --> fdxo_42_c + for_c
83,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
84,CHORM: chor_c --> pphn_c
85,r2016: arg__L_e + cys__L_c --> arg__L_c + cys__L_e
86,G5SD: glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c
87,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
88,GTHOXti: gthox_e --> gthox_c
89,PPND2: nadp_c + pphn_c --> 34hpp_c + co2_c + nadph_c
90,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
91,OOR2r: akg_c + coa_c + fdxo_42_c --> co2_c + fdxr_42_c + h_c + succoa_c
92,TYRTA: akg_c + tyr__L_c <=> 34hpp_c + glu__L_c
93,FGLU: forglu_c + h2o_c + h_c --> frmd_c + glu__L_c
94,PAPt: pap_e <=> pap_c
