,rxns_added
0,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
1,TALA: g3p_c + s7p_c --> e4p_c + f6p_c
2,ACYP_2: actp_c + h2o_c --> ac_c + h_c + pi_c
3,PRAIi: pran_c --> 2cpr5p_c
4,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
5,CHORM: chor_c --> pphn_c
6,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
7,CHORS: 3psme_c --> chor_c + pi_c
8,GAPP: g3p_c + h2o_c --> glyald_c + pi_c
9,PPND: nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
10,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
11,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
12,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
13,DHQS: 2dda7p_c --> 3dhq_c + pi_c
14,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
15,ANS: chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c
16,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
17,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
