,rxns_added
0,METtec
1,LYSLYSLYSr
2,VALTRPVALt
3,EX_hislysthr_e
4,LYSLYSLYSt
5,PSP_L
6,ASPSEc
7,NADH6
8,PYDXO
9,G3POc
10,NADHDH
11,EX_lysvalphe_e
12,H2Ot
13,FERIRDe
14,PROPAT4te
15,HISLYSTHRr
16,EX_thrthrarg_e
17,THRTHRARGt
18,CYO1_KTc
19,EX_phethrlys_e
20,PGKhc
21,PSERT
22,ARGSERSERr
23,THRTHRARGr
24,GTHRDH_syn
25,GTHRDt2
26,VALTRPVALr
27,r1600
28,r2016
29,LYSVALPHEt
30,EX_lyslyslys_e
31,GLUSx
32,ALAALACNc
33,PHETHRLYSr
34,PGCD
35,PAPt
36,ARGSERSERt
37,PGMmc
38,HISLYSTHRt
39,CYOO6mc
40,PPItmt
41,EX_argserser_e
42,PHETHRLYSt
43,LYSVALPHEr
44,EX_valtrpval_e
45,EX_pap_e
46,PDYXPT_c
