,rxns_added
0,PCLAD
1,THRTHRARGr
2,LYSLYSLYSr
3,LCADi
4,SACCD2
5,ADSS
6,GTHRDH_syn
7,LYSVALPHEt
8,ARGARGMETr
9,H2Ot
10,AMCOXO
11,GLBRAN
12,GLPASE2
13,QUILSYN
14,METHISLYSr
15,GGNG
16,GMPR
17,ADSL1r
18,SO4HCOtex
19,EX_argargmet_e
20,CITt2r
21,CYSLY3
22,LYSTRPARGt
23,r1627
24,TRPMETVALr
25,GTHPe
26,ACITL
27,THRTHRARGt
28,GLDBRAN
29,O2t
30,ASPTA
31,EX_methislys_e
32,AATA
33,LYSVALPHEr
34,DURIPP
35,EX_lyslyslys_e
36,ANNAT
37,MEVK2
38,PYDXO
39,HISLYSVALt
40,NMNDA
41,PGCD
42,GLUSx
43,EX_lysvalphe_e
44,TRPMETVALt
45,RNTR2c
46,GLPASE1
47,MEVK4
48,EX_trpmetval_e
49,IMPtr
50,FUM
51,MALTt1r
52,AM6SAD
53,GTHOXti
54,CYSTBLc
55,ASPSEc
56,NADPPPS
57,GLPASE2a
58,UDPGtnic
59,RNTR3c
60,HISLYSVALr
61,ARGARGMETt
62,PSERT
63,PPM2
64,EX_thrthrarg_e
65,G5SADs
66,GLGNS1
67,EX_hislysval_e
68,METHISLYSt
69,LYSTRPARGr
70,EX_lystrparg_e
71,LYSLYSLYSt
72,H2O2t
73,DGTPtmc
74,PDYXPT_c
75,NNDPR
