,rxns_added
0,CITACt
1,PYDXO
2,EX_thrthrarg_e
3,NADDP
4,EX_hislysval_e
5,EX_argarglys_e
6,LYSVALPHEt
7,ASPSEc
8,PPIabc
9,THRMETARGr
10,DPCOAPPe
11,GTHPe
12,ARGARGLYSr
13,PDYXPT_c
14,AMPt
15,NMNP
16,LYSLYSLYSt
17,EX_lysvalphe_e
18,HC00900t2
19,HC00900t4
20,THRTHRARGr
21,TRPMETVALt
22,GTHOXti
23,ASPTA
24,PHETHRLYSt
25,CITL
26,LYSLYSLYSr
27,EX_lyslyslys_e
28,CYSGLUexR
29,H2Ot
30,H2O2t
31,O2t
32,EX_phethrlys_e
33,HISLYSVALr
34,PGCD
35,HISLYSVALt
36,LYSVALPHEr
37,PSERT
38,CITabc
39,GTHRDH_syn
40,G5SADs
41,SO4HCOtex
42,THRMETARGt
43,PHETHRLYSr
44,CYSLY3
45,CYSTBLc
46,THRTHRARGt
47,EX_trpmetval_e
48,EX_nmn_e
49,ACITL
50,GLUSx
51,ARGARGLYSt
52,EX_thrmetarg_e
53,TRPMETVALr
