,rxns_added
0,PLPSD1819Z1819Z
1,G3PD2m
2,PIACGT
3,PLDAGAT1819Z18111Z1819Z3
4,FACOAE60
5,RETFAt
6,LPCAT_EPA_STC_sn2_c
7,ETHAPT_PALM_PALM_c
8,ARTFR205nhs
9,DAGAH_EPA_DHA_c
10,ACOAD3
11,CHOPT_EPA_OLE_c
12,4M2OPLOXRD
13,GLPASE2
14,PLA2PE_EPA_LNA_c
15,H2Ot
16,EX_HC00009_e
17,PSERT
18,ASPTA
19,PLPSA21819Z1829Z12Z
20,FPGS2m
21,PAPA141
22,RETHe
23,GCC2amc
24,LPCAT_PALM_OLE_sn2_c
25,PSSA120
26,PDYXPT_c
27,UDPSQSc
28,PLA2PE_PALM_PALM_c
29,ETHAPT_MYRS_MYRS_c
30,ETHAPT_HDE_GLNA_c
31,ECOAH5_1
32,GLUSy
33,PLDPE_EPA_OLE_c
34,PLPSD1801819Z
35,HMR_0890nhs
36,PCHOLHSTDe_1nhs
37,ACGPID
38,PSSA160
39,RE3166C
40,EX_serphelys_e
41,PLA2PE_HDE_HDE_c
42,PAPA180
43,PCD6DS_HDE_GLNA_sn2_c
44,RTOT2nhs
45,ECOAH3
46,EX_hdl_enhs
47,EX_pc_e
48,PAPA_DHA_GLNA_c
49,r1457
50,RTOTALt
51,LPEAT_DHA_GLNA_sn2_c
52,BGAL1enhs
53,PGMmc
54,HCYSMT
55,CITabc
56,ETHAPT_DHA_EPA_c
57,A4GALTc_cho
58,DAGK181
59,EX_tag_cho_e
60,EX_idl_enhs
61,LPEAT_DHA_EPA_sn2_c
62,EX_phethrlys_e
63,PLDAGAT_EPA_EPA_DHA_PC_5_c
64,HDL_HSDEGnhs
65,PLDPC_DHA_GLNA_c
66,EX_lysvalphe_e
67,HMR_0852nhs
68,7THFtm
69,EX_fad_e
70,LYSVALPHEr
71,SERPHELYSr
72,PLPSA21801819Z
73,GLPASE2a
74,LYSLYSLYSr
75,PLDAGAT18111Z1819Z1819Z3
76,GLYC2P3Pc
77,EX_hislysval_e
78,HMR_0876nhs
79,FAOXC10080m
80,lipid3
81,ASPTA6
82,PLDPC_PALM_STC_c
83,THRTHRARGt
84,FACOAE180
85,EX_ldl_enhs
86,LCADi
87,PROAKGOX1
88,GLUS_ferrc
89,HMR_4777
90,FAOXC1811603m
91,SPHPL
