,rxns_added
0,PSERT
1,TRPMETVALt
2,LYSLYSLYSr
3,LYSVALPHEr
4,GTHOXti
5,ACITL
6,NCAMUP
7,PDYXPT_c
8,HISLYSVALt
9,PHETHRLYSr
10,LCADi
11,EX_lyslyslys_e
12,CYSLY3
13,G5SADs
14,EX_lysvalphe_e
15,CYSTBLc
16,H2Ot
17,GTHRDH_syn
18,FUM
19,PGCD
20,LYSVALPHEt
21,EX_argphearg_e
22,ARGPHEARGr
23,EX_thrmetarg_e
24,TRPMETVALr
25,PYDXO
26,IMPtr
27,ASPTA
28,EX_thrthrarg_e
29,EX_trpmetval_e
30,O2t
31,SO4HCOtex
32,THRMETARGr
33,EX_ncam_e
34,H2O2t
35,ADSS
36,CYSGLUexR
37,ADSL1r
38,GLUSy
39,THRTHRARGt
40,EX_hislysval_e
41,LYSLYSLYSt
42,EX_phethrlys_e
43,THRMETARGt
44,ARGPHEARGt
45,ASPSEc
46,CITabc
47,PHETHRLYSt
48,HISLYSVALr
49,THRTHRARGr
50,GTHPe
