,rxns_added
0,DHQTi: 3dhq_c --> 3dhsk_c + h2o_c
1,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
2,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
3,CSm: accoa_m + h2o_m + oaa_m --> cit_m + coa_m + h_m
4,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
5,ASPTA: akg_c + asp__L_c <=> glu__L_c + oaa_c
6,FDH7: co2_c + fdxr_42_c + h_c --> fdxo_42_c + for_c
7,PRUK: atp_c + ru5p__D_c --> adp_c + h_c + rb15bp_c
8,GLUSx: akg_c + gln__L_c + h_c + nadh_c --> 2.0 glu__L_c + nad_c
9,GLGC: atp_c + g1p_c + h_c --> adpglc_c + ppi_c
10,GTHPe: 2.0 gthrd_e + h2o2_e --> gthox_e + 2.0 h2o_e
11,PPS: atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c
12,HICITDm: hicit_m + nad_m --> h_m + nadh_m + oxag_m
13,SULR_1: 3.0 h2o_c + h2s_c + 3.0 nadp_c --> 4.0 h_c + 3.0 nadph_c + so3_c
14,MTHFD: mlthf_c + nadp_c <=> methf_c + nadph_c
15,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
16,H2O2t: h2o2_e <=> h2o2_c
17,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
18,HISSNAT5tc: h_c + his__L_e + na1_e --> h_e + his__L_c + na1_c
19,MTHFC: h2o_c + methf_c <=> 10fthf_c + h_c
20,SACCD2: h2o_c + nad_c + saccrp__L_c <=> akg_c + h_c + lys__L_c + nadh_c
21,2OXOADPtim: 2oxoadp_m --> 2oxoadp_c
22,PRPPS: atp_c + r5p_c --> amp_c + h_c + prpp_c
23,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
24,EX_thr__L_e: thr__L_e <=> 
25,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
26,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
27,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
28,r0085: HC00591_c + h2o_c --> akg_c + nh4_c
29,GLYCL_2: co2_c + mlthf_c + nadh_c + nh4_c --> gly_c + nad_c + thf_c
30,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
31,PDYXPT_c: pydam_c + pyr_c --> ala__L_c + pydx_c
32,ARGSL: argsuc_c --> arg__L_c + fum_c
33,HCO3E: co2_c + h2o_c --> h_c + hco3_c
34,CBMKr: atp_c + co2_c + nh4_c --> adp_c + cbp_c + 2.0 h_c
35,SULO: h2o_c + o2_c + so3_c --> h2o2_c + h_c + so4_c
36,ACONTb: acon_C_c + h2o_c <=> icit_c
37,HCYSMT: amet_c + hcys__L_c --> ahcys_c + h_c + met__L_c
38,PHETA1: akg_c + phe__L_c <=> glu__L_c + phpyr_c
39,H2Ot: h2o_e <=> h2o_c
40,ANS: chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c
41,G5SADs: glu5sa_c <=> 1pyr5c_c + h2o_c + h_c
42,PAPt: pap_e <=> pap_c
43,CHORS: 3psme_c --> chor_c + pi_c
44,HCITSm: accoa_m + akg_m + h2o_m --> coa_m + h_m + hcit_m
45,RBPC: co2_c + h2o_c + rb15bp_c --> 2.0 3pg_c + 2.0 h_c
46,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
47,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
48,TKT2: e4p_c + xu5p__D_c <=> f6p_c + g3p_c
49,RPEc: 2.0 ru5p__D_c <=> 2.0 xu5p__D_c
50,VALTA: akg_c + val__L_c <=> 3mob_c + glu__L_c
51,r0156: gln__L_c + pyr_c --> HC00591_c + ala__L_c
52,GTHRDH_syn: gthrd_c + h2o_c --> cgly_c + glu__L_c
53,GTHOXti: gthox_e --> gthox_c
54,PYRtm: pyr_c --> pyr_m
55,3MOBtmt: 3mob_m <=> 3mob_c
56,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
57,CAT: 2.0 h2o2_c --> 2.0 h2o_c + o2_c
58,ICDHym: icit_m + nadp_m <=> akg_m + co2_m + nadph_m
59,r2048: cys__L_c + his__L_e --> cys__L_e + his__L_c
60,CO2tmt: co2_m <=> co2_c
61,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
62,MCITDm: hcit_m --> b124tc_m + h2o_m
63,OXAGm: h_m + oxag_m --> 2oxoadp_m + co2_m
64,ACAFDOR: acald_c + fdxo_42_c + h2o_c --> ac_c + fdxr_42_c + 3.0 h_c
65,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
66,ASNN: asn__L_c + h2o_c --> asp__L_c + nh4_c
67,HACNHm: b124tc_m + h2o_m --> hicit_m
68,CITt2r: cit_e + h_e <=> cit_c + h_c
69,GLCDBRAN3: glycogen_c + h2o_c --> 14glucan_c + glc__D_c
70,RPI: r5p_c <=> ru5p__D_c
71,CHORM: chor_c --> pphn_c
72,EX_his__L_e: his__L_e <=> 
73,DHQS: 2dda7p_c --> 3dhq_c + pi_c
74,EX_pap_e: pap_e <=> 
75,AMETt2: amet_e + h_e --> amet_c + h_c
76,ARGSS: asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
77,PRAIi: pran_c --> 2cpr5p_c
78,FTHFLi: atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c
79,r2534: thr__L_e --> thr__L_c
80,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
81,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
82,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
83,OCT: cbp_c + orn_c --> citr__L_c + pi_c
84,ACONTa: cit_c <=> acon_C_c + h2o_c
85,AAMYL: 14glucan_c --> malthx_c
86,EX_amet_e: amet_e <=> 
87,FUM: fum_c + h2o_c --> mal__L_c
