,rxns_added
0,r2412: citr__L_m + h_c + orn_c --> citr__L_c + h_m + orn_m
1,CHORS: 3psme_c --> chor_c + pi_c
2,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
3,H2Ot: h2o_e <=> h2o_c
4,AAMYL: 14glucan_c --> malthx_c
5,ARGSS: asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
6,FUMtmt: fum_m <=> fum_c
7,r1290: fad_c + fadh2_m --> fad_m + fadh2_c
8,CITL: cit_c --> ac_c + oaa_c
9,MCITDm: hcit_m --> b124tc_m + h2o_m
10,ACOAH: ac_c + coa_c + h_c --> accoa_c + h2o_c
11,CYOO_HP: 4.0 focytcc553_c + 5.98 h_c + o2_c --> 4.0 ficytcc553_c + 1.99 h2o_c + 2.0 h_e + 0.005 o2s_c
12,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
13,CHORM: chor_c --> pphn_c
14,PYRtm: pyr_c --> pyr_m
15,TKT2: e4p_c + xu5p__D_c <=> f6p_c + g3p_c
16,HICITDm: hicit_m + nad_m --> h_m + nadh_m + oxag_m
17,AMALT4: malt_c + malthx_c --> glc__D_c + malthp_c
18,GLYCL_2: co2_c + mlthf_c + nadh_c + nh4_c --> gly_c + nad_c + thf_c
19,ACONTa: cit_c <=> acon_C_c + h2o_c
20,CITt2r: cit_e + h_e <=> cit_c + h_c
21,ORNt: orn_e --> orn_c
22,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
23,MTHFC: h2o_c + methf_c <=> 10fthf_c + h_c
24,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
25,r0085: HC00591_c + h2o_c --> akg_c + nh4_c
26,HIStiDF: his__L_e --> his__L_c
27,HACNHm: b124tc_m + h2o_m --> hicit_m
28,EX_his__L_e: his__L_e <=> 
29,MALSm: accoa_m + glx_m + h2o_m --> coa_m + h_m + mal__L_m
30,SUCD1m: fad_m + succ_m --> fadh2_m + fum_m
31,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
32,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
33,GLUNm: gln__L_m + h2o_m --> glu__L_m + nh4_m
34,HCYSMT: amet_c + hcys__L_c --> ahcys_c + h_c + met__L_c
35,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
36,MTHFD: mlthf_c + nadp_c <=> methf_c + nadph_c
37,PHETA1: akg_c + phe__L_c <=> glu__L_c + phpyr_c
38,LGTHL: gthrd_c + mthgxl_c --> lgt__S_c
39,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
40,LDH_D: lac__D_c + nad_c --> h_c + nadh_c + pyr_c
41,CBMK_m: atp_m + co2_m + nh4_m --> adp_m + cbp_m + 2.0 h_m
42,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
43,HCITSm: accoa_m + akg_m + h2o_m --> coa_m + h_m + hcit_m
44,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
45,KHK: atp_c + fru_c --> adp_c + f1p_c + h_c
46,PDYXPT_c: pydam_c + pyr_c --> ala__L_c + pydx_c
47,GLYOX_2: h2o_c + lgt__S_c --> gthrd_c + h_c + lac__D_c + mthgxl_c
48,GTHRDH_syn: gthrd_c + h2o_c --> cgly_c + glu__L_c
49,GLYALDDy: glyald_c + h2o_c + nadp_c --> glyc__R_c + 2.0 h_c + nadph_c
50,3MOBtmt: 3mob_m <=> 3mob_c
51,PGMm: 3pg_m --> 2pg_m
52,DHQTi: 3dhq_c --> 3dhsk_c + h2o_c
53,ASPTA: akg_c + asp__L_c <=> glu__L_c + oaa_c
54,GLUDym: glu__L_m + h2o_m + nadp_m --> akg_m + h_m + nadph_m + nh4_m
55,FTHFLi: atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c
56,r0156: gln__L_c + pyr_c --> HC00591_c + ala__L_c
57,FADOX: fadh2_c + mqn6_c --> fad_c + mql6_c
58,PAPt: pap_e <=> pap_c
59,OCT: cbp_c + orn_c --> citr__L_c + pi_c
60,GLYCK2: atp_c + glyc__R_c --> 2pg_c + adp_c + h_c
61,OCTm: cbp_m + orn_m --> citr__L_m + pi_m
62,AMETt2: amet_e + h_e --> amet_c + h_c
63,EX_pap_e: pap_e <=> 
64,CAT: 2.0 h2o2_c --> 2.0 h2o_c + o2_c
65,PRPPS: atp_c + r5p_c --> amp_c + h_c + prpp_c
66,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
67,ICDHym: icit_m + nadp_m <=> akg_m + co2_m + nadph_m
68,SUCD3: fadh2_c + q_c --> fad_c + qh2_c
69,r2048: cys__L_c + his__L_e --> cys__L_e + his__L_c
70,ACAFDOR: acald_c + fdxo_42_c + h2o_c --> ac_c + fdxr_42_c + 3.0 h_c
71,ACTNdiff: actn__R_e --> actn__R_c
72,GLGC: atp_c + g1p_c + h_c --> adpglc_c + ppi_c
73,CBMKr: atp_c + co2_c + nh4_c --> adp_c + cbp_c + 2.0 h_c
74,FERIRDe: 2.0 fe3_e + qh2_c --> 2.0 fe2_e + 2.0 h_e + q_c
75,EX_amet_e: amet_e <=> 
76,TPTPt_m: g3p_c + pi_m --> g3p_m + pi_c
77,GLCDBRAN3: glycogen_c + h2o_c --> 14glucan_c + glc__D_c
78,ARGSL: argsuc_c --> arg__L_c + fum_c
79,ICDHx: icit_c + nad_c --> akg_c + co2_c + nadh_c
80,ANS: chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c
81,2OXOADPtim: 2oxoadp_m --> 2oxoadp_c
82,H2O2t: h2o2_e <=> h2o2_c
83,HMR_3966: atp_m + h2o_m --> amp_m + h_m + ppi_m
84,RPEc: 2.0 ru5p__D_c <=> 2.0 xu5p__D_c
85,PRUK: atp_c + ru5p__D_c --> adp_c + h_c + rb15bp_c
86,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
87,GTHPe: 2.0 gthrd_e + h2o2_e --> gthox_e + 2.0 h2o_e
88,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
89,RPI: r5p_c <=> ru5p__D_c
90,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
91,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
92,PPItmt: ppi_m <=> ppi_c
93,FDH7: co2_c + fdxr_42_c + h_c --> fdxo_42_c + for_c
94,VALTA: akg_c + val__L_c <=> 3mob_c + glu__L_c
95,OXAGm: h_m + oxag_m --> 2oxoadp_m + co2_m
96,EX_thr__L_e: thr__L_e <=> 
97,DHQS: 2dda7p_c --> 3dhq_c + pi_c
98,BC10_new: 2.0 ficytcc553_c + 2.0 h_c + mql6_c --> 2.0 focytcc553_c + 4.0 h_e + mqn6_c
99,ICL_1: icit_m --> glx_m + succ_m
100,r2534: thr__L_e --> thr__L_c
101,FUMm: fum_m + h2o_m <=> mal__L_m
102,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
103,GAPDHm: g3p_m + nad_m + pi_m --> 13dpg_m + h_m + nadh_m
104,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
105,ACONTb: acon_C_c + h2o_c <=> icit_c
106,SACCD2: h2o_c + nad_c + saccrp__L_c <=> akg_c + h_c + lys__L_c + nadh_c
107,ORNCD: orn_c --> nh4_c + pro__L_c
108,GLUSx: akg_c + gln__L_c + h_c + nadh_c --> 2.0 glu__L_c + nad_c
109,PRAIi: pran_c --> 2cpr5p_c
110,HMR_8582: h2o_c + malt_c --> 2.0 fru_c
111,RBPC: co2_c + h2o_c + rb15bp_c --> 2.0 3pg_c + 2.0 h_c
112,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
113,GTHOXti: gthox_e --> gthox_c
