,rxns_added
0,GLYCLTDym: glx_m + h_m + nadph_m --> glyclt_m + nadp_m
1,ACOAH: ac_c + coa_c + h_c --> accoa_c + h2o_c
2,PRUK_1: atp_h + ru5p__D_h --> adp_h + h_h + rb15bp_h
3,DHQTi: 3dhq_c --> 3dhsk_c + h2o_c
4,GLUS: akg_h + gln__L_h + h_h + nadh_h --> 2.0 glu__L_h + nad_h
5,EX_pap_e: pap_e <=> 
6,G6PA_pi_th: g6p_A_c + pi_h --> g6p_A_h + pi_c
7,PEPCKm: gtp_m + oaa_m --> co2_m + gdp_m + pep_m
8,AKGICITtm: akg_c + icit_m --> akg_m + icit_c
9,GLUDy: glu__L_c + h2o_c + nadp_c <=> akg_c + h_c + nadph_c + nh4_c
10,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
11,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
12,PSP: h2o_h + pser__L_h --> pi_h + ser__L_h
13,r2016: arg__L_e + cys__L_c --> arg__L_c + cys__L_e
14,HMR_4957: cit_m --> cit_c
15,GLUt2r: glu__L_e + h_e <=> glu__L_c + h_c
16,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
17,MALSm: accoa_m + glx_m + h2o_m --> coa_m + h_m + mal__L_m
18,VALtec: val__L_e --> val__L_c
19,ICL_1: icit_m --> glx_m + succ_m
20,PRPPS: atp_c + r5p_c --> amp_c + h_c + prpp_c
21,SUCD1: fad_c + succ_c --> fadh2_c + fum_c
22,HSK_1: atp_h + hom__L_h --> adp_h + h_h + phom_h
23,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
24,G3P_pi_thr: g3p_c + pi_h --> g3p_h + pi_c
25,r1109: cit_m --> ac_m + oaa_m
26,PPItm: ppi_c --> ppi_m
27,TKT1: r5p_c + xu5p__D_c <=> g3p_c + s7p_c
28,GTHRDt2: gthrd_e --> gthrd_c
29,GAPDHh: g3p_h + nad_h + pi_h --> 13dpg_h + h_h + nadh_h
30,DHQS: 2dda7p_c --> 3dhq_c + pi_c
31,PHETA1: akg_c + phe__L_c <=> glu__L_c + phpyr_c
32,TPTPt_m: g3p_c + pi_m --> g3p_m + pi_c
33,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
34,ATPS_h: adp_h + 4.67 h_u + pi_h --> atp_h + h2o_h + 3.67 h_h
35,H2Oth: h2o_c --> h2o_h
36,r0819: akg_c + succ_m --> akg_m + succ_c
37,NADHDH: 3.0 h_c + nadh_c + q_c --> 2.0 h_e + nad_c + qh2_c
38,ACSERthi: acser_h --> acser_c
39,CYSS_2: acser_c + h2s_c --> ac_c + cys__L_c
40,TALA: g3p_c + s7p_c --> e4p_c + f6p_c
41,SAT: accoa_h + ser__L_h --> acser_h + coa_h
42,Htu: h_h --> h_u
43,RBPCh: co2_h + h2o_h + rb15bp_h --> 2.0 3pg_h + 2.0 h_h
44,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
45,ALATA_L: akg_c + ala__L_c --> glu__L_c + pyr_c
46,PROTEIN_BS: 0.6 ala__L_c + 0.377 arg__L_c + 0.2881 asn__L_c + 0.359 asp__L_c + 0.145 cys__L_c + 0.322 gln__L_c + 0.386 glu__L_c + 0.538 gly_c + 0.143 his__L_c + 0.324 ile__L_c + 0.564 leu__L_c + 0.57 lys__L_c + 0.138 met__L_c + 0.219 phe__L_c + 0.313 pro__L_c + 0.43 ser__L_c + 0.386 thr__L_c + 0.044 trp__L_c + 0.182 tyr__L_c + 0.416 val__L_c --> protein_c
47,ASNN: asn__L_c + h2o_c --> asp__L_c + nh4_c
48,CO2tm: co2_c --> co2_m
49,RBPC: co2_c + h2o_c + rb15bp_c --> 2.0 3pg_c + 2.0 h_c
50,PAPt: pap_e <=> pap_c
51,AGTi: ala__L_c + glx_c --> gly_c + pyr_c
52,PHSERt_h: phom_h --> phom_c
53,SUCD3: fadh2_c + q_c --> fad_c + qh2_c
54,G6PADHh: g6p_A_h + nadp_h --> 6pgl_h + h_h + nadph_h
55,ASPth: asp__L_c + h_c --> asp__L_h + h_h
56,r1600: cys__L_c + met__L_e --> cys__L_e + met__L_c
57,PGMm: 3pg_m --> 2pg_m
58,PGLh: 6pgl_h + h2o_h --> 6pgc_h + h_h
59,ATPSum: 3.0 adp_c + 13.0 h_u + 3.0 pi_c --> 3.0 atp_c + 3.0 h2o_c + 10.0 h_c
60,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
61,THRS: h2o_c + phom_c --> pi_c + thr__L_c
62,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
63,FRNDPR_m: 2.0 fdxrd_m + h_m + nadp_m --> 2.0 fdxox_m + nadph_m
64,ACONTa: cit_c <=> acon_C_c + h2o_c
65,PRAIi: pran_c --> 2cpr5p_c
66,CHORS: 3psme_c --> chor_c + pi_c
67,RPEc: 2.0 ru5p__D_c <=> 2.0 xu5p__D_c
68,FUMm: fum_m + h2o_m <=> mal__L_m
69,HSDH_h: aspsa_h + h_h + nadh_h --> hom__L_h + nad_h
