,rxns_added
0,FMETTRS_1: 10fthf_c + mettrna_c --> fmettrna_c + thf_c
1,PHETA1: akg_c + phe__L_c <=> glu__L_c + phpyr_c
2,trna_ser: trnaser_c <=> 
3,TYRTA: akg_c + tyr__L_c <=> 34hpp_c + glu__L_c
4,trna_asn: trnaasn_c <=> 
5,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
6,MOX: mal__L_c + o2_c --> h2o2_c + oaa_c
7,NADPHtmt: nadph_c <=> nadph_m
8,trna_gly: trnagly_c <=> 
9,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
10,ALATA_L: akg_c + ala__L_c --> glu__L_c + pyr_c
11,HCYSMT: amet_c + hcys__L_c --> ahcys_c + h_c + met__L_c
12,AHCi: ahcys_c + h2o_c --> adn_c + hcys__L_c
13,GTHOXti: gthox_e --> gthox_c
14,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
15,FUMm: fum_m + h2o_m <=> mal__L_m
16,PPND2: nadp_c + pphn_c --> 34hpp_c + co2_c + nadph_c
17,ORNTACim: acorn_m + glu__L_m --> acglu_m + orn_m
18,GLUVESSEC: atp_c + glu__L_c + h2o_c --> adp_c + glu__L_e + h_c + pi_c
19,r1589: cys__L_c + ser__L_e --> cys__L_e + ser__L_c
20,G5SD2: glu5p_c + h_c + nadh_c --> glu5sa_c + nad_c + pi_c
21,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
22,trna_gln: trnagln_c <=> 
23,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
24,GLYVESSEC: atp_c + 3.0 gly_c + h2o_c --> adp_c + 3.0 gly_e + h_c + pi_c
25,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
26,THD1m: h_c + nadh_m + nadp_m --> h_m + nad_m + nadph_m
27,PPS: atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c
28,GLNS: atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c
29,trna_pro: trnapro_c <=> 
30,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
31,GLTS_m: akg_m + gln__L_m + h_m + nadh_m --> 2.0 glu__L_m + nad_m
32,trna_asp: trnaasp_c <=> 
33,GLUt7m: glu__L_c --> glu__L_m
34,BIOMASS_Ecoli_core_w_GAM: 1.496 3pg_c + 3.7478 accoa_c + 59.81 atp_c + 0.361 e4p_c + 0.0709 f6p_c + 0.129 g3p_c + 0.205 g6p_c + 0.2557 gln__L_c + 4.9414 glu__L_c + 59.81 h2o_c + 3.547 nad_c + 13.0279 nadph_c + 1.7867 oaa_c + 0.5191 pep_c + 2.8328 pyr_c + 0.8977 r5p_c --> 59.81 adp_c + 4.1182 akg_c + 3.7478 coa_c + 59.81 h_c + 3.547 nadh_c + 13.0279 nadp_c + 59.81 pi_c
35,NADPt2_c: nadp_m --> nadp_c
36,ADSL1r: dcamp_c <=> amp_c + fum_c
37,OAAtmt: oaa_m <=> oaa_c
38,trna_trp: trnatrp_c <=> 
39,ADSS: asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c
40,ATPS3m: adp_m + 3.0 h_c + pi_m --> atp_m + h2o_m + 2.0 h_m
41,CHORS: 3psme_c --> chor_c + pi_c
42,NH4ti: nh4_c --> nh4_e
43,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
44,CHORM: chor_c --> pphn_c
45,FBA: fdp_c <=> dhap_c + g3p_c
46,CYSDS: cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c
47,DHQS: 2dda7p_c --> 3dhq_c + pi_c
48,trna_phe: trnaphe_c <=> 
49,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
50,GMPR: gmp_c + 2.0 h_c + nadph_c --> imp_c + nadp_c + nh4_c
51,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
52,trna_met: trnamet_c <=> 
53,GLS2: glucan6_c + 5.0 h2o_c --> 6.0 glc__D_c
54,trna_thr: trnathr_c <=> 
55,ACYP_2: actp_c + h2o_c --> ac_c + h_c + pi_c
56,trna_his: trnahis_c <=> 
57,AKGMALtm: akg_m + mal__L_c --> akg_c + mal__L_m
58,trna_cys: trnacys_c <=> 
59,EX_leu__L_e: leu__L_e <=> 
60,ORNt3m: h_c + orn_m --> h_m + orn_c
61,AGPRim: acg5p_m + h_m + nadph_m --> acg5sa_m + nadp_m + pi_m
62,ARGSS: asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
63,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
64,GLU5K: atp_c + glu__L_c --> adp_c + glu5p_c
65,trna_ile: trnaile_c <=> 
66,GLNGLU: adp_c + glntrna_c + glu__L_c + pi_c <=> atp_c + gln__L_c + glutrna_c
67,FUMtm: fum_c + pi_m --> fum_m + pi_c
68,CYSt2r: cys__L_e + h_e <=> cys__L_c + h_c
69,r2048: cys__L_c + his__L_e --> cys__L_e + his__L_c
70,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
71,trna_tyr: trnatyr_c <=> 
72,FUM: fum_c + h2o_c --> mal__L_c
73,ASNCYSNaEx: asn__L_e + cys__L_c + na1_e --> asn__L_c + cys__L_e + na1_c
74,ACOTAim: acg5sa_m + glu__L_m --> acorn_m + akg_m
75,EX_amet_e: amet_e <=> 
76,GMPt6: gmp_e + h_e --> gmp_c + h_c
77,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
78,SULO: h2o_c + o2_c + so3_c --> h2o2_c + h_c + so4_c
79,trna_lys: trnalys_c <=> 
80,MDHm: mal__L_m + nad_m <=> h_m + nadh_m + oaa_m
81,ASNALANaEx: ala__L_c + asn__L_e + na1_e --> ala__L_e + asn__L_c + na1_c
82,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
83,r1815: cys__L_c + leu__L_e + na1_e --> cys__L_e + leu__L_c + na1_c
84,araphe2: 3mop_c + phe__L_c --> ile__L_c + phpyr_c
85,CBMKr: atp_c + co2_c + nh4_c --> adp_c + cbp_c + 2.0 h_c
86,GLNtm: gln__L_c --> gln__L_m
87,OCT: cbp_c + orn_c --> citr__L_c + pi_c
88,FTHFLi: atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c
89,trna_ala: trnaala_c <=> 
90,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
91,r2000: cys__L_c + lys__L_e --> cys__L_e + lys__L_c
92,trna_val: trnaval_c <=> 
93,HCO3E: co2_c + h2o_c --> h_c + hco3_c
94,AMETt2: amet_e + h_e --> amet_c + h_c
95,PFL: coa_c + pyr_c --> accoa_c + for_c
96,trna_arg: trnaarg_c <=> 
97,trna_leu: trnaleu_c <=> 
98,ATP_3h_tm: adp_m + atp_c + 3.0 h_m --> adp_c + atp_m + 3.0 h_c
99,PRPPS: atp_c + r5p_c --> amp_c + h_c + prpp_c
100,P5CRx: 1pyr5c_c + 2.0 h_c + nadh_c --> nad_c + pro__L_c
101,ACGKm: acglu_m + atp_m --> acg5p_m + adp_m
102,THRD_L: thr__L_c --> 2obut_c + nh4_c
103,PRAIi: pran_c --> 2cpr5p_c
104,ARGSL: argsuc_c --> arg__L_c + fum_c
105,G5SADs: glu5sa_c <=> 1pyr5c_c + h2o_c + h_c
