,rxns_added
0,ACPpds
1,AAMYL
2,GTHRDH_syn
3,EX_fadh2_c
4,r1952
5,HMR_8580
6,EX_phetyrlys_e
7,SULO
8,GLCDBRAN3
9,ALDD31
10,G13MT_L
11,PLDAGAT_EPA_EPA_LNA_PE_14_c
12,APH120
13,DAGK120
14,GLCNACPT_L
15,EX_tyrtrpphe_e
16,EX_nad_e
17,PAPA_DHA_GLNA_c
18,PHETYRLYSt
19,3KGK
20,ETHAPT_DHA_GLNA_c
21,GPIAT
22,APG3PAT120
23,TDMS2
24,NADPPPS
25,FEROt
26,G16MT_L
27,TSULR3e
28,HACD4i
29,CITt2r
30,PLDPC_DHA_GLNA_c
31,ARGPHEARGt
32,ETHAPT_PALM_PALM_c
33,AGPAT120
34,EX_argphearg_e
35,ACOAR2mc
36,BCR6pp
37,G12MT2_L
38,DCTPD2
39,PLDPE_OLE_LNA_c
40,PLDAGAT_MYRS_ARA_HDE_PC_6_c
41,PLIPA2G141
42,ACOAHimc
43,lipid5
44,EX_pnto_R_e
45,pe_prod15
46,AGPAT160
47,BPNT
48,HACD2i
49,LYSLYSLYSt
50,ACOAD4_1
51,ACOADAGAT_LNA_EPA_LNA_c
52,FAO181p_oddc
53,IPCS124_SC
54,FACOAL181t2pp
55,ARGPHEARGr
56,PIuabcpp
57,TALA
58,pe_prod5
59,EX_tyrphetyr_e
60,HMR_8576
61,PLDPE_MYRS_HDE_c
62,LPCAT_DHA_STC_sn2_c
63,LPLIPAL1E120
64,CDAPPA181
65,pe_prod7
66,DMBZIDS
67,FAO141p_oddc
68,ARTPLM1
69,TYRTRPPHEr
70,PCW3DS_LNA_ALNA_sn2_c
71,PLDAGAT_LNA_EPA_LNA_PC_8_c
72,TYRPHETYRt
73,APG3PAT140
74,pe_prod18
75,MCMAT4
76,ACOADAGAT_LNA_EPA_GLNA_c
77,23CUMPtex
78,RE1860E
79,lipid2
80,TYRPHETYRr
81,TAUDO
82,LPEAT_DHA_GLNA_sn2_c
83,HMR_8578
84,CHOPT_DHA_STC_c
85,PLDAGAT_HDE_EPA_LNA_PC_3_c
86,ACPS2
87,HCYSMT
88,ACOADAGAT_EPA_EPA_LNA_c
89,ETHAPT_MYRS_MYRS_c
90,AMPt
91,PLDPC_OLE_LNA_c
92,NADDPe
93,DOLPMT_L
94,UDPGtnic
95,PLA2PC_LNA_ALNA_c
96,APH141
97,TYRTRPPHEt
98,SUCR
99,PLD_SC
100,EX_ahcys_e
101,GAT1_LLA
102,MOTS1
103,PLDAGAT_MYRS_ARA_HDE_PE_11_c
104,ps_prod3
105,PLDPC_OLE_ALNA_c
106,LYSLYSLYSr
107,BCR6ppc
108,AGAT_LLA
109,CYSLY3
110,CLPNH141
111,TMHAS2
112,ETHAPT_HDE_HDE_c
113,EX_lyslyslys_e
114,PLA2PE_DHA_STC_c
115,MALS
116,NMNt7
117,PDYXPT_c
118,ACGPID
119,ETHAPT_DHA_STC_c
120,DBRC
121,BDMT_L
122,pe_prod4
123,PYRDC2
124,r1967
125,PAN4PP
126,PEFLIP
127,r0016
128,AGAT_SC
129,LPEH1619Z_sn1_c
130,MYC2CYC1
131,PLDPE_MYRS_MYRS_c
132,pe_prod1
133,G3PGabcppc
134,ps_prod7
135,GLCNACPT
136,HCO3E
137,ACACT5r_1
138,AGPATCOA_MYRS_HDE_c
139,pe_prod6
140,CYSAMO_cho
141,ASNNe
142,DASYN141
143,AATHB
144,G3PAT180_1
145,ACCC
146,DAGK181
147,FABM2
148,F6PP
149,EX_amet_e
150,FFSD
151,PLA2PE_MYRS_HDE_c
152,PHETYRLYSr
153,MEVK4
154,ACPS
155,HMR_8574
156,APG3PAT141
157,GLCNACT
158,IPC124PLC_SC
159,DOLPMT3
160,GLCNACT_L
161,NMNP
162,ICL
163,FE3Ri
164,PLA2PC_EPA_HDE_c
165,HACD6i
166,PLA2PE_OLE_ALNA_c
167,3HAACOAT60
168,HMR_8567
169,ACOAR6mc
170,CFAS180
171,MCMAT8
172,BDMT
173,DOLPMT4
174,DAGK141
175,FORAMD
176,ACChex
177,HDER4
178,SULR_1
179,HMR_8572
180,ANNAT
181,CHOPT_DHA_HDE_c
182,PSSA181
183,ETHAPT_DHA_HDE_c
184,lipid10
185,TMHAS1
186,3NTD2pp_1
187,TMHAS4
188,APH140
189,H2O2t
190,PLDAGAT_HDE_EPA_LNA_PC_5_c
191,HMR_8570
192,PYDXO
193,RE0958C
194,ACACT6r_1
195,OCMAT3
196,pe_prod10
197,3UMPt6
198,PSSA141
199,PCD6DS_HDE_GLNA_sn2_c
200,PCW3DS_OLE_ALNA_sn2_c
201,pe_prod9
202,MCMAT7
203,ACOAR5mc
204,G12MT1_L
205,pe_prod2
206,PLPSD18111Z1819Z
207,ETHAPT
208,ASPt2r
209,AHCYSte
210,AMETt2
211,LPLIPAL1G141
212,PIPLC
213,ECOAH5_1
214,PCD6DS_DHA_GLNA_sn2_c
215,FAO182p_oddoddc
216,ACOAR3mc
217,MEVK3
218,RHACOAR60
219,HODR8
220,LPEH1819Z_sn1_c
221,PNTOt2
222,ACOAD5_1
223,PLDPE_OLE_ALNA_c
224,PIACGT
225,2_PERIOD_4_PERIOD_1_PERIOD_141
226,NTRIR3ppc
227,LPCAT_DHA_HDE_sn2_c
228,23PDE2pp
229,ACCOAtm
230,HYPTROX
