,rxns_added
0,GLCDBRAN3: glycogen_c + h2o_c --> 14glucan_c + glc__D_c
1,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
2,PSP: h2o_h + pser__L_h --> pi_h + ser__L_h
3,THD1m: h_c + nadh_m + nadp_m --> h_m + nad_m + nadph_m
4,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
5,FOLt2_1: fol_e + h2o_c --> fol_c + h2o_e
6,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
7,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
8,GLUDym: glu__L_m + h2o_m + nadp_m --> akg_m + h_m + nadph_m + nh4_m
9,PGLYDH: 3pg_h + nad_h --> 3php_h + h_h + nadh_h
10,PPND: nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
11,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
12,PRAIi: pran_c --> 2cpr5p_c
13,trna_his: trnahis_c <=> 
14,GBEZY: 14glun_c --> glycogen_c
15,ASADH: 4pasp_h + h_h + nadph_h --> aspsa_h + nadp_h + pi_h
16,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
17,GAPDHh: g3p_h + nad_h + pi_h --> 13dpg_h + h_h + nadh_h
18,FORAMD: frmd_c + h2o_c --> for_c + nh4_c
19,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
20,G6PBDHh: g6p_B_h + nadp_h --> 6pgl_h + h_h + nadph_h
21,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
22,PHSERt_h: phom_h --> phom_c
23,FMETTRS_1: 10fthf_c + mettrna_c --> fmettrna_c + thf_c
24,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
25,trna_ser: trnaser_c <=> 
26,ACCOAth: accoa_c + coa_h --> accoa_h + coa_c
27,CHORS: 3psme_c --> chor_c + pi_c
28,BIOMASS_Ecoli_core_w_GAM: 1.496 3pg_c + 3.7478 accoa_c + 59.81 atp_c + 0.361 e4p_c + 0.0709 f6p_c + 0.129 g3p_c + 0.205 g6p_c + 0.2557 gln__L_c + 4.9414 glu__L_c + 59.81 h2o_c + 3.547 nad_c + 13.0279 nadph_c + 1.7867 oaa_c + 0.5191 pep_c + 2.8328 pyr_c + 0.8977 r5p_c --> 59.81 adp_c + 4.1182 akg_c + 3.7478 coa_c + 59.81 h_c + 3.547 nadh_c + 13.0279 nadp_c + 59.81 pi_c
29,MTHFR5: fdxo_42_c + h_c + mlthf_c + 2.0 nadh_c --> 5mthf_c + fdxr_42_c + 2.0 nad_c
30,PYRtm: pyr_c --> pyr_m
31,PRUK: atp_c + ru5p__D_c --> adp_c + h_c + rb15bp_c
32,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
33,PSAT: 3php_h + glu__L_h --> akg_h + pser__L_h
34,CITCIb: citac_c + h2o_c --> r3mmal_c
35,HISD_c: 3.0 h2o_c + his__L_c --> frmd_c + glu__L_c + nh4_c
36,r0963: fol_e <=> fol_c
37,SO3ti: so3_c --> so3_e
38,NADHDH: 3.0 h_c + nadh_c + q_c --> 2.0 h_e + nad_c + qh2_c
39,PC: atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c
40,ASNS2: asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c
41,trna_lys: trnalys_c <=> 
42,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
43,GLUK: atp_c + glc__D_c --> adp_c + g6p_B_c + h_c
44,FDH7: co2_c + fdxr_42_c + h_c --> fdxo_42_c + for_c
45,MLTP1: maltpt_c + pi_c --> g1p_c + maltttr_c
46,G6PB_pi_th: g6p_B_c + pi_h --> g6p_B_h + pi_c
47,HSK_1: atp_h + hom__L_h --> adp_h + h_h + phom_h
48,CITCIa: citm_c --> citac_c + h2o_c
49,MTHFC: h2o_c + methf_c <=> 10fthf_c + h_c
50,GLYGS: h2o_c + udpg_c --> 14glun_c + h_c + udp_c
51,CHORM: chor_c --> pphn_c
52,AHSERL4: acser_c + trdrd_c + tsul_c --> ac_c + cys__L_c + h_c + so3_c + trdox_c
53,AAMYL: 14glucan_c --> malthx_c
54,trna_leu: trnaleu_c <=> 
55,FERIRDe: 2.0 fe3_e + qh2_c --> 2.0 fe2_e + 2.0 h_e + q_c
56,GLYCLTDy: glx_c + h_c + nadph_c --> glyclt_c + nadp_c
57,trna_arg: trnaarg_c <=> 
58,ATPSu: 3.0 adp_c + 14.0 h_u + 3.0 pi_c --> 3.0 atp_c + 3.0 h2o_c + 11.0 h_c
59,ALATA_Lm: akg_m + ala__L_m --> glu__L_m + pyr_m
60,DHQS: 2dda7p_c --> 3dhq_c + pi_c
61,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
62,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
63,PHETA1: akg_c + phe__L_c <=> glu__L_c + phpyr_c
64,trna_gly: trnagly_c <=> 
65,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
66,CYSDS: cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c
67,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
68,ERTHMMOR: nad_c + r3mmal_c --> 2obut_c + co2_c + nadh_c
69,trna_val: trnaval_c <=> 
70,HCO3E: co2_c + h2o_c --> h_c + hco3_c
71,Htu: h_h --> h_u
72,FBA3: s17bp_c --> dhap_c + e4p_c
73,ACYP_2: actp_c + h2o_c --> ac_c + h_c + pi_c
74,ACSERthi: acser_h --> acser_c
75,PRO1xm: nad_m + pro__L_m --> 1pyr5c_m + 2.0 h_m + nadh_m
76,TALA: g3p_c + s7p_c --> e4p_c + f6p_c
77,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
78,MLTP2: malthx_c + pi_c --> g1p_c + maltpt_c
79,PAPt: pap_e <=> pap_c
80,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
81,METR: 5mthf_c + cfesp_c --> mecfsp_c + thf_c
82,PGLh: 6pgl_h + h2o_h --> 6pgc_h + h_h
83,GLUth: glu__L_h + h_h --> glu__L_c + h_c
84,THRS: h2o_c + phom_c --> pi_c + thr__L_c
85,G3P_pi_thr: g3p_c + pi_h --> g3p_h + pi_c
86,PDYXPT_c: pydam_c + pyr_c --> ala__L_c + pydx_c
87,PRUK_1: atp_h + ru5p__D_h --> adp_h + h_h + rb15bp_h
88,GLUDy: glu__L_c + h2o_c + nadp_c <=> akg_c + h_c + nadph_c + nh4_c
89,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
90,trna_asn: trnaasn_c <=> 
91,GLNS: atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c
92,MALT: h2o_c + malt_c --> 2.0 glc__D_c
93,araphe2: 3mop_c + phe__L_c --> ile__L_c + phpyr_c
94,trna_asp: trnaasp_c <=> 
95,BPNT: h2o_c + pap_c --> amp_c + pi_c
96,VPAMTr: 3mob_c + ala__L_c --> pyr_c + val__L_c
97,ASPth: asp__L_c + h_c --> asp__L_h + h_h
98,ALAtmi: ala__L_m <=> ala__L_c
99,PGDHh: 6pgc_h + nadp_h --> co2_h + nadph_h + ru5p__D_h
100,SAT: accoa_h + ser__L_h --> acser_h + coa_h
101,trna_ile: trnaile_c <=> 
102,trna_tyr: trnatyr_c <=> 
103,GTHPe: 2.0 gthrd_e + h2o2_e --> gthox_e + 2.0 h2o_e
104,trna_cys: trnacys_c <=> 
105,trna_thr: trnathr_c <=> 
106,LEUtec: leu__L_e --> leu__L_c
107,EX_leu__L_e: leu__L_e <=> 
108,TYRTA: akg_c + tyr__L_c <=> 34hpp_c + glu__L_c
109,H2O2t: h2o2_e <=> h2o2_c
110,GTHOXti: gthox_e --> gthox_c
111,trna_met: trnamet_c <=> 
112,trna_trp: trnatrp_c <=> 
113,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
114,FTHFLi: atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c
115,GLUS: akg_h + gln__L_h + h_h + nadh_h --> 2.0 glu__L_h + nad_h
116,3MOBtmt: 3mob_m <=> 3mob_c
117,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
