,rxns_added
0,trna_ser: trnaser_c <=> 
1,PGDHh: 6pgc_h + nadp_h --> co2_h + nadph_h + ru5p__D_h
2,AHSERL4: acser_c + trdrd_c + tsul_c --> ac_c + cys__L_c + h_c + so3_c + trdox_c
3,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
4,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
5,ASNS2: asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c
6,GLYGS: h2o_c + udpg_c --> 14glun_c + h_c + udp_c
7,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
8,ERTHMMOR: nad_c + r3mmal_c --> 2obut_c + co2_c + nadh_c
9,3MOBtmt: 3mob_m <=> 3mob_c
10,PRUK: atp_c + ru5p__D_c --> adp_c + h_c + rb15bp_c
11,GTHPe: 2.0 gthrd_e + h2o2_e --> gthox_e + 2.0 h2o_e
12,GLCDBRAN3: glycogen_c + h2o_c --> 14glucan_c + glc__D_c
13,DHQTi: 3dhq_c --> 3dhsk_c + h2o_c
14,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
15,FTHFLi: atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c
16,PDYXPT_c: pydam_c + pyr_c --> ala__L_c + pydx_c
17,PGLYDH: 3pg_h + nad_h --> 3php_h + h_h + nadh_h
18,ATPSu: 3.0 adp_c + 14.0 h_u + 3.0 pi_c --> 3.0 atp_c + 3.0 h2o_c + 11.0 h_c
19,MALT: h2o_c + malt_c --> 2.0 glc__D_c
20,NH4tmt: nh4_m <=> nh4_c
21,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
22,GLNth: gln__L_c + h_c --> gln__L_h + h_h
23,METR: 5mthf_c + cfesp_c --> mecfsp_c + thf_c
24,FORAMD: frmd_c + h2o_c --> for_c + nh4_c
25,PHSERt_h: phom_h --> phom_c
26,FBA3: s17bp_c --> dhap_c + e4p_c
27,GLUth: glu__L_h + h_h --> glu__L_c + h_c
28,ALAtmi: ala__L_m <=> ala__L_c
