,rxns_added
0,DATUP
1,NNDPR
2,RE2335C
3,RE0688C
4,ILEARGILEt
5,PCW3DS_DHA_ALNA_sn2_c
6,ATP2t_m
7,EX_fadh2_c
8,EX_metmetile_e
9,HSDxi
10,ARGN
11,ACOADAGAT_EPA_EPA_GLNA_c
12,EX_thrhishis_e
13,ASPK
14,FADt_h
15,SDOOR_c
16,RTOT2_cho
17,THRHISHISr
18,PCLAD
19,ETHAPT_DHA_DHA_c
20,DAGAH_MYRS_ARA_c
21,PAPA1819Z1819Z
22,HMR_9807
23,CHOPT_MYRS_HDE_c
24,PHETHPTOX
25,AM6SAD
26,METMETILEt
27,ASADHc
28,VALLEUPHEt
29,SO4HCOtex
30,THRHISHISt
31,DAGAH_LNA_LNA_c
32,PCW3DS_OLE_EPA_sn2_c
33,THRS
34,ARTFR213_cho
35,LEULEUTRPt
36,CYSLEUTHRt
37,DESAT18_6
38,LEUTYRTYRr
39,PLDAGAT_PALM_EPA_ARA_PC_6_c
40,PTRCTA
41,EX_valleuphe_e
42,HOXG
43,CHOPT_LNA_LNA_c
44,ILEARGILEr
45,LPEAT_DHA_ALNA_sn2_c
46,UDPGtnic
47,CYSLEUTHRr
48,LPCH1819Z_sn1_c
49,ETHAPT_DHA_ALNA_c
50,NADPPPS
51,EX_leuleutrp_e
52,IMPtr
53,ETHAPT_MYRS_ARA_c
54,EX_cysleuthr_e
55,QUILSYN
56,PCW3DS_MYRS_EPA_sn2_c
57,PAPA_MYRS_EPA_c
58,DAGAH_DHA_DHA_c
59,NTPP5
60,DESAT18_8
61,URIH
62,PAPA1801819Z
63,G5SADs
64,PLA2PC_PALM_ARA_c
65,ETHAPT_DHA_GLNA_c
66,AASAD3
67,AATA
68,PLDAGAT_MYRS_ARA_HDE_PE_15_c
69,VALLEUPHEr
70,METMETILEr
71,UREA
72,SO4t_e
73,NMNP
74,EX_ileargile_e
75,PLDAGAT_MYRS_ARA_HDE_PC_1_c
76,LEULEUTRPr
77,LPCH2264Z7Z10Z13Z16Z19Z_sn1_c
78,GLYCL_2
79,CYSLY3
80,PLA2PE_MYRS_MYRS_c
81,SMOX
82,CHOPT_MYRS_EPA_c
83,PLDAGAT_EPA_EPA_GLNA_PE_16_c
84,PLA2PC_DHA_LNA_c
85,PLA2PC_LNA_LNA_c
86,GLS2
87,lipid2
88,NTRIR4ppc
89,PCD12DS_LNA_EPA_sn1_c
90,LEUTYRTYRt
91,STPT1
92,NMNt7
93,EX_leutyrtyr_e
94,DAGAH_DHA_HDE_c
95,DHPD
96,ETHAPT_DHA_HDE_c
97,ACOADAGAT_MYRS_EPA_DHA_c
98,pe_prod2
99,DAGAH_MYRS_HDE_c
100,LPCAT_LNA_EPA_sn2_c
101,PLDPC_DHA_ALNA_c
102,DAGAH_LNA_ALNA_c
103,AMCOXO
104,PLDAGAT_MYRS_EPA_DHA_PE_15_c
105,ARTFR203_cho
106,GPDDA1
107,r0398
108,pe_prod14
109,PAPA_DHA_ALNA_c
110,HOXG_c
111,PLDAGAT_LNA_EPA_ARA_PE_9_c
112,DURADx
113,PLDAGAT_LNA_EPA_ARA_PC_2_c
114,UPPN
115,PYDXO
116,PLDAGAT_PALM_EPA_ARA_PC_1_c
117,PDYXPT_c
118,NTRIR3ppc
