,rxns_added
0,EX_phesertrp_e
1,PDYXPT_c
2,TYRPHETYRr
3,NH4t_1
4,ADPRDP
5,FBA3
6,NO3t7
7,AMPt
8,PHEPHEASNt
9,HMR_3951
10,r1898
11,TYRPHETYRt
12,PFKhc
13,H2O2t
14,PPIabc
15,lipid10
16,PHESERTRPr
17,EX_tyrphetyr_e
18,r1733
19,ASNS2
20,GLUCAN2abc
21,BPNT
22,GHMT2r
23,PYDXO
24,CYSLY3
25,ARGN_1
26,GLCt1
27,ETHAPT
28,EX_glucan1500_e
29,PHEPHEASNr
30,GTHPe
31,ALATA_L
32,GLS2
33,SO4HCOtex
34,GLS2e
35,EX_adprib_e
36,PSP_L
37,GTHOXti
38,GLUDy_pf
39,PGCD
40,PTPATe
41,PEFLIP
42,PLPSD18111Z1819Z
43,EX_atp_e
44,NTRIR2y
45,EX_phepheasn_e
46,HCO3E
47,G3POc
48,ORNCD_1
49,GLYCL
50,PHESERTRPt
51,DPCOAPPe
52,ACALDCD
53,SO3ti
54,ADPRIBt
55,NTRIR3ppc
56,UREAt
57,GLUVESSEC
58,EX_lipid_c
59,ETHAAL
60,PSERT
