,rxns_added
0,EX_valleuphe_e
1,CYOO6mc
2,ILEPROLYSt
3,EX_lyspheile_e
4,EX_ileprolys_e
5,RBPC
6,ARGSERSERt
7,EX_trpthrile_e
8,METMETILEt
9,ADPRDP
10,UREA
11,NADH6
12,ILEASNHISt
13,ILEPROLYSr
14,PDYXPT_c
15,ALALYSTHRt
16,VALLEUPHEr
17,ASPVALASNr
18,EX_glnasngln_e
19,ASPVALASNt
20,PRUK
21,TRPTHRILEt
22,GTHRDt2
23,ORNCD
24,THRILEARGt
25,EX_adprib_e
26,PSERT
27,PYDXO
28,PHETHRLYSt
29,EX_lyslyslys_e
30,ASNTYRTHRr
31,METMETILEr
32,PAPt
33,LEUASNASPt
34,LEUASNASPr
35,EX_ileasnhis_e
36,ALALYSTHRr
37,GLNASNGLNr
38,LYSPHEILEr
39,G3PT
40,PSP_L
41,LYSPHEILEt
42,VALLEUPHEt
43,PGCD
44,EX_alalysthr_e
45,ARGN
46,TRPTHRILEr
47,ADPRIBt
48,BPNT
49,LYSLYSLYSt
50,PHETHRLYSr
51,EX_thrilearg_e
52,EX_pap_e
53,ARGt2r
54,CYOR_q8_mc
55,GLNASNGLNt
56,ASNTYRTHRt
57,EX_argserser_e
58,EX_metmetile_e
59,THRILEARGr
60,LYSLYSLYSr
61,PYDXO_1
62,EX_asntyrthr_e
63,ILEASNHISr
64,RPI
65,H2Ot
66,GLUt4
67,CYSLY3
68,HMR_3951
69,EX_aspvalasn_e
70,ALATA_L
71,ARGSERSERr
72,ALCD19y
73,EX_leuasnasp_e
74,EX_phethrlys_e
75,GLYC3tr
