,rxns_added
0,NNAM
1,PLPSD1801819Z
2,KARI_23dhmbc
3,r2387
4,EX_tag_enhs
5,PIP4K_LNA_HDE_c
6,GBA2enhs
7,PCHOLDET_HSPLA2nhs
8,SMS21enhs
9,NMNS
10,HMR_0761nhs
11,LPCAT_STC_OLE_sn2_c
12,HXAt
13,LPCAT_DHA_DHA_sn2_c
14,RTOT2nhs
15,DAGAH_DHA_DHA_c
16,LPSenhs
17,RTOTAL3t
18,PLDAGAT_HDE_EPA_LNA_PC_1_c
19,LPCAT_MYRS_EPA_sn2_c
20,lipid2
21,RTOT4nhs
22,THD1m
23,MAGAH2055Z8Z11Z14Z17Z_c
24,FACOAE60
25,HMR_0795nhs
26,ARTFR31nhs
27,ARTFR11nhs
28,PLPSD18111Z1819Z
29,DAGAH_DHA_OLE_c
30,FAS120COA
31,R_group_phosphotase_2
32,MAGAH1829Z12Z_c
33,AMPt
34,DAGAH_LNA_LNA_c
35,ETHAPT_LNA_HDE_c
36,PIPLC_LNA_HDE_c
37,NADPPPS
38,PCW3DS_MYRS_ETA_sn2_c
39,LPCAT_STC_GLNA_sn2_c
40,AGPAT1_1nhs
41,LYStm
42,PI4P5K_LNA_HDE_c
43,LPEAT_LNA_HDE_sn2_c
44,RTOT3nhs
45,KARI_3hmoac
46,ARTFR56nhs
47,LPCAT_LNA_STC_sn2_c
48,ARGt2m
49,PLDPE_EPA_DHA_c
50,r2399
51,ETHAPT_LNA_LNA_c
52,TETTET6CPT1
53,LCAT6enhs
54,PSSA140
55,PLA2PC_MYRS_LNA_c
56,HMR_0770nhs
57,AGPATCOA_OLE_STC_c
58,ARTFR42nhs
59,GHMT2r
60,G3PAT1819Z_1
61,PPAPnhs
62,MDHm
63,RTOT5nhs
64,GPAM_hsnhs
65,FACOAE100
66,CHOPT_DHA_OLE_c
67,PAPA_EPA_GLNA_c
68,AGPATCOA_EPA_DHA_c
69,SUCCtmt
70,CDAPPA140
71,SERDC
72,PLA2PA_EPA_GLNA_c
73,r2386
74,ARTCOAL3_cho
75,DASYN_SC
76,PCHOLET_HSABCtnhs
77,OAAtmt
78,PCD5DS_MYRS_EPA_sn2_c
79,FACOAE1836Z9Z12Z
80,PI45BPP_SC
81,PCD12DS_STC_LNA_sn2_c
82,CTECOAI6
83,ACLS
84,CHOPT_OLE_STC_c
85,CEPTCnhs
86,PLDPE_OLE_STC_c
87,CHOPT_DHA_DHA_c
88,AGPAT1801819Zhc
89,FAEL183
90,ETHAPT_EPA_DHA_c
91,DHAD1
92,LPCAT_LNA_GLNA_sn2_c
93,PCD12DS_LNA_STC_sn1_c
94,PLDAGAT_HDE_EPA_LNA_PE_13_c
95,CRNtHa
96,VPAMTr
97,NMNP
98,RTOT_3nhs
99,RTOTALFATPc
100,CHOPT_LNA_LNA_c
101,CHOLESTle_1nhs
102,PCD6DS_LNA_GLNA_sn2_c
103,ETHAPT_OLE_STC_c
104,LPCAT_DHA_OLE_sn2_c
105,PIP3K_LNA_HDE_c
106,DAGAH_EPA_DHA_c
107,GLYCL_2
108,FACOAL205
109,PCD6DS_STC_GLNA_sn2_c
110,SPHMYLN_HsSECtnhs
111,LPCAT_MYRS_DGLA_sn2_c
