,rxns_added
0,PKETF
1,ASPO6_1
2,HMR_0906nhs
3,HMR_0817nhs
4,UHGADA
5,TYRPHETYRt
6,ACNAMt2
7,NEU310enhs
8,HMR_0889nhs
9,MOAT2
10,PDX5PS
11,TAGO
12,O16AT
13,DGULND
14,O16GLCT1
15,5DKGR
16,MOAT
17,PHEPHEASNr
18,NNDPR
19,UDPGALM
20,HMR_0859nhs
21,MECDPDH
22,HOXPRx
23,ANNAT
24,EX_phepheasn_e
25,RNMK
26,PYDXS
27,NEU23nhs
28,GNP
29,MECDPS
30,TECA3S45
31,O16GALFT
32,TDSK
33,EX_tyrtrpphe_e
34,OHPBAT
35,TYRPHETYRr
36,MEPCT
37,HMR_0820nhs
38,HMR_0890nhs
39,PDX5POi
40,FADt_h
41,USHD
42,HMR_0853nhs
43,NEU22nhs
44,ACGAMK
45,GQ1Btenhs
46,EX_gq1b_enhs
47,UDPGtnic
48,TYRTRPPHEr
49,PHEPHEASNt
50,HMR_0907nhs
51,GMPt6
52,HMR_0825nhs
53,CDPMEK
54,UAG2E
55,HMR_0846nhs
56,GMPR
57,PERD
58,EX_tyrphetyr_e
59,TYRTRPPHEt
60,HMR_0823nhs
61,DOGULNO1
62,LPADSS
63,DXPRIi
64,IPDPS
65,HMR_0875nhs
66,GALFT
67,GLXCBL
68,GAPP
69,U23GAAT
70,QULNS
71,PNP
72,NEU39enhs
73,HMR_0829nhs
74,EX_fadh2_c
75,LYXI
76,HMR_0827nhs
77,DOGULNR
