,rxns_added
0,PHETHPTOX
1,EX_leutyrtyr_e
2,PYDXO
3,NTRIR3ppc
4,LEULEUTRPt
5,VALLEUPHEt
6,ILEARGILEr
7,GTHRDH_syn
8,GTHOXti
9,THRASNTYRr
10,LEULEUTRPr
11,HYPTROX
12,LEUTYRTYRt
13,ILEASNHISt
14,ILEARGILEt
15,NH4t
16,H2O2t
17,PAPt
18,THRTHRARGr
19,VALLEUPHEr
20,GTHPe
21,SULR_1
22,DHPR
23,CYOO_HP
24,CYSLEUTHRr
25,PNTOt2
26,EX_cysleuthr_e
27,EX_thrasntyr_e
28,LEUTYRTYRr
29,CYSLEUTHRt
30,THRTHRARGt
31,EX_ileargile_e
32,ILEASNHISr
33,SULO
34,EX_ileasnhis_e
35,FA182COAabcpc
36,TAURt
37,THRASNTYRt
38,PGK_pf
39,PAN4PP
40,CITt2r
41,EX_pap_e
42,EX_pnto_R_e
43,r2000
44,EX_thrthrarg_e
45,PDYXPT_c
46,EX_valleuphe_e
47,NADPPPS
48,H2Ot
49,NAt5
50,EX_leuleutrp_e
51,CYSAMO_cho
