,rxns_added
0,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
1,BPNT: h2o_c + pap_c --> amp_c + pi_c
2,HMR_9605: ala__L_e + h_c + na1_e --> ala__L_c + h_e + na1_c
3,HISSNAT5tc: h_c + his__L_e + na1_e --> h_e + his__L_c + na1_c
4,DHQS: 2dda7p_c --> 3dhq_c + pi_c
5,HCO3E: co2_c + h2o_c --> h_c + hco3_c
6,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
7,PAPt: pap_e <=> pap_c
8,PRAIi: pran_c --> 2cpr5p_c
9,SUCOAACTr: ac_c + succoa_c --> accoa_c + succ_c
10,MALS: accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c
11,SULR_1: 3.0 h2o_c + h2s_c + 3.0 nadp_c --> 4.0 h_c + 3.0 nadph_c + so3_c
12,PROPAT4te: pro__L_e --> pro__L_c
13,RIBt: rib__D_e --> rib__D_c
14,G3PD2: glyc3p_c + nadp_c --> dhap_c + h_c + nadph_c
15,PPC: co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c
16,HMR_3951: na1_c + so3_c --> na1_e + so3_e
17,ARGt5r: arg__L_e --> arg__L_c
18,METtec: met__L_e --> met__L_c
19,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
20,GTHOXti: gthox_e --> gthox_c
21,LEUtec: leu__L_e --> leu__L_c
22,SUCDi: q8_c + succ_c --> fum_c + q8h2_c
23,EX_pap_e: pap_e <=> 
24,PPND: nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
25,CITACt: ac_c + cit_e --> ac_e + cit_c
26,GLYDHDA: gly_c + h2o_c + nad_c --> glx_c + h_c + nadh_c + nh4_c
27,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
28,GLYC3tr: glyc3p_e --> glyc3p_c
29,CITt2r: cit_e + h_e <=> cit_c + h_c
30,CHORM: chor_c --> pphn_c
31,SO4t_e: 2.0 h_c + so4_c --> 2.0 h_e + so4_e
32,r2534: thr__L_e --> thr__L_c
33,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
34,FUM: fum_c + h2o_c --> mal__L_c
35,VALtec: val__L_e --> val__L_c
36,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
37,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
38,GTHRDH_syn: gthrd_c + h2o_c --> cgly_c + glu__L_c
39,SULR_2: 6.0 fdxrd_c + 7.0 h_c + so3_c --> 6.0 fdxox_c + 3.0 h2o_c + h2s_c
40,ILEtec: ile__L_e --> ile__L_c
41,H2Ot: h2o_e <=> h2o_c
42,MALTt1r: malt_e <=> malt_c
43,PFK_ppi: f6p_c + ppi_c --> fdp_c + h_c + pi_c
44,ASNS2: asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c
45,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
46,ACALDCD: 2.0 acald_c --> actn__R_c
47,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
48,LYSt5r: lys__L_e --> lys__L_c
49,CYTBO3: 2.5 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.5 h_e + q8_c
50,SO4HCOtex: 2.0 hco3_c + so4_e --> 2.0 hco3_e + so4_c
51,O2t: o2_e <=> o2_c
52,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
53,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
54,FERIRDe: 2.0 fe3_e + qh2_c --> 2.0 fe2_e + 2.0 h_e + q_c
55,CHORS: 3psme_c --> chor_c + pi_c
56,r2526: ser__L_e --> ser__L_c
57,GLNt: gln__L_e --> gln__L_c
58,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
