,rxns_added
0,EX_histrphis_e
1,NH4ti
2,THRHISHISt
3,PCD6DS_HDE_GLNA_sn2_c
4,HCO3E
5,CS
6,HISTRPHISt
7,r1600
8,THRHISHISr
9,PFK_3
10,MOAT3C
11,r2000
12,LYSt5r
13,LPEAT_HDE_GLNA_sn2_c
14,EX_glucan1500_e
15,EX_phephethr_e
16,SULR_1
17,NMNP
18,NADDP
19,CYSLY3
20,ADPRIBt
21,3HAACOAT140
22,LPEH1819Z_sn1_c
23,ETHAPT_HDE_DHA_c
24,GLS2e
25,ETHAPT
26,TYRPHETYRt
27,RHACOAR140
28,PLDPE_HDE_LNA_c
29,SULR_2
30,KAT6
31,CYO1a
32,EX_amp_e
33,LPLIPAL1A161
34,GTHRDH_syn
35,ILEtec
36,GLYC3tr
37,NADPPPS
38,HEPKA2
39,EX_nad_e
40,PLDPC_HDE_GLNA_c
41,GLS2
42,PLA2PE_HDE_DHA_c
43,PLDPC_HDE_LNA_c
44,MAN6PI
45,PSP_L
46,G3PD2
47,EX_adprib_e
48,PGCD
49,NADDPe
50,HISTRPHISr
51,ACALDCD
52,O2t
53,ASNtN1
54,GLNS
55,HMR_3951
56,PHEPHETHRt
57,FACOAE181
58,ETHAPT_HDE_GLNA_c
59,EX_thrhishis_e
60,SO4HCOtex
61,SO4t_e
62,GHMT2r
63,AGPATCOA_HDE_HDE_c
64,PAPA_HDE_GLNA_c
65,ETHAPT_HDE_LNA_c
66,VALtec
67,GTHOXti
68,r2532
69,r2534
70,PSERT
71,HEPK2
72,H2Ot
73,LEUtec
74,PHEPHETHRr
75,NTPP4
76,TYRPHETYRr
77,GLUCAN2abc
78,PROPAT4te
79,ARGt5r
80,CITt2r
81,CYOO6mc
82,EX_tyrphetyr_e
