,rxns_added
0,PIP5P_LNA_LNA_c
1,pe_prod15
2,PIP4K_LNA_LNA_c
3,NTPTP2
4,SULO
5,PLIPA2E141
6,PKETX
7,CHOPT_OLE_OLE_c
8,PLA2_2_18_1_18_1nhs
9,GLCNACPT_L
10,PLA2PC_LNA_OLE_c
11,MAGAH1619Z_c
12,PIPLC_LNA_LNA_c
13,LPS2_18_1_18_1nhs
14,UAG2EMA
15,LPLIPAL1E141
16,PLIPA2E120
17,PLA2PE_MYRS_ALNA_c
18,NADPPPS
19,CTECOAI6
20,PCW3DS_LNA_ALNA_sn2_c
21,PLA2PE_OLE_OLE_c
22,CEPTC_18_1_18_1nhs
23,lipid2
24,LPS3_18_1nhs
25,lipid1
26,PLDAGAT18111Z18111Z1819Z1
27,PKETF
28,SERDC
29,LPCH160_sn1_c
30,SO4HCOtex
31,PTAr
32,pe_prod7
33,LPCAT_PALM_OLE_sn2_c
34,LPLIPAL1E120
35,HXAt
36,ETHAPT_MYRS_STC_c
37,PIP3P_LNA_LNA_c
38,SUCOAACTr
39,LPCAT_LNA_ALNA_sn2_c
40,PPK2
41,ASPOcm_1
42,LPCH140_sn1_c
43,NNDPR
44,LPEAT_MYRS_STC_sn2_c
45,FACOAE161
46,QULNS
47,PINOS
48,DAGAH_HDE_HDE_c
49,ACGAMK
50,ETHAPT_OLE_OLE_c
51,UDPGtnic
52,DAGCPT_SC
53,LPCAT_MYRS_STC_sn2_c
54,PI45BPP_SC
55,LPASE_18_1nhs
56,AMPt
57,ACOAD6
58,CHOPT_MYRS_STC_c
59,CHOPT_LNA_LNA_c
60,CHOPT_PALM_OLE_c
61,ACGAM2E
62,ETHAPT_HDE_HDE_c
