,rxns_added
0,GLNt
1,EX_valhisasn_e
2,ILEASNHISr
3,EX_asnasnarg_e
4,ASPVALASNt
5,PIt2r
6,GTHPe
7,LEUtec
8,ADSS
9,THRASNTYRr
10,CYSLY3
11,IMPtr
12,SO4t_e
13,ASPTA6
14,METtec
15,MOX
16,MDH
17,ILEARGILEt
18,ASNASNARGr
19,ALAPAT4te
20,EX_aspvalasn_e
21,FTCD
22,H2Ot
23,EX_thrilearg_e
24,FUM
25,PROPAT4te
26,EX_thrasntyr_e
27,ADK3
28,EX_lyspheile_e
29,ADSL1r
30,ASNS1
31,LYSLYSLYSt
32,EX_valtrpval_e
33,r2526
34,MTHFD
35,ASPVALASNr
36,ASNASNARGt
37,LYSPHEILEt
38,ME1
39,CYOO3
40,EX_ileargile_e
41,IZPN_1
42,LYSPHEILEr
43,GluForTx
44,VALTRPVALr
45,THRASNTYRt
46,PYDXO
47,GLYCL_2
48,PYDXO_1
49,EX_ileasnhis_e
50,VALHISASNr
51,EX_lyslyslys_e
52,ILEARGILEr
53,SULR_1
54,ORNCD
55,HISDr
56,VALHISASNt
57,VALTRPVALt
58,THRILEARGt
59,URCN
60,CYOR3m
61,GTHOXti
62,ILEASNHISt
63,THRILEARGr
64,ARGN
65,H2O2t
66,PDYXPT_c
67,UREA
68,LYSLYSLYSr
69,SULO
70,GTHRDt2
