,rxns_added
0,CHORM: chor_c --> pphn_c
1,HCITSm: accoa_m + akg_m + h2o_m --> coa_m + h_m + hcit_m
2,AASAD1: L2aadp_c + atp_c + h_c + nadph_c --> L2aadp6sa_c + amp_c + nadp_c + ppi_c
3,H2Ot: h2o_e <=> h2o_c
4,EX_his__L_e: his__L_e <=> 
5,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
6,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
7,SACCD2: h2o_c + nad_c + saccrp__L_c <=> akg_c + h_c + lys__L_c + nadh_c
8,EX_thr__L_e: thr__L_e <=> 
9,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
10,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
11,PYRtm: pyr_c --> pyr_m
12,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
13,3MOBtmt: 3mob_m <=> 3mob_c
14,MCITDm: hcit_m --> b124tc_m + h2o_m
15,OXAGm: h_m + oxag_m --> 2oxoadp_m + co2_m
16,SO4CLtex: 2.0 cl_c + so4_e --> 2.0 cl_e + so4_c
17,HICITDm: hicit_m + nad_m --> h_m + nadh_m + oxag_m
18,CLFORtex: cl_e + 2.0 for_c --> cl_c + 2.0 for_e
19,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
20,FDH7: co2_c + fdxr_42_c + h_c --> fdxo_42_c + for_c
21,ACOAR6m: h_m + nadph_m + td2coa_m --> nadp_m + tdcoa_m
22,EX_pap_e: pap_e <=> 
23,PMTCOAtm: pmtcoa_m --> pmtcoa_c
24,PAPt: pap_e <=> pap_c
25,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
26,r2534: thr__L_e --> thr__L_c
27,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
28,CO2tmt: co2_m <=> co2_c
29,GLYCK2: atp_c + glyc__R_c --> 2pg_c + adp_c + h_c
30,HISSNAT5tc: h_c + his__L_e + na1_e --> h_e + his__L_c + na1_c
31,ACOAR7m: h_m + hdd2coa_m + nadph_m --> nadp_m + pmtcoa_m
32,AASAD2: L2aadp_c + atp_c + h_c + nadh_c --> L2aadp6sa_c + amp_c + nad_c + ppi_c
33,VPAMTr: 3mob_c + ala__L_c --> pyr_c + val__L_c
34,HACNHm: b124tc_m + h2o_m --> hicit_m
35,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
36,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
37,ACOAR4m: dc2coa_m + h_m + nadph_m --> dcacoa_m + nadp_m
38,2OXOADPtim: 2oxoadp_m --> 2oxoadp_c
39,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
40,OCCOAtm: occoa_c --> occoa_m
41,FERIRDe: 2.0 fe3_e + qh2_c --> 2.0 fe2_e + 2.0 h_e + q_c
42,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
43,ACOAR5m: dd2coa_m + h_m + nadph_m --> ddcacoa_m + nadp_m
44,PRAIi: pran_c --> 2cpr5p_c
