,rxns_added
0,pe_prod5
1,PLDPC_EPA_ALNA_c
2,PLDAGAT_PALM_EPA_LNA_PC_1_c
3,PAPA_HDE_PALM
4,LPCAT_LNA_ALNA_sn2_c
5,PLDAGAT_MYRS_EPA_DHA_PE_13_c
6,GMPt6
7,PCW3DS_LNA_ALNA_sn2_c
8,CHOPT_EPA_DHA_c
9,LPEH2264Z7Z10Z13Z16Z19Z_sn1_c
10,CHOPT_MYRS_DHA_c
11,LPCH2264Z7Z10Z13Z16Z19Z_sn1_c
12,LPEAT_HDE_PALM_sn2_c
13,AFAT
14,PRFGCL
15,AGPATACP_HDE_PALM
16,LPLPS1AGPE18111Z
17,TYRPHETYRt
18,PLDPE_EPA_DHA_c
19,DBRC
20,5HBZIDMT
21,AGPATCOA_EPA_DHA_c
22,PLA2PC_EPA_ALNA_c
23,ETHAPT_PALM_DHA_c
24,DAGAH_OLE_DHA_c
25,PLA2PE_MYRS_DHA_c
26,AGPATCOA_HDE_DHA_c
27,pe_prod15
28,PLDAGAT_HDE_EPA_LNA_PC_7_c
29,5HBZIDS2
30,PLA2PC_PALM_LNA_c
31,PLDAGAT_OLE_EPA_DHA_PE_11_c
32,PRFGS
33,CHOPT_DHA_EPA_c
34,PRAGSr
35,TYRTRPPHEt
36,PHEPHEASNr
37,GART
38,ETHAPT_MYRS_DHA_c
39,EX_tyrtrpphe_e
40,PLDPE_PALM_EPA_c
41,LPEH1829Z12Z_sn1_c
42,PLPSA21801835Z9Z12Z
43,SMS
44,PHEPHEASNt
45,PLDAGAT_PALM_EPA_LNA_PC_5_c
46,EX_tyrphetyr_e
47,PLA2PA_EPA_LNA_c
48,ETHAPT_SC
49,DAGAH_OLE_GLNA_c
50,PLDPC_MYRS_GLNA_c
51,LPEAT_MYRS_GLNA_sn2_c
52,ETHAPT_EPA_ALNA_c
53,TYRTRPPHEr
54,DAGAH_PALM_DHA_c
55,EX_phepheasn_e
56,ETHAPT_OLE_DHA_c
57,HMR_9805
58,DAGAH_LNA_LNA_c
59,PLDAGAT_HDE_EPA_LNA_PE_15_c
60,ETHAPT_LNA_LNA_c
61,AGPATCOA_PALM_DHA_c
62,PLA2PE_OLE_DHA_c
63,PLDAGAT_PALM_EPA_LNA_PE_13_c
64,ETHAPT_EPA_DHA_c
65,LPLPS1AGPE1829Z12Z
66,LPEH1819Z_sn1_c
67,ETHAPT_MYRS_GLNA_c
68,AGPATCOA_PALM_EPA_c
69,ETHAPT_LNA_ALNA_c
70,ANNAT
71,ETHAPT_HDE_PALM_c
72,PLA2PE_DHA_EPA_c
73,PCD6DS_MYRS_GLNA_sn2_c
74,GLUPRT
75,ETHAPT_EPA_LNA_c
76,EX_fadh2_c
77,PLDAGAT_HDE_EPA_LNA_PC_2_c
78,DAGCPT
79,PLDPE_PALM_DHA_c
80,PLDPE_HDE_DHA_c
81,2_7_8_3
82,PAPA_EPA_ALNA_c
83,PLPSA218111Z1845Z9Z12Z15Z
84,PLDAGAT_MYRS_EPA_DHA_PC_6_c
85,PLDPE_HDE_HDE_c
86,RBFK
87,DAGCPT_SC
88,LPCAT_DHA_EPA_sn2_c
89,DAGAH_LNA_ALNA_c
90,TYRPHETYRr
91,PLDAGAT_PALM_EPA_LNA_PC_7_c
92,PAPA_MYRS_GLNA_c
93,NMNDA
94,LPEAT_EPA_ALNA_sn2_c
95,ETHAPT_DHA_EPA_c
96,ETHAPT_PALM_EPA_c
97,PLDAGAT_OLE_EPA_DHA_PE_13_c
98,PAPA_EPA_LNA_c
99,SERDC
100,LPCAT_MYRS_DHA_sn2_c
101,DAGAH_PALM_EPA_c
102,GMPR
103,PLPSA21829Z12Z1835Z9Z12Z
104,PLPSA21801845Z9Z12Z15Z
105,SMPD3l
