,rxns_added
0,PCm
1,3HAD41_m
2,TYRPHETYRt
3,FA120ACPtm
4,MALGLUth
5,LPLIPAL1G180
6,DNDPt49m
7,FAOXC80
8,PHEPHETHRt
9,MGCH
10,CMPDAi
11,GLUth
12,MDHC_nadp_hr
13,PLDAGAT_MYRS_EPA_ARA_PE_16_c
14,r2514m
15,TYRPHETYRr
16,APH120
17,RE3534C
18,C161CRN2t
19,HMR_1332
20,PGPP180
21,FAOXC121C101m
22,GMPR
23,NADPNe
24,MOGAT_cho
25,DNDPt35m
26,FADtm
27,PLDAGAT_HDE_EPA_ARA_PC_5_c
28,NADPPPS
29,SO4tl
30,PLDPE_HDE_HDE_c
31,PLA2PE_DHA_DHA_c
32,r0853
33,HMR_0354
34,PLIPA2G141
35,ARTPLM2
36,3OAS220_c
37,PI3PP_cho
38,HMR_1373
39,ACOADH100_m
40,PLDAGAT_MYRS_EPA_ARA_PC_3_c
41,PGPP_cho
42,LPS3_cho
43,PI3P4K_cho
44,GMPt6
45,PLDAGAT_HDE_EPA_ARA_PC_3_c
46,ECOAH3_1c
47,r1481
48,ETHAPT
49,PTGFS
50,ACOAR3mc
51,ECOAH4m
52,MYCTR2
53,ARTFR204_cho
54,EX_tyrphetyr_e
55,DAGCPT_SC
56,PGSA180
57,ETOHth
58,CDAPPA180
59,NMNP
60,MHGS
61,3OAR220_c
62,ASR
63,r1254
64,NCAMUP
65,EX_phephethr_e
66,lipid2
67,DXS
68,CITt2r
69,ARTFR207_cho
70,SULO
71,PCW3DS_LNA_EPA_sn2_c
72,PGPP141
73,PAPA1819Z1819Z
74,HMR_0182
75,HMR_3229
76,PHEPHETHRr
77,RNTR3c
78,PI45P3K_cho
79,PGPPT_cho
80,LPCAT_LNA_EPA_sn2_c
81,C161CPT12
82,APG3PAT120
83,PSP_L
84,CO2tmt
85,ANNAT
86,HISTRPHISr
87,FAO181p_evenc
88,DNDPt34m
89,LPCAT_HDE_HDE_sn2_c
90,ETHAPT_DHA_DHA_c
91,NMNt7
92,EX_nadp_e
93,PGSA141
94,RHACOAR60
95,ETHAPT_DHA_ARA_c
96,MYCTR
97,r1109
98,DAGAH_DHA_DHA_c
99,PLD_SC
100,CDAPPA141
101,FAOXC141C121m
102,LEUTAi
103,CHOPT_HDE_HDE_c
104,HMPK1
105,FAO3
106,RE3628M
107,DAGAH_DHA_ARA_c
108,HISHISLYSt
109,PI45PLC_cho
110,PAPA161
111,ARTCOAL2_cho
112,DCTPD
113,HISTRPHISt
114,HMR_1329
115,NDPK4m
116,PLIPA2G180
117,ACACT4m
118,DAGCPT
119,HISHISLYSr
120,HMR_4957
121,HMR_2635
122,HMPK3
123,3HAACOAT60
124,LPLIPAL1G141
125,EX_adprbp_e
126,PI34P5K_cho
127,PLPSD1819Z1819Z
128,LPCH1619Z_sn1_c
129,HACD4m
130,ASR2
131,EX_hishislys_e
132,EX_fadh2_c
133,CDIPTr_cho
134,EX_histrphis_e
135,FAOXC161C141m
136,RNTR4c
137,3OAR40_m
138,3OAS40_m
139,CLS_cho
140,NADPHtu
