,rxns_added
0,AGPAT180
1,PLA2PC_STC_STC_c
2,r0911
3,pe_prod3
4,2MB2COAc
5,PIPLC_PALM_EPA_c
6,DAGAH_STC_STC_c
7,OXACOAL
8,PTRCtmi
9,GLCtex
10,PLDAGAT_MYRS_EPA_ARA_PC_4_c
11,ECOAH9m
12,LPCAT_OLE_PALM_sn2_c
13,PAPA_HDE_STC_c
14,UFAGT
15,PSERT
16,LPEAT_EPA_ALNA_sn2_c
17,PHETYRLYSr
18,NNDPR
19,FACOAL200
20,ETHAPT_EPA_HDE_c
21,GLCS2
22,NO3t2
23,G3PAT2055Z8Z11Z14Z17Z_c
24,PLDPE_EPA_LNA_c
25,HMR_0906nhs
26,HMR_0890nhs
27,ETHAPT
28,HMR_0875nhs
29,PGSA181
30,EX_lyslyslys_e
31,r1464
32,SPP
33,LPCAT_OLE_GLNA_sn2_c
34,ARTCOAL1
35,SUCCtm
36,APG3PAT141
37,SALMCOM
38,FASm240
39,FASm260
40,D_LACt2m
41,PLDPC_LNA_ARA_c
42,EX_phetyrlys_e
43,LPLIPA2
44,r1401
45,PAPA_PALM_EPA_c
46,ARTFR202_cho
47,SERPHELYSt
48,CEPTC_18_1_18_1nhs
49,CMPN
50,PHTHDLS2
51,LPEH160_sn1_c
52,DAGAH_PALM_LNA_c
53,ETHAPT_MYRS_MYRS_c
54,GLCDBRAN3
55,PLA2PA_EPA_GLNA_c
56,DAGK181
57,PLA2PC_OLE_LNA_c
58,ETHAPT_PALM_PALM_c
59,PLIPA2G160
60,LPS2_18_1_18_1nhs
61,DAGCPT_SC
62,5AOPtmt
63,PLDPC_EPA_LNA_c
64,OIVD1m
65,PLDPC_STC_GLNA_c
66,ETHAPT_PALM_LNA_c
67,STARCH300Sc
68,GLCMAN6abc
69,NMNt7
70,ETHAPT_OLE_HDE_c
71,QULNS
72,CYSLtmt
73,PHETYRLYSt
74,CHOPT_OLE_HDE_c
75,AGPAT161
76,ACOXT
77,TMLOX_m
78,TYRTRPPHEt
79,HMR_2264
80,ACACT10m
81,PROtm_1
82,r1117
83,PHTHS2
84,PAPA_EPA_GLNA_c
85,MACCOAT
86,NADPPPS
87,NMNP
88,HMR_0410
89,AGPATCOA18111Z1819Z
90,PLDAGAT_PALM_HDE_HDE_PE_12_c
91,DAGCPT
92,ETHAPT_OLE_DHA_c
93,PHDCAt
94,ACKrm
