,rxns_added
0,CMPN
1,SUCRabc
2,PTAr
3,FDMO2
4,VITEtl
5,QULNS
6,ILEARGILEt
7,ASPO2y
8,DHNAOT_1
9,TRPTHRILEr
10,MHGS
11,PGSA161
12,GMPR
13,DOLPMT1_c
14,MPBQ
15,DOLPMT2
16,AGPAT180
17,DMTPHT
18,MG1B
19,CYSLEUTHRr
20,EX_cysleuthr_e
21,EX_avite1_e
22,EX_ileargile_e
23,THRTHRARGr
24,DOLPGT3
25,PGSA180
26,AGAKIc
27,THFGLUH
28,EX_leutyrtyr_e
29,POR_syn
30,TRPTHRILEt
31,POX2
32,HGNTOR
33,ALAALACNc
34,KARA2
35,ILEARGILEr
36,FUMAC
37,NADS2
38,THRHISHISr
39,THRTHRARGt
40,PYDXO
41,DOLPMT2_c
42,NMNN
43,DOLPGT1_c
44,LEUTYRTYRt
45,THRHISHISt
46,araphe2
47,DHPR2
48,VALLEUPHEt
49,DNADDP
50,DOLDPP_pf
51,FldAct
52,EX_trpthrile_e
53,EX_phllqne_e
54,HMR_3915
55,G3PT
56,DOLPMT1
57,AGPATCOA_HDE_HDE_c
58,CYSLEUTHRt
59,NAPT
60,DHAD2
61,G12MT2_cho
62,MACACI
63,VITKtl
64,MSULR
65,VALLEUPHEr
66,DHNAPHT
67,DOLPGT2
68,HMGL
69,DOLASNT_pf
70,PHETHPTOX
71,DOLASNT_c
72,DOLPGT1
73,DOLPGT3_c
74,HGPHT
75,LEUTYRTYRr
76,GMPt6
77,PRPPP
78,PS_asn__L_c
79,NNDPR
80,TOCOPHS1
81,G12MT3_c
82,EX_thrthrarg_e
83,TOCOPHOM1
84,G12MT4_c
85,R1PK
86,NTD4
87,EX_thrhishis_e
88,EX_valleuphe_e
