,rxns_added
0,ETHAPT_OLE_LNA_c
1,ASPNA1th
2,NA1ATPaseh
3,ACth
4,MALGLUth
5,LPEAT_HDE_EPA_sn2_c
6,ETHAPT_LNA_LNA_c
7,HCO3_h_thi
8,TYRPHETYRr
9,ETHAPT_HDE_EPA_c
10,SQDGS_EPA_HDE_h
11,AGPATCOA_HDE_HDE_c
12,ALCDH_nadp_hi
13,ETHAPT_LNA_GLNA_c
14,LPEAT_MYRS_LNA_sn2_c
15,PAPA161
16,PCW3DS_MYRS_EPA_sn2_c
17,G3PAT181h
18,PLA2PE_OLE_DHA_c
19,EX_3dhlchol_e
20,3DHLCAabc
21,MDH_nadp_hi
22,DESAT18_10
23,DAGK18111Z1819Zh
24,ACACT4pc
25,ACS_h
26,ACP1619ZD9DSc
27,PLDAGAT_MYRS_EPA_LNA_PE_14_c
28,CHOPT_MYRS_EPA_c
29,KAT3
30,LCA3GSc
31,GLUth
32,ATAMh
33,PAPA_LNA_EPA_c
34,DAGAH_OLE_EPA_c
35,EX_tyrphetyr_e
36,PCD6DS_HDE_GLNA_sn2_c
37,SULR_ferr
38,BCAROXR_h
39,3DHLCAS
40,UDPGNP
41,3HAACOAT100
42,TYRPHETYRt
43,DAGCPT
44,NADPPPS
45,PCD12DS_LNA_EPA_sn1_c
46,3HAACOAT140
47,ACOAR3mc
48,PLA2_2_18_1_18_2nhs
49,CHOPT_LNA_LNA_c
50,APSt_h
51,AGPATCOA_HDE_EPA_c
52,PAPA1819Z160h
53,PLDAGAT_EPA_EPA_LNA_PC_1_c
54,ETHAPT_MYRS_LNA_c
55,GGGT_EPA_HDDE_8_h
56,GMPt6
57,FAEL184_cho
58,RHACOAR100
59,PLDAGAT_PALM_EPA_ARA_PC_1_c
60,PLA2PC_LNA_DHA_c
61,PLDPE_MYRS_EPA_c
62,ACOADAGAT_PALM_EPA_ARA_c
63,CHOPT_OLE_DHA_c
64,AGPAT18111Z1819Zh
65,ETHAPT_MYRS_EPA_c
66,PLA2PE_LNA_LNA_c
67,CEPTC_18_1_18_2nhs
68,LPS3_18_1nhs
69,AGPATCOA_MYRS_EPA_c
70,DHCRD2nhs
71,ADPHt_h
72,PLDAGAT_PALM_HDE_GLNA_PE_12_c
73,LPS2_18_1_18_2nhs
74,G3PAT1819Z_h
75,AGPATCOA_PALM_PALM_c
76,DAGAH_OLE_LNA_c
77,ACCOAth
78,CBL
79,GGGT_EPA_HDTE_5_h
80,RTOT5nhs
81,LPEAT_LNA_EPA_sn2_c
82,ETHAPT_OLE_DHA_c
83,PHEPHEASNt
84,PLDAGAT_LNA_EPA_LNA_PC_3_c
85,PAPA_HDE_EPA_c
86,MGDGD15DS_EPA_HDTTE_sn2_h
87,AACPS6_1
88,EX_histrphis_e
89,AGPAT1819Z160h
90,LEUTAi
91,GLNHISHISt
92,PLDAGAT_EPA_EPA_LNA_PC_3_c
93,LPCAT_LNA_ALNA_sn2_c
94,PAPA_LNA_GLNA_c
95,GGGT_EPA_HDE_17_h
96,G3PAT1819Z_c
97,TAGAH_HDE_HDE_PALM_c
98,PLA2_2_18_1_18_1nhs
99,PLDPC_MYRS_LNA_c
100,ACACT6pc
101,GMPR
102,PLDPC_HDE_GLNA_c
103,LPEAT_HDE_GLNA_sn2_c
104,3HAD140
105,SQDGS_HDE_HDE_h
106,GLNHISHISr
107,GGGT_HDE_HDE_5_h
108,FA180h
109,lipid2
110,CEPTC_18_1_18_1nhs
111,AGPATCOA_STC_STC_c
112,INOSTO
113,PLDPC_LNA_GLNA_c
114,ETHAPT_LNA_EPA_c
115,GTHAMPORh
116,PLA2PE_MYRS_EPA_c
117,PLDAGAT_PALM_HDE_GLNA_PC_5_c
118,PAPA_HDE_GLNA_c
119,DHCRD1nhs
120,DESAT18_8
121,PLDAGAT_LNA_EPA_LNA_PE_13_c
122,EX_phepheasn_e
123,ETOHth
124,PHEPHEASNr
125,HISTRPHISr
126,GDR_nadp_h
127,SO4HCOtex
128,ASPth
129,AACPDAGAT_HDE_HDE_PALM_h
130,PPIth
131,LPEAT_LNA_GLNA_sn2_c
132,DGDGS_EPA_HDE_h
133,AGPAT180
134,GGGT_HDE_HDE_17_h
135,EX_glnhishis_e
136,PYC_h
137,DESAT20_1
138,NH4th
139,ARTFR52nhs
140,LCA3Gte
141,DGDGS1819Z160
142,ACP1819ZD9DS
143,PCW3DS_LNA_ALNA_sn2_c
144,aratyr1
145,PLA2PE_STC_GLNA_c
146,PLDAGAT_LNA_EPA_LNA_PE_11_c
147,APATTc
148,EX_lca3g_e
149,PAPA_MYRS_LNA_c
150,G1P_pi_th
151,PLDAGAT_MYRS_EPA_LNA_PE_11_c
152,TAG_HDE_HDE_PALMt_h
153,DGDGS_EPA_HDDE_h
154,DESAT20_2
155,AHHST
156,PLDPC_LNA_EPA_c
157,PSP_L
158,PCD12DS_LNA_DHA_sn1_c
159,HISTRPHISt
160,FAEL183_cho
161,PYRShic
162,CHOPT_OLE_EPA_c
163,DESAT18_6
164,ACALDh
165,ETHAPT_HDE_GLNA_c
166,RHACOAR140
