,rxns_added
0,GMPt6
1,ICL_1
2,NNDPR
3,MALtm
4,10FTHF5GLUtm
5,EX_glnhishis_e
6,FDH7
7,HISTRPHISt
8,TYRPHETYRt
9,EX_histrphis_e
10,ACONTm
11,GHMT2r_m
12,HISTRPHISr
13,EX_5mthf_e
14,FUMtm
15,NTD4
16,DAGCPT
17,FPGS7m_1
18,ETHAPT
19,AKGMALtm
20,QULNS
21,SERt2m
22,NMNP
23,FORtm
24,PSP_L
25,NADPPPS
26,ETHAPT_SC
27,5FTHFt2_1
28,TYRPHETYRr
29,EX_phepheasn_e
30,FPGS7_1
31,5MTHFt2_1
32,EX_5fthf_e
33,DAGCPT_SC
34,PHEPHEASNr
35,NMNt7
36,ASPO6_1
37,GMPR
38,GLNHISHISt
39,CMPDAi
40,SO4HCOtex
41,GLNHISHISr
42,EX_tyrphetyr_e
43,PHEPHEASNt
