,rxns_added
0,DOLPGT2
1,PCHOLN201_HSABCtnhs
2,NMNDA
3,lipid3
4,EX_HC00005_e
5,NADPPPS
6,lipid5
7,pe_prod7
8,DOLDPP
9,RIBFSc
10,GTPCII
11,LDL_HSSYNnhs
12,PRFGS
13,PHEPHETHRr
14,RTOTAL2FATPc
15,DAGCPT_SC
16,PSSA181
17,PEFLIP
18,pe_prod3
19,EX_thrhishis_e
20,KARI_3hmoac
21,DAGK120
22,DB4PS
23,EX_HC00008_e
24,ps_prod7
25,DOLPMT1
26,AGPAT120
27,ETHAPT_PALM_PALM_c
28,DHAD1
29,DOLPGT1
30,5HBZIDS2
31,PCHOLHSTDe_1nhs
32,SO4HCOtex
33,lipid10
34,5HBZIDMT
35,PRAGSr
36,MG1B
37,ps_prod1
38,ETHAPT_SC
39,G13MT_cho
40,ETHAPT
41,GMPt6
42,DAGK181
43,EX_valtrpval_e
44,SPS
45,APG3PAT120
46,THRHISHISr
47,THRHISHISt
48,CEPTCnhs
49,VPAMTr
50,THRTHRARGt
51,RTOT_3_cho
52,LPS3nhs
53,PCHOLN201_HSPLA2nhs
54,MOGATnhs
55,PHEPHETHRt
56,UDPDOLPT
57,GLCS2
58,F6PP
59,EX_hdl_enhs
60,DROPPRy
61,EX_phephethr_e
62,PMDPHT
63,CDAPPA141
64,ARTFR46_cho
65,PSD120
66,ALAALACNc
67,pe_prod2
68,ASPO6_1
69,PSSA141
70,DOLPMT2
71,RTOT_2_cho
72,PAPA161
73,lipid2
74,EX_ldl_hs_e
75,DAGK141
76,GLCS1
77,G16MT_cho
78,pe_prod4
79,ETHAPT_MYRS_MYRS_c
80,EX_HC00007_e
81,EX_HC00009_e
82,CDAPPA181
83,DOLPGT3
84,pe_prod5
85,GLUPRT
86,EX_thrthrarg_e
87,DAGCPT
88,ps_prod3
89,NNDPR
90,LCAT33enhs
91,VALTRPVALr
92,EX_fadh2_c
93,HDL_HSDEGnhs
94,PS_asn__L_c
95,EX_tag_enhs
96,ETHAPT_STC_STC_c
97,FGFThc
98,VALTRPVALt
99,DBRC
100,CHOLESTle_1nhs
101,QULNS
102,ARTCOAL2
103,RBFSa
104,PSP_L
105,GMPR
106,PGSA181
107,THRTHRARGr
108,APH120
109,pe_prod6
110,pc_prod
111,ARTFR12_cho
112,KARI_23dhmbc
113,PRFGCL
114,EX_HC00006_e
115,RTOTAL3FATPc
116,GLCNACPT_L
117,ANNAT
