,rxns_added
0,HISLYSTHRr
1,TRPTHRILEr
2,LEULEULAPc
3,LYSLYSLYSr
4,EX_valleuphe_e
5,VALLEUPHEr
6,PHETHPTOX
7,DHPR2
8,EX_lyslyslys_e
9,KARA2
10,TRPTHRILEt
11,KARI_3hmoac
12,DHAD2
13,EX_cysleuthr_e
14,HMR_3915
15,PYDXO
16,THRTHRARGt
17,1MNCAMt
18,CO2t
19,THFGLUH
20,ILEARGILEr
21,PSP_L
22,GMPt6
23,EX_leuleu_e
24,PDYXPT_c
25,CYSLY3
26,aratyr2
27,VPAMTr
28,NAPT
29,LYSLYSLYSt
30,CYSLEUTHRt
31,THRTHRARGr
32,EX_trpthrile_e
33,ILEARGILEt
34,NADPPPS
35,HISLYSTHRt
36,LYSTYRILEr
37,VALLEUPHEt
38,KARI_23dhmbc
39,EX_hislysthr_e
40,EX_thrthrarg_e
41,EX_lystyrile_e
42,LYSTYRILEt
43,METHFtxc
44,LEULEUPEPT1tc
45,GMPR
46,DHAD1
47,EX_ileargile_e
48,CYSLEUTHRr
