,rxns_added
0,PLDPE_PALM_ARA_c
1,THRHISHISr
2,NADNm
3,LPEH1829Z12Z_sn1_c
4,PLDAGAT_PALM_PALM_LNA_PE_13_c
5,PLPSA21819Z1835Z9Z12Z
6,PHEPHEASNt
7,PLA2PE_LNA_DHA_c
8,GLUDym
9,PAPA_HDE_LNA_c
10,PLDAGAT_HDE_EPA_OLE_PE_9_c
11,DASYN182_9_12
12,PLDPC_HDE_GLNA_c
13,CDPDAGS_HDE_LNA_c
14,MAGt_cho
15,CDAPPA120
16,EX_dag_enhs
17,NADPPPS
18,PGPP182_9_12
19,FAOXC1811602m_1
20,HMR_0362
21,CEPTC_20_4_20_4nhs
22,ACOADAGAT_DHA_EPA_ARA_c
23,ARTFR42_cho
24,LPAMt
25,NAPRTm
26,OXACOAL
27,PI345P3P_20_4_20_4nhs
28,PLA2PC_PALM_ARA_c
29,UREAtm
30,LPLIPAL1G120
31,ETHAPT_MYRS_DHA_c
32,PGSA182_9_12
33,ETHAPT_HDE_LNA_c
34,SMPD4nhs
35,PLA2PC_DHA_ARA_c
36,HMR_4957
37,CDAPPA141
38,NADPPPSm
39,EX_histrphis_e
40,FA40COAtm
41,MOGAT_cho
42,PLDAGAT_HDE_PALM_LNA_PE_11_c
43,ABGTA_m
44,HMR_2635
45,PLDAGAT_DHA_EPA_ARA_PC_5_c
46,PLDPE_OLE_PALM_c
47,ETHAPT_HDE_GLNA_c
48,ETHAPT_PALM_PALM_c
49,PAPA182_9_12
50,AGPATCOA_STC_OLE_c
51,PLDAGAT_EPA_EPA_PALM_PC_2_c
52,PLA2PC_MYRS_LNA_c
53,LPASEnhs
54,PCW3DS_LNA_EPA_sn2_c
55,FAO181p_evenc
56,PLA2_2enhs
57,GMPt6
58,PGPP120
59,UREA
60,LPLPS1AGPE1829Z12Z
61,NTD4
62,DAGAH_MYRS_DHA_c
63,PGSA120
64,ETHAPT_LNA_LNA_c
65,NNAMrm
66,CDIPT_HDE_LNA_c
67,FAEL183_cho
68,C161CPT12
69,PLA2_2_20_4_20_4nhs
70,ETHAPT_OLE_GLNA_c
71,ASPOR_m
72,PLDPE_HDE_HDE_c
73,PGPP141
74,TYRPHETYRt
75,AGPAT1801819Zhc
76,MIP2CS124_SC
77,PLDAGAT_HDE_EPA_OLE_PE_12_c
78,SPHMDAcnhs
79,DAGCPT
80,PAPA161
81,LPEH2055Z8Z11Z14Z17Z_sn1_c
82,HMR_2380
83,PGSA141
84,ACOXT
85,PLDAGAT_HDE_EPA_DHA_PE_16_c
86,LPCHOLtnhs
87,pe_prod12
88,PLDAGAT_LNA_EPA_GLNA_PC_3_c
89,ETHAPT_MYRS_OLE_c
90,PLDAGAT_DHA_EPA_ARA_PE_16_c
91,ARTCOAL1
92,PAPA_HDE_GLNA_c
93,PI34P5K_20_4_20_4nhs
94,NNDPRm
95,PLIPA2G141
96,NADPHtmt
97,LPCAT_HDE_HDE_sn2_c
98,MIP2C124PLC_SC
99,LPEAT_HDE_GLNA_sn2_c
100,EX_thrhishis_e
101,r1481
102,GMPR
103,ETHAPT_EPA_GLNA_c
104,lipid2
105,FAOXC8C6m
106,FAOXC6C4m
107,PLIPA2G120
108,CHLP
109,AGPATCOA18111Z1819Z
110,GTPtmt
111,PLDAGAT_LNA_EPA_ARA_PC_2_c
112,AGPAT18111Z1819Zhc
113,EX_sphmyln_enhs
114,DAGAH_MYRS_OLE_c
115,HISTRPHISt
116,PLDAGAT_EPA_EPA_PALM_PE_13_c
117,CRMtenhs
118,QULNS_m
119,PEPCKm
120,LPLIPAL1G141
121,PINOS
122,ABPTA_m
123,SO4HCOtex
124,RTOT_2_cho
125,EX_tyrphetyr_e
126,PLPSA21801819Z
127,LPAMt_c
128,PIP3P_HDE_LNA_c
129,PLDAGAT_PALM_EPA_ARA_PE_16_c
130,PPAP_cho
131,PLDAGAT_PALM_PALM_LNA_PE_11_c
132,ACONTm
133,CHOPT_HDE_HDE_c
134,AGPAT1_cho
135,HCO3Em
136,CEPTCnhs
137,CHOPT_LNA_LNA_c
138,UMPK6
139,ACCOAtm_1
140,PSP_L
141,HMR_3229
142,MIP2C126PLC_SC
143,C161CRN2t
144,O2tmt
145,PLD_SC
146,HISTRPHISr
147,PCm
148,PLDAGAT_HDE_PALM_LNA_PC_5_c
149,ACOAR3mc
150,DAGCPT_SC
151,r1435
152,FUMm
153,PLPSD1819Z1819Z
154,MIPC124PLC_SC
155,SMS21enhs
156,GDPtmt
157,LPASE_20_4nhs
158,THRHISHISt
159,PLDPE_LNA_EPA_c
160,CHOPT_PALM_PALM_c
161,GHMT2r_m
162,SGOR
163,ARTFR210_cho
164,pe_prod4
165,PLDAGAT_HDE_EPA_DHA_PE_9_c
166,LPEAT_PALM_ARA_sn2_c
167,EX_phepheasn_e
168,PHEPHEASNr
169,LPEAT_LNA_EPA_sn2_c
170,PLDPC_LNA_EPA_c
171,RTOT2_cho
172,r2514m
173,MALtm
174,DHAPtm
175,1AGPEAT1819Z1829Z12Z
176,PLDPC_PALM_ARA_c
177,PLDAGAT_LNA_EPA_ARA_PC_5_c
178,HMR_3966
179,FAOXC181C161m
180,PI45PLC_20_4_20_4nhs
181,ICL_1
182,GPAM_cho
183,L_LACD3
184,PEPC_m
185,lipid1
186,ECOAH3_1c
187,pe_prod5
188,1AGPEAT1829Z12Z1835Z9Z12Z
