,rxns_added
0,PLDPE_EPA_ARA_c
1,AGPAT181
2,EX_tag_enhs
3,ACOAR4mc
4,LPLIPAL1G140
5,PI4P5K_EPA_HDE_c
6,pe_prod7
7,ETHAPT_PALM_OLE_c
8,LPEAT_MYRS_ARA_sn2_c
9,PLDAGAT_OLE_EPA_EPA_PE_11_c
10,DAGAH_MYRS_DHA_c
11,lipid10
12,LPCAT_HDE_ALNA_sn2_c
13,ACACT5pc
14,EX_phepheasn_e
15,TYRPHETYRt
16,PLDAGAT_PALM_HDE_HDE_PE_11_c
17,LPLIPAL1G181
18,LPCAT_STC_OLE_sn2_c
19,FAO181p_oddc
20,PHEPHEASNt
21,PLDAGAT_HDE_HDE_HDE_PE_10_c
22,PLA2PC_PALM_ALNA_c
23,EX_tyrphetyr_e
24,GMPt6
25,PCW3DS_EPA_ALNA_sn2_c
26,FA80ACPHi
27,PEFLIP
28,ETHAPT_MYRS_MYRS_c
29,MEVK1
30,FACOAE60
31,ACACT4pc
32,ARTCOAL1
33,ANNAT
34,GLCS1
35,PAPA_MYRS_DHA_c
36,PLPSD1801819Z
37,PLA2PC_STC_LNA_c
38,PCW3DS_STC_ALNA_sn2_c
39,CDAPPA141
40,PLPSA21801829Z12Z
41,PLDAGAT_HDE_EPA_OLE_PE_9_c
42,3HAD100
43,CDAPPA120
44,PLA2PE_OLE_DHA_c
45,DCTPD2
46,AGPATCOA_PALM_OLE_c
47,DAGAH_PALM_DHA_c
48,RHACOAR120
49,PCD12DS_EPA_LNA_sn2_c
50,PLIPA2G120
51,XOLEST2te_cho
52,PGPP140
53,PLDAGAT_LNA_EPA_LNA_PC_4_c
54,PGPP141
55,EX_HC00005_e
56,EX_idl_enhs
57,CEPTE_18_2_20_4nhs
58,DAGK120
59,GMPR
60,DAGK141
61,PLPSA21829Z12Z1835Z9Z12Z
62,PLA2_2_cho
63,PCHOLHSTDe
64,lipid5
65,ACOAR5mc
66,TYRPHETYRr
67,CHOPT_HDE_EPA_c
68,3HAACOAT100
69,LCAT1e_cho
70,EX_ldl_enhs
71,CDAPPA181
72,pe_prod15
73,CHOPT_STC_OLE_c
74,HMR_0410
75,GLCS2
76,PLIPA2G181
77,PEPT_EC
78,PAPA1801819Z
79,PAPA_EC
80,LPCAT_PALM_DHA_sn2_c
81,PLD_SC
82,LPCHOLt_cho
83,PCW3DS_EPA_EPA_sn2_c
84,TYRTRPPHEr
85,LPLIPAL1G141
86,PAPA_HDE_EPA_c
87,PLDAGAT_HDE_EPA_HDE_PE_10_c
88,AGPATCOA1601819Z
89,PLIPA2G140
90,PLDPC_HDE_LNA_c
91,LPEAT_STC_ALNA_sn2_c
92,PLDPC_EPA_ARA_c
93,DAGAH_MYRS_EPA_c
94,PGSA120
95,PLDPE_EPA_OLE_c
96,LPEAT_LNA_DHA_sn2_c
97,ETHAPT_MYRS_OLE_c
98,LPLPS1AGPE1829Z12Z
99,pe_prod3
100,LPEH160_sn1_c
101,LPCAT_OLE_DHA_sn2_c
102,ETHAPT_MYRS_ARA_c
103,LDL_HSSYNnhs
104,PIP4K_HDE_LNA_c
105,pe_prod6
106,PGPP181
107,LPCH1819Z_sn1_c
108,PIPLC_EPA_HDE_c
109,LPEH1829Z12Z_sn1_c
110,PLDPE_PALM_OLE_c
111,AGPATCOA_MYRS_DHA_c
112,AGPATCOA_HDE_EPA_c
113,ETHAPT
114,LPCAT_HDE_EPA_sn2_c
115,PHEPHEASNr
116,ETHAPT_STC_ALNA_c
117,PCW3DS_MYRS_EPA_sn2_c
118,EX_tyrtrpphe_e
119,PCW3DS_PALM_ALNA_sn2_c
120,LPCAT_EPA_ALNA_sn2_c
121,AGPATCOA_MYRS_EPA_c
122,PLPSA21819Z1829Z12Z
123,pe_prod1
124,lipid1
125,PGSA181
126,PLDPC_LNA_DHA_c
127,LPEH1819Z_sn1_c
128,EX_HC00009_e
129,PLA2PE_OLE_HDE_c
130,PCHOLHSTDe_1nhs
131,pe_prod4
132,PGSA141
133,PLDAGAT_HDE_EPA_HDE_PE_14_c
134,ETHAPT_HDE_EPA_c
135,PLDAGAT_HDE_HDE_HDE_PE_13_c
136,PGPP120
137,PLDPC_EPA_OLE_c
138,PLA2_2nhs
139,CDAPPA140
140,PAPA_MYRS_EPA_c
141,CHOPT_PALM_HDE_c
142,PLDPC_MYRS_ARA_c
143,NNDPR
144,PLA2_2_18_2_20_4nhs
145,ETHAPT_PALM_PALM_c
146,ACACT6pc
147,CHOLESACATc
148,DAGCPT_SC
149,ETHAPT_OLE_DHA_c
150,PAPA_MYRS_ARA_c
151,LPLIPA2
152,AGPAT160
153,3OAR40_2
154,CHOPT_PALM_DHA_c
155,LPASE_18_2nhs
156,UDPGtnic
157,CEPTC_18_2_20_4nhs
158,PLIPA2G141
159,SO4HCOtex
160,ACOADAGAT_OLE_EPA_EPA_c
161,PLPSA21819Z1835Z9Z12Z
162,IDL_HSSYNnhs
163,lipid2
164,NMNP
165,CMPDAi
166,3HAACOAT120
167,LPASEnhs
168,CHSTEROLt
169,PLA2PE_MYRS_HDE_c
170,PLDPE_PALM_PALM_c
171,QULNS
172,AGPATCOA_MYRS_HDE_c
173,LPCAT_EPA_EPA_sn2_c
174,PAPA140
175,ETHAPT_EPA_HDE_c
176,PI4P5K_HDE_LNA_c
177,PIP3P_HDE_LNA_c
178,ACOADAGAT_PALM_EPA_ARA_c
179,pe_prod12
180,3HAD80
181,PCD12DS_LNA_DHA_sn1_c
182,pc_prod
183,TYRTRPPHEt
184,PAPA181
185,ETHAPT_STC_STC_c
186,MEVK4
187,PLDPE_PALM_HDE_c
188,PAPA_PALM_HDE_c
189,PAPA_STC_ALNA_c
190,PIPLC_HDE_LNA_c
191,NADPPPS
192,PLDAGAT_PALM_EPA_ARA_PE_15_c
193,CHOPT_MYRS_EPA_c
194,PLDAGAT_OLE_HDE_OLE_PE_14_c
195,CHOPT_OLE_DHA_c
196,PASYN_EC
197,PCW3DS_HDE_ALNA_sn2_c
198,PLDPE_MYRS_HDE_c
199,PLDAGAT_OLE_HDE_OLE_PE_9_c
200,PGSA140
201,3HAD120
202,DAGCPT
203,ETHAPT_HDE_HDE_c
204,lipid3
205,PAPA_HDE_LNA_c
206,RHACOAR100
207,PLDPE_LNA_DHA_c
208,PLDAGAT_PALM_HDE_HDE_PE_10_c
209,NMNt7
210,ASPO6_1
211,LPLIPAL1G120
