,rxns_added
0,EX_his__L_e: his__L_e <=> 
1,PRPPS: atp_c + r5p_c --> amp_c + h_c + prpp_c
2,FERIRDe: 2.0 fe3_e + qh2_c --> 2.0 fe2_e + 2.0 h_e + q_c
3,GLCt1: glc__D_e <=> glc__D_c
4,EX_val__L_e: val__L_e <=> 
5,CHORS: 3psme_c --> chor_c + pi_c
6,EX_leu__L_e: leu__L_e <=> 
7,MALS: accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c
8,NADHDH: 3.0 h_c + nadh_c + q_c --> 2.0 h_e + nad_c + qh2_c
9,HPYRP: 3php_c + h2o_c --> hpyr_c + pi_c
10,TALA: g3p_c + s7p_c --> e4p_c + f6p_c
11,aratyr2: 3mop_c + tyr__L_c --> 34hpp_c + ile__L_c
12,LEUtec: leu__L_e --> leu__L_c
13,FDH7: co2_c + fdxr_42_c + h_c --> fdxo_42_c + for_c
14,HMR_3915: amet_c + thf_c --> 5mthf_c + ahcys_c
15,SO4t_e: 2.0 h_c + so4_c --> 2.0 h_e + so4_e
16,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
17,ORNt: orn_e --> orn_c
18,ASNS2: asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c
19,FBP: fdp_c + h2o_c --> f6p_c + pi_c
20,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
21,ORNCD: orn_c --> nh4_c + pro__L_c
22,PDYXPT_c: pydam_c + pyr_c --> ala__L_c + pydx_c
23,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
24,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
25,GTHOXti: gthox_e --> gthox_c
26,PPND: nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
27,MLTP3: malthp_c + pi_c --> g1p_c + malthx_c
28,DHQTi: 3dhq_c --> 3dhsk_c + h2o_c
29,r2534: thr__L_e --> thr__L_c
30,GLUt2r: glu__L_e + h_e <=> glu__L_c + h_c
31,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
32,MLTP2: malthx_c + pi_c --> g1p_c + maltpt_c
33,ERTHMMOR: nad_c + r3mmal_c --> 2obut_c + co2_c + nadh_c
34,FBA: fdp_c <=> dhap_c + g3p_c
35,CYSTS: hcys__L_c + ser__L_c --> cyst__L_c + h2o_c
36,EX_thr__L_e: thr__L_e <=> 
37,CYOO3: 2.0 focytcc_c + 6.0 h_c + 0.5 o2_c --> 2.0 ficytcc_c + h2o_c + 4.0 h_e
38,FTHFLi: atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c
39,HPYRRy: h_c + hpyr_c + nadph_c --> glyc__R_c + nadp_c
40,LGTHL: gthrd_c + mthgxl_c --> lgt__S_c
41,CHORM: chor_c --> pphn_c
42,AMETt2: amet_e + h_e --> amet_c + h_c
43,MLTG1: h2o_c + malttr_c --> glc__D_c + malt_c
44,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
45,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
46,ARGt5r: arg__L_e --> arg__L_c
47,EX_amet_e: amet_e <=> 
48,MTHFR5: fdxo_42_c + h_c + mlthf_c + 2.0 nadh_c --> 5mthf_c + fdxr_42_c + 2.0 nad_c
49,PHETA1: akg_c + phe__L_c <=> glu__L_c + phpyr_c
50,CYOR3m: 2.0 ficytcc_c + h_c + mql7_c --> 2.0 focytcc_c + 3.0 h_e + mqn7_c
51,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
52,HYDFDN2r: fdxo_42_c + 2.0 h2_c + nadp_c --> fdxr_42_c + 3.0 h_c + nadph_c
53,RBPC: co2_c + h2o_c + rb15bp_c --> 2.0 3pg_c + 2.0 h_c
54,TYRTAi: 34hpp_c + glu__L_c --> akg_c + tyr__L_c
55,MTHFC: h2o_c + methf_c <=> 10fthf_c + h_c
56,MLTP1: maltpt_c + pi_c --> g1p_c + maltttr_c
57,HCO3E: co2_c + h2o_c --> h_c + hco3_c
58,MALTt1r: malt_e <=> malt_c
59,PRUK: atp_c + ru5p__D_c --> adp_c + h_c + rb15bp_c
60,SULR_2: 6.0 fdxrd_c + 7.0 h_c + so3_c --> 6.0 fdxox_c + 3.0 h2o_c + h2s_c
61,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
62,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
63,CYSDS: cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c
64,CODH_ACS: co2_c + coa_c + fdxr_42_c + h_c + mecfsp_c --> accoa_c + cfesp_c + fdxo_42_c + h2o_c
65,HCYSMT: amet_c + hcys__L_c --> ahcys_c + h_c + met__L_c
66,ALATA_L: akg_c + ala__L_c --> glu__L_c + pyr_c
67,TRSARyr: 2h3oppan_c + h_c + nadph_c --> glyc__R_c + nadp_c
68,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
69,MTHFD: mlthf_c + nadp_c <=> methf_c + nadph_c
70,METR: 5mthf_c + cfesp_c --> mecfsp_c + thf_c
71,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
72,GLYCK2: atp_c + glyc__R_c --> 2pg_c + adp_c + h_c
73,LDH_D: lac__D_c + nad_c --> h_c + nadh_c + pyr_c
74,CITMS: accoa_c + h2o_c + pyr_c --> citm_c + coa_c + h_c
75,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
76,LYSt5r: lys__L_e --> lys__L_c
77,GLYOX_2: h2o_c + lgt__S_c --> gthrd_c + h_c + lac__D_c + mthgxl_c
78,RPEc: 2.0 ru5p__D_c <=> 2.0 xu5p__D_c
79,H2O2t: h2o2_e <=> h2o2_c
80,PRAIi: pran_c --> 2cpr5p_c
81,CYSTGL: cyst__L_c + h2o_c --> 2obut_c + cys__L_c + nh4_c
82,H2ASE_syn: h_c + nadph_c --> h2_c + nadp_c
83,MDH: mal__L_c + nad_c <=> h_c + nadh_c + oaa_c
84,GPDDA3: g3ps_c + h2o_c --> glyc3p_c + h_c + ser__L_c
85,GLXCL: 2.0 glx_c + h_c --> 2h3oppan_c + co2_c
86,TKT2: e4p_c + xu5p__D_c <=> f6p_c + g3p_c
87,CITCIb: citac_c + h2o_c --> r3mmal_c
88,GLYCLTDy: glx_c + h_c + nadph_c --> glyclt_c + nadp_c
89,VALtec: val__L_e --> val__L_c
90,MLTG2: h2o_c + maltttr_c --> glc__D_c + malttr_c
91,HIStiDF: his__L_e --> his__L_c
92,GLNS: atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c
93,GLYDHDA: gly_c + h2o_c + nad_c --> glx_c + h_c + nadh_c + nh4_c
94,DHQS: 2dda7p_c --> 3dhq_c + pi_c
95,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
96,CITCIa: citm_c --> citac_c + h2o_c
97,g3ps_t: g3ps_e <=> g3ps_c
98,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
99,TKT1: r5p_c + xu5p__D_c <=> g3p_c + s7p_c
100,EX_lys__L_e: lys__L_e <=> 
101,PYDXO_1: h2o_c + o2_c + pydam_c --> h2o2_c + nh4_c + pydx_c
102,RPI: r5p_c <=> ru5p__D_c
