,rxns_added
0,PC
1,CYSGLUexR
2,HISLYSTHRr
3,THRILEARGt
4,GLYCL
5,CYSLEUTHRr
6,GLUVESSEC
7,LYSTYRILEt
8,VALLEUPHEt
9,EX_leuleu_e
10,EX_lystyrile_e
11,PAPt
12,HCO3E
13,SULO
14,VALLEUPHEr
15,EX_valleuphe_e
16,r1600
17,HISLYSTHRt
18,DHAD1
19,ASNS1
20,LEULEUTRPr
21,CYSLY3
22,LYSLYSLYSr
23,LYSLYSLYSt
24,EX_leuleutrp_e
25,GLCt1
26,ASPTA6
27,LEULEULAPc
28,EX_ileargile_e
29,VPAMTr
30,EX_thrilearg_e
31,ILEARGILEt
32,EX_cysleuthr_e
33,GHMT2r
34,EX_pap_e
35,GLS2
36,BPNT
37,ACLS
38,EX_lyslyslys_e
39,GTHOXti
40,ILEARGILEr
41,LEULEUTRPt
42,KARI_23dhmbc
43,LYSTYRILEr
44,THRILEARGr
45,LEULEUPEPT1tc
46,CYSDS
47,ASNS2
48,CYSLEUTHRt
49,EX_hislysthr_e
50,KARI_3hmoac
