,rxns_added
0,HCO3E: co2_c + h2o_c --> h_c + hco3_c
1,DAGK181: 12dgr181_c + atp_c --> adp_c + h_c + pa181_c
2,EX_leu__L_e: leu__L_e <=> 
3,ACAFDOR: acald_c + fdxo_42_c + h2o_c --> ac_c + fdxr_42_c + 3.0 h_c
4,EX_val__L_e: val__L_e <=> 
5,PSSA181: cdpdodec11eg_c + ser__L_c --> cmp_c + h_c + ps181_c
6,GHMT2r: ser__L_c + thf_c <=> gly_c + h2o_c + mlthf_c
7,EX_lys__L_e: lys__L_e <=> 
8,GLUDy: glu__L_c + h2o_c + nadp_c <=> akg_c + h_c + nadph_c + nh4_c
9,DASYN120: ctp_c + h_c + pa120_c --> cdpdddecg_c + ppi_c
10,ETHAPT_PALM_PALM_c: 12dgr160_c + cdpea_c --> cmp_c + h_c + pe160_c
11,PSD141: h_c + ps141_c --> co2_c + pe141_c
12,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
13,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
14,GTHAMPOR: amp_c + gthox_c + h_c + so3_c --> aps_c + 2.0 gthrd_c
15,VALtec: val__L_e --> val__L_c
16,PLPSD18111Z1819Z: h2o_c + pe18111Z1819Z_c --> etha_c + h_c + pa18111Z1819Z_c
17,EX_trp__L_e: trp__L_e <=> 
18,aratyr2: 3mop_c + tyr__L_c --> 34hpp_c + ile__L_c
19,PSSA141: cdpdtdec7eg_c + ser__L_c --> cmp_c + h_c + ps141_c
20,ETHAPT_STC_STC_c: 12dgr180_c + cdpea_c --> cmp_c + h_c + pe180_c
21,ACYP_2: actp_c + h2o_c --> ac_c + h_c + pi_c
22,MLTP2: malthx_c + pi_c --> g1p_c + maltpt_c
23,r2000: cys__L_c + lys__L_e --> cys__L_e + lys__L_c
24,PC: atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c
25,CITCIa: citm_c --> citac_c + h2o_c
26,r2534: thr__L_e --> thr__L_c
27,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
28,MLTG2: h2o_c + maltttr_c --> glc__D_c + malttr_c
29,LGTHL: gthrd_c + mthgxl_c --> lgt__S_c
30,GLCt1: glc__D_e <=> glc__D_c
31,GLU5K: atp_c + glu__L_c --> adp_c + glu5p_c
32,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
33,PSD120: h_c + ps120_c --> co2_c + pe120_c
34,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
35,TYRTA: akg_c + tyr__L_c <=> 34hpp_c + glu__L_c
36,GTHOXti: gthox_e --> gthox_c
37,PAPt: pap_e <=> pap_c
38,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
39,PSSA120: cdpdddecg_c + ser__L_c --> cmp_c + h_c + ps120_c
40,GLNS: atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c
41,r2048: cys__L_c + his__L_e --> cys__L_e + his__L_c
42,GLUt2r: glu__L_e + h_e <=> glu__L_c + h_c
43,G5SADs: glu5sa_c <=> 1pyr5c_c + h2o_c + h_c
44,GLYOX_2: h2o_c + lgt__S_c --> gthrd_c + h_c + lac__D_c + mthgxl_c
45,CHORS: 3psme_c --> chor_c + pi_c
46,FTHFLi: atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c
47,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
48,ARSO4SH: arso4_c + h2o_c --> 2.0 h_c + phenol_c + so4_c
49,AMETt2: amet_e + h_e --> amet_c + h_c
50,ERTHMMOR: nad_c + r3mmal_c --> 2obut_c + co2_c + nadh_c
51,HCYSMT: amet_c + hcys__L_c --> ahcys_c + h_c + met__L_c
52,CITMS: accoa_c + h2o_c + pyr_c --> citm_c + coa_c + h_c
53,PHETA1: akg_c + phe__L_c <=> glu__L_c + phpyr_c
54,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
