,rxns_added
0,r2534: thr__L_e --> thr__L_c
1,PGLYDH: 3pg_h + nad_h --> 3php_h + h_h + nadh_h
2,MLTG1: h2o_c + malttr_c --> glc__D_c + malt_c
3,FBA: fdp_c <=> dhap_c + g3p_c
4,EX_his__L_e: his__L_e <=> 
5,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
6,ACOAH: ac_c + coa_c + h_c --> accoa_c + h2o_c
7,PSP: h2o_h + pser__L_h --> pi_h + ser__L_h
8,LGTHL: gthrd_c + mthgxl_c --> lgt__S_c
9,HISSNAT5tc: h_c + his__L_e + na1_e --> h_e + his__L_c + na1_c
10,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
11,SPODMm: 2.0 h_m + 2.0 o2s_m --> h2o2_m + o2_m
12,GLUth: glu__L_h + h_h --> glu__L_c + h_c
13,ILEtec: ile__L_e --> ile__L_c
14,PYDXO_1: h2o_c + o2_c + pydam_c --> h2o2_c + nh4_c + pydx_c
15,HCYSMT: amet_c + hcys__L_c --> ahcys_c + h_c + met__L_c
16,r0963: fol_e <=> fol_c
17,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
18,GLNtN1: gln__L_e + h_c + 2.0 na1_e --> gln__L_c + h_e + 2.0 na1_c
19,VALtec: val__L_e --> val__L_c
20,FAO10: atp_c + 9.0 coa_c + 7.0 fad_c + 8.0 h2o_c + 8.0 nad_c + ocdcea_c --> 9.0 accoa_c + amp_c + 7.0 fadh2_c + 8.0 h_c + 8.0 nadh_c + ppi_c
21,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
22,r2419: akg_c + pi_m --> akg_m + pi_c
23,MDH: mal__L_c + nad_c <=> h_c + nadh_c + oaa_c
24,GPDDA3: g3ps_c + h2o_c --> glyc3p_c + h_c + ser__L_c
25,RPI: r5p_c <=> ru5p__D_c
26,ORNCD: orn_c --> nh4_c + pro__L_c
27,GAPDHh: g3p_h + nad_h + pi_h --> 13dpg_h + h_h + nadh_h
28,HMR_3951: na1_c + so3_c --> na1_e + so3_e
