,rxns_added
0,CYSDS: cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c
1,GLUVESSEC: atp_c + glu__L_c + h2o_c --> adp_c + glu__L_e + h_c + pi_c
2,ACYP_2: actp_c + h2o_c --> ac_c + h_c + pi_c
3,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
4,NADHDH: 3.0 h_c + nadh_c + q_c --> 2.0 h_e + nad_c + qh2_c
5,PDYXPT_c: pydam_c + pyr_c --> ala__L_c + pydx_c
6,GLYDHDA: gly_c + h2o_c + nad_c --> glx_c + h_c + nadh_c + nh4_c
7,CODH_ACS: co2_c + coa_c + fdxr_42_c + h_c + mecfsp_c --> accoa_c + cfesp_c + fdxo_42_c + h2o_c
8,GluForTx: forglu_c + h_c + thf_c --> 5forthf_c + glu__L_c
9,UREAt: urea_e <=> urea_c
10,TRSARyr: 2h3oppan_c + h_c + nadph_c --> glyc__R_c + nadp_c
11,ARGt5r: arg__L_e --> arg__L_c
12,r2534: thr__L_e --> thr__L_c
13,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
14,ORNCD: orn_c --> nh4_c + pro__L_c
15,HIStiDF: his__L_e --> his__L_c
16,MTHFR5: fdxo_42_c + h_c + mlthf_c + 2.0 nadh_c --> 5mthf_c + fdxr_42_c + 2.0 nad_c
17,EX_thr__L_e: thr__L_e <=> 
18,H2O2t: h2o2_e <=> h2o2_c
19,LYSt5r: lys__L_e --> lys__L_c
20,AMETt2: amet_e + h_e --> amet_c + h_c
21,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
22,ASNS2: asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c
23,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
24,FBP: fdp_c + h2o_c --> f6p_c + pi_c
25,MLTG1: h2o_c + malttr_c --> glc__D_c + malt_c
26,FDH7: co2_c + fdxr_42_c + h_c --> fdxo_42_c + for_c
27,VALtec: val__L_e --> val__L_c
28,EX_pap_e: pap_e <=> 
29,FOLt2_1: fol_e + h2o_c --> fol_c + h2o_e
30,GTHPe: 2.0 gthrd_e + h2o2_e --> gthox_e + 2.0 h2o_e
31,H2ASE_syn: h_c + nadph_c --> h2_c + nadp_c
32,MLTP2: malthx_c + pi_c --> g1p_c + maltpt_c
33,GLYGS: h2o_c + udpg_c --> 14glun_c + h_c + udp_c
34,SO4t_e: 2.0 h_c + so4_c --> 2.0 h_e + so4_e
35,ARGN: arg__L_c + h2o_c --> orn_c + urea_c
36,GLYCK2: atp_c + glyc__R_c --> 2pg_c + adp_c + h_c
37,URCN: h2o_c + urcan_c --> 4izp_c
38,ALATA_L: akg_c + ala__L_c --> glu__L_c + pyr_c
39,ILEtec: ile__L_e --> ile__L_c
40,FBA: fdp_c <=> dhap_c + g3p_c
41,CHORM: chor_c --> pphn_c
42,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
43,GLCDBRAN3: glycogen_c + h2o_c --> 14glucan_c + glc__D_c
44,GLNt: gln__L_e --> gln__L_c
