,rxns_added
0,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
1,MLTG2: h2o_c + maltttr_c --> glc__D_c + malttr_c
2,MTHFD: mlthf_c + nadp_c <=> methf_c + nadph_c
3,SULR_1: 3.0 h2o_c + h2s_c + 3.0 nadp_c --> 4.0 h_c + 3.0 nadph_c + so3_c
4,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
5,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
6,GLCDBRAN3: glycogen_c + h2o_c --> 14glucan_c + glc__D_c
7,PIt2r: h_e + pi_e <=> h_c + pi_c
8,GBEZY: 14glun_c --> glycogen_c
9,GMPR: gmp_c + 2.0 h_c + nadph_c --> imp_c + nadp_c + nh4_c
10,FERIRDe: 2.0 fe3_e + qh2_c --> 2.0 fe2_e + 2.0 h_e + q_c
11,GLNS: atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c
12,ADSL1r: dcamp_c <=> amp_c + fum_c
13,ACOAH: ac_c + coa_c + h_c --> accoa_c + h2o_c
14,GTHPe: 2.0 gthrd_e + h2o2_e --> gthox_e + 2.0 h2o_e
15,MLTP2: malthx_c + pi_c --> g1p_c + maltpt_c
16,r1610: cys__L_c + trp__L_e --> cys__L_e + trp__L_c
17,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
18,r0512: dhf_c + nad_c --> fol_c + nadh_c
19,PYDXO_1: h2o_c + o2_c + pydam_c --> h2o2_c + nh4_c + pydx_c
20,FOLt2_1: fol_e + h2o_c --> fol_c + h2o_e
21,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
22,ACYP_2: actp_c + h2o_c --> ac_c + h_c + pi_c
23,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
24,DHQS: 2dda7p_c --> 3dhq_c + pi_c
25,ORNCD: orn_c --> nh4_c + pro__L_c
26,MDH: mal__L_c + nad_c <=> h_c + nadh_c + oaa_c
27,OCDCEAt: ocdcea_e <=> ocdcea_c
28,CHORS: 3psme_c --> chor_c + pi_c
29,HCO3E: co2_c + h2o_c --> h_c + hco3_c
30,DHQTi: 3dhq_c --> 3dhsk_c + h2o_c
31,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
32,FUM: fum_c + h2o_c --> mal__L_c
33,MALS: accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c
34,GLYDHDA: gly_c + h2o_c + nad_c --> glx_c + h_c + nadh_c + nh4_c
35,MLTG1: h2o_c + malttr_c --> glc__D_c + malt_c
36,GluForTx: forglu_c + h_c + thf_c --> 5forthf_c + glu__L_c
37,IZPN_1: 4izp_c + h2o_c --> forglu_c
38,NADHDH: 3.0 h_c + nadh_c + q_c --> 2.0 h_e + nad_c + qh2_c
39,HISDr: his__L_c --> nh4_c + urcan_c
40,H2O2t: h2o2_e <=> h2o2_c
41,MLTP3: malthp_c + pi_c --> g1p_c + malthx_c
42,SO4t_e: 2.0 h_c + so4_c --> 2.0 h_e + so4_e
43,FTCD: 5forthf_c + 2.0 h_c --> methf_c + nh4_c
44,CYOR3m: 2.0 ficytcc_c + h_c + mql7_c --> 2.0 focytcc_c + 3.0 h_e + mqn7_c
45,PC: atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c
46,URCN: h2o_c + urcan_c --> 4izp_c
47,GLUDy: glu__L_c + h2o_c + nadp_c <=> akg_c + h_c + nadph_c + nh4_c
48,CYOO3: 2.0 focytcc_c + 6.0 h_c + 0.5 o2_c --> 2.0 ficytcc_c + h2o_c + 4.0 h_e
49,AMALT4: malt_c + malthx_c --> glc__D_c + malthp_c
50,GHMT2r: ser__L_c + thf_c <=> gly_c + h2o_c + mlthf_c
51,r1600: cys__L_c + met__L_e --> cys__L_e + met__L_c
52,SUCD3: fadh2_c + q_c --> fad_c + qh2_c
53,r2048: cys__L_c + his__L_e --> cys__L_e + his__L_c
54,GMPt6: gmp_e + h_e --> gmp_c + h_c
55,GLYCL: gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c
56,ADSS: asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c
57,AAMYL: 14glucan_c --> malthx_c
58,PHETA1: akg_c + phe__L_c <=> glu__L_c + phpyr_c
59,FAO10: atp_c + 9.0 coa_c + 7.0 fad_c + 8.0 h2o_c + 8.0 nad_c + ocdcea_c --> 9.0 accoa_c + amp_c + 7.0 fadh2_c + 8.0 h_c + 8.0 nadh_c + ppi_c
60,PDYXPT_c: pydam_c + pyr_c --> ala__L_c + pydx_c
61,GK_adp: adp_c + glc__D_c --> amp_c + g6p_c + h_c
62,GTHOXti: gthox_e --> gthox_c
63,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
64,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
65,r0963: fol_e <=> fol_c
66,GLUt2r: glu__L_e + h_e <=> glu__L_c + h_c
67,GLYGS: h2o_c + udpg_c --> 14glun_c + h_c + udp_c
68,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
69,CHORM: chor_c --> pphn_c
70,MLTP1: maltpt_c + pi_c --> g1p_c + maltttr_c
71,ASNS2: asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c
