,rxns_added
0,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
1,araphe2: 3mop_c + phe__L_c --> ile__L_c + phpyr_c
2,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
3,BPNT: h2o_c + pap_c --> amp_c + pi_c
4,GLNGLU: adp_c + glntrna_c + glu__L_c + pi_c <=> atp_c + gln__L_c + glutrna_c
5,HACNHm: b124tc_m + h2o_m --> hicit_m
6,GALh: atp_h + glu__L_h + nh4_h --> adp_h + gln__L_h + h_h + pi_h
7,trna_ser: trnaser_c <=> 
8,GAPDHh: g3p_h + nad_h + pi_h --> 13dpg_h + h_h + nadh_h
9,trna_leu: trnaleu_c <=> 
10,trna_asp: trnaasp_c <=> 
11,ALDD1: fald_c + h2o_c + nad_c --> for_c + 2.0 h_c + nadh_c
12,FDMO2: fmnh2_c + mso3_c + o2_c --> fald_c + fmn_c + h2o_c + h_c + so3_c
13,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
14,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
15,ALCD19: glyald_c + h_c + nadh_c --> glyc_c + nad_c
16,PRUK_1: atp_h + ru5p__D_h --> adp_h + h_h + rb15bp_h
17,PHSERt_h: phom_h --> phom_c
18,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
19,PGLh: 6pgl_h + h2o_h --> 6pgc_h + h_h
20,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
21,PAPt: pap_e <=> pap_c
22,3MOBtmt: 3mob_m <=> 3mob_c
23,trna_asn: trnaasn_c <=> 
24,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
25,ASPK_1: asp__L_h + atp_h --> 4pasp_h + adp_h
26,HCITSm: accoa_m + akg_m + h2o_m --> coa_m + h_m + hcit_m
27,GTHRDH_syn: gthrd_c + h2o_c --> cgly_c + glu__L_c
28,ASPth: asp__L_c + h_c --> asp__L_h + h_h
29,FBA: fdp_c <=> dhap_c + g3p_c
30,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
31,OXAGm: h_m + oxag_m --> 2oxoadp_m + co2_m
32,Htu: h_h --> h_u
33,trna_gln: trnagln_c <=> 
34,THFGLUH: h2o_c + thfglu_c --> glu__L_c + h_c + thf_c
35,O2tm: o2_c --> o2_m
36,PGLYDH: 3pg_h + nad_h --> 3php_h + h_h + nadh_h
37,PEPPIth: pep_c + pi_h --> pep_h + pi_c
38,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
39,TRPAS1: cys__L_c + h2o_c --> h2s_c + h_c + nh4_c + pyr_c
40,ALCD19y: glyald_c + h_c + nadph_c <=> glyc_c + nadp_c
41,ASADH: 4pasp_h + h_h + nadph_h --> aspsa_h + nadp_h + pi_h
42,NTRIR2xm: 5.0 h_m + 3.0 nadh_m + no2_m --> 2.0 h2o_m + 3.0 nad_m + nh4_m
43,AASAD2: L2aadp_c + atp_c + h_c + nadh_c --> L2aadp6sa_c + amp_c + nad_c + ppi_c
44,CBMKr: atp_c + co2_c + nh4_c --> adp_c + cbp_c + 2.0 h_c
45,MALtm: mal__L_c + pi_m --> mal__L_m + pi_c
46,THRAL: ser__L_h --> nh4_h + pyr_h
47,HICITDm: hicit_m + nad_m --> h_m + nadh_m + oxag_m
