,rxns_added
0,METHFtxc
1,AATA
2,PHEMEtm
3,MALTe
4,lipid1
5,PINOS
6,FE3Ri
7,SULO
8,ILEASNHISt
9,FACOAE141
10,AASAD2
11,AKO
12,ADPRDP
13,FACOAE100
14,H2Ot
15,FADDP
16,ALCD19
17,34HPPt2m
18,AMCOXO
19,ACOADH2
20,SK_trnaala_c
21,SK_trnagly_c
22,AMPt
23,PLIPA2E120
24,FACOAE80
25,MI1PP
26,HKYNH
27,PGCD
28,T4HCINNMFM
29,NTRIR4ppc
30,NMNP
31,SK_trnaasp_c
32,ASNTYRTHRr
33,ILEARGILEt
34,SK_trnatrp_c
35,ETHAAL
36,4HBZFm
37,FACOAE60
38,SK_trnathr_c
39,SK_trnapro_c
40,FKYNH
41,FACOAE120
42,NH4t
43,EX_adprib_e
44,ACALDCD
45,EX_lyslyslys_e
46,EX_asntyrthr_e
47,PLDPE_HDE_HDE_c
48,PEFLIP
49,SK_trnaasn_c
50,SK_trnatyr_c
51,EX_lystyrile_e
52,LYSLYSLYSt
53,ACP1_FMN
54,ASNTYRTHRt
55,KYN3OX
56,NADDPe
57,LYSTYRILEt
58,GTHOXti
59,PTD1INOt
60,UDPGtnic
61,OPHBDCm
62,SK_trnaser_c
63,LPLIPAL1E141
64,PGMfc
65,lipid2
66,ECOAH2c
67,MEPCT
68,COUCOAFm
69,AM6SAD
70,HIBD
71,LPLIPAL1E120
72,EX_hb_e
73,R5PP
74,LYSTYRILEr
75,HMGLB
76,SK_trnaphe_c
77,Hfv
78,EX_fad_e
79,PROt2r
80,34HPLtm
81,GLPASE2a
82,HCO3E
83,PAPA161
84,ICL
85,r0870
86,MALS
87,lipid4
88,PYDXO
89,G3PT
90,ARTCOAL1
91,HBZOPTm
92,HMR_6782
93,SK_trnamet_c
94,NADPHtmt
95,LYSPHEILEr
96,SK_trnaarg_c
97,GLYCOe
98,PCLAD
99,PDYXPT_c
100,CBPAH
101,GTHRDH_syn
102,EX_ileargile_e
103,HBtr
104,SK_trnaleu_c
105,GLDBRAN
106,EX_ptd1ino_e
107,PLIPA2E141
108,PLDPE_PALM_PALM_c
109,OPHHXm
110,PSP_L
111,SACCD2
112,ASPTA6
113,LYSLYSLYSr
114,SK_trnacys_c
115,SK_trnaval_c
116,EX_ileasnhis_e
117,NTRIR3ppc
118,H2O2t
119,ILEASNHISr
120,EX_glycogen1500_e
121,GLGNS1
122,SUCOAACTr
123,TRPO2
124,EX_pail_e
125,SK_trnalys_c
126,HISD_c
127,CO2tmt
128,PSERT
129,EX_lyspheile_e
130,lipid5
131,ALCD19y
132,SK_trnahis_c
133,GGNG
134,NADK1
135,ILEARGILEr
136,lipid3
137,GTHPe
138,LYSPHEILEt
139,MMSAD1
140,FBA
141,GLPASE1
142,ADPRIBt
143,CITL
144,CYSLY3
145,OCTDPtmt
146,O2tm
147,4HBZCOAFm
148,pail_uptake
149,SACCD1
150,GLBRAN
151,MCITLmc
152,SK_trnagln_c
153,lipid10
154,GLNGLU
155,PLDPE_STC_STC_c
156,PLDPE_MYRS_MYRS_c
157,ACChex
158,R07456
159,3HAO
160,HIBHr
161,EX_nad_e
162,34HPLFM
163,PIPLC
164,SK_trnaile_c
165,DCTPD
166,AGDI_1
