,rxns_added
0,34HPPt2m
1,AASAD2
2,ACChex
3,GLDBRAN
4,GLPASE2a
5,ACITL
6,SK_trnalys_c
7,EX_ptd1ino_e
8,DGTPtmc
9,r2034
10,PLDPE_MYRS_MYRS_c
11,FACOAE141
12,GTHRDH_syn
13,ETHAAL
14,AATA
15,DADNK
16,CO2tmt
17,EX_lyspheile_e
18,SK_trnagly_c
19,lipid5
20,lipid4
21,SK_trnaval_c
22,SK_trnahis_c
23,OCTDPS
24,OPHHXm
25,NNDPR
26,MALTe
27,KYN3OX
28,PGMfc
29,PCLAD
30,FACOAE120
31,SK_trnacys_c
32,lipid2
33,LYSTYRILEr
34,FACOAE80
35,QUILSYN
36,GLGNS1
37,PGCD
38,PSERT
39,PUNP2
40,PLDPE_STC_STC_c
41,ILEARGILEt
42,GLYCOe
43,COUCOAFm
44,LPLIPAL1E120
45,34HPLtm
46,PLIPA2E181
47,GLBRAN
48,4HBZCOAFm
49,GGNG
50,MI1PP
51,THMMPt4_1
52,EX_hb_e
53,LYSPHEILEt
54,FACOAE60
55,PSP_L
56,EX_fadh2_c
57,SK_trnatrp_c
58,PIPLC
59,FACOAE100
60,SK_trnaile_c
61,HISD_c
62,LPLIPAL1E141
63,GLPASE1
64,ALCD19
65,NH4t
66,ASPTA6
67,PEFLIP
68,Hfv
69,HMR_6782
70,ARTCOAL1
71,HBZOPTm
72,OCTDPtmt
73,PUNP4
74,ILEARGILEr
75,ALCD19y
76,34HPLFM
77,NADK
78,LPEH1819Z_sn1_c
79,SACCD1
80,pail_uptake
81,EX_pail_e
82,HISLYSILEt
83,DURIK1
84,PGLc
85,AMCOXO
86,T4HCINNMFM
87,HISLYSILEr
88,SK_trnaser_c
89,SULO
90,FKYNH
91,SK_trnaasn_c
92,LYSTYRILEt
93,SK_trnaasp_c
94,PLIPA2E120
95,TMPK
96,3HAO
97,MDRPD
98,PYDXO
99,EX_thmmp_e
100,MI3PP
101,EX_glycogen1500_e
102,PPM2
103,ASPTA
104,DCTPD2
105,FADDP
106,PTRCt3i
107,EX_lystyrile_e
108,RBK
109,lipid3
110,UDPGtnic
111,TRPO2
112,FBA
113,LYSLYSLYSt
114,H2Ot
115,HMGLB
116,MCITLmc
117,EX_ileargile_e
118,ECOAH12
119,ACP1_FMN
120,4HBZFm
121,R07456
122,METHFtxc
123,GMPR
124,AM6SAD
125,HIBD
126,OPHBDCm
127,ACOADH2
128,MTAP
129,CMPN
130,DKMPPD2
131,DURIPP
132,O2tm
133,SK_trnamet_c
134,MALS
135,SACCD2
136,G3PT
137,H2O2t
138,AKO
139,ICL
140,SK_trnapro_c
141,SK_trnagln_c
142,SK_trnaphe_c
143,PLDPE_PALM_PALM_c
144,SK_trnathr_c
145,SK_trnaarg_c
146,PLIPA2E141
147,PHEMEtm
148,EX_hislysile_e
149,ACALDCD
150,THRTHRARGt
151,3HBCOAHL
152,lipid10
153,lipid1
154,MMSAD1
155,TRNFE
156,GLNGLU
157,NTRIR3ppc
158,SK_trnaleu_c
159,HKYNH
160,NADPHtmt
161,EX_lyslyslys_e
162,THRTHRARGr
163,CYSLY3
164,PPDK
165,SK_trnaala_c
166,PLDPE_HDE_HDE_c
167,HBtr
168,PAPA161
169,GTHOXti
170,SK_trnatyr_c
171,LYSLYSLYSr
172,PINOS
173,GTHPe
174,EX_thrthrarg_e
175,PTD1INOt
176,LYSPHEILEr
