,rxns_added
0,PUNP4
1,EX_metmetile_e
2,GLYO1
3,TRPO2
4,LPCH1819Z_sn1_c
5,ETHAPT_MYRS_MYRS_c
6,AGPATCOA_STC_STC_c
7,THRTHRARGt
8,LPLIPAL1A120
9,HKYNH
10,PCLAD
11,lipid2
12,ASPTA6
13,HMR_2611
14,METMETILEr
15,3HAO
16,FACOAE100
17,FAEL184_cho
18,CHOPT_STC_STC_c
19,DGTPtmc
20,DESAT20_2
21,TRPAS1
22,PLDPC_STC_STC_c
23,AATA
24,HMPK3
25,lipid3
26,KYN3OX
27,FAO181p_oddc
28,EX_lyslyslys_e
29,ETHAPT
30,METHFtxc
31,PYR5CDmc
32,HACOADr
33,AMCOXO
34,ETHAPT_HDE_HDE_c
35,CITt2r
36,LYSTYRILEt
37,PGCD
38,MMSDHir
39,SULO
40,DAGCPT
41,EX_ileargile_e
42,MALS
43,TTDCPT1
44,METMETILEt
45,MCITLmc
46,PYDXO
47,NADPPPS
48,HISD_c
49,ECOAH3_1c
50,GMPR
51,PGMfc
52,PSP_L
53,PCD5DS_OLE_EPA_sn2_c
54,AASAD2
55,ILEARGILEt
56,HACD3i
57,HBtr
58,LYSLYSLYSt
59,EX_thrthrarg_e
60,DAGK120
61,PPDK
62,SACCD2
63,EX_lystyrile_e
64,HMPK1
65,ARTCOAL1_cho
66,CYSLY3
67,ACALDCD
68,ILEARGILEr
69,LYSTYRILEr
70,LYSLYSLYSr
71,ACOAR3mc
72,NNDPR
73,AM6SAD
74,Hfv
75,EX_lyspheile_e
76,FKYNH
77,FACOAE120
78,THRTHRARGr
79,PSERT
80,ELO6ETA_c
81,DAGK181
82,ETHAPT_PALM_PALM_c
83,pe_prod14
84,G3PAT180_1
85,HIBHr
86,PROt3
87,SACCD1
88,UREA
89,LYSPHEILEr
90,HMR_0201
91,LYSPHEILEt
92,ACOADH2
93,LPCAT_OLE_ETA_sn2_c
94,2dr_p
95,EX_hb_e
96,QUILSYN
97,ICL
98,DAGK141
99,MTHFD_1
100,RBK
101,HMGLB
