,rxns_added
0,FACOAE120
1,4HBZFm
2,QUILSYN
3,PEDS1819Z1829Z12Z
4,KYN3OX
5,LYSPHEILEr
6,EX_lyslyslys_e
7,PTD1INOt
8,PLDPE_STC_STC_c
9,OPHHXm
10,LYSPHEILEt
11,34HPPt2m
12,GTHOXti
13,AGPATCOA_MYRS_MYRS_c
14,SK_trnaasp_c
15,TMPK
16,SK_trnaphe_c
17,H2O2t
18,FACOAE141
19,SK_trnathr_c
20,SACCD1
21,SK_trnamet_c
22,FADDP
23,PINOS
24,ACOAR7mc
25,FACOAE80
26,SK_trnaarg_c
27,RTOT2_cho
28,HBZOPTm
29,r0822
30,r1579
31,MI1PP
32,SK_trnapro_c
33,ILEARGILEt
34,PGCD
35,GTHRDH_syn
36,GLNGLU
37,lipid2
38,EX_fadh2_c
39,G3PAT160_1
40,SK_trnaval_c
41,O2tm
42,GMPt6
43,AATA
44,PHEMEtm
45,PSP_L
46,FBA
47,MALS
48,PYDXO
49,PEFLIP
50,HISD_c
51,VALTA
52,34HPLtm
53,GLPASE2a
54,ACITL
55,FACOAE160
56,r1636
57,NNDPR
58,CYSLY3
59,NH4t
60,FACOAE100
61,HMR_6782
62,GLBRAN
63,NTRIR3ppc
64,AASAD2
65,ARTFR210_cho
66,CITL
67,34HPLFM
68,lipid10
69,ILEARGILEr
70,R07456
71,SK_trnaser_c
72,PCLAD
73,PLIPA2E141
74,HBtr
75,ICL
76,FAOXC1811603m
77,PPDK
78,AM6SAD
79,4HBZCOAFm
80,lipid3
81,COUCOAFm
82,EX_ptd1ino_e
83,H2Ot
84,HKYNH
85,EX_hb_e
86,LYSLYSLYSr
87,HACOADr
88,PGMfc
89,PGLc
90,SK_trnatrp_c
91,LYSLYSLYSt
92,LPLIPAL1E141
93,PAPA1819Z1819Z
94,CO2tmt
95,OCTDPtmt
96,PDYXPT_c
97,SACCD2
98,GLGNS1
99,SK_trnahis_c
100,ACCOAtm_1
101,NADK
102,MMSDHir
103,GLPASE1
104,ACOADH2
105,PAPA_OLE_PALM
106,DAGAH_OLE_PALM_c
107,EX_ileargile_e
108,SK_trnagly_c
109,SK_trnaala_c
110,UDPGtnic
111,MECDPS
112,LYSTYRILEr
113,DGTPtmc
114,GMPR
115,GLDBRAN
116,SK_trnaile_c
117,TRPO2
118,HMGLB
119,SK_trnalys_c
120,PEDS1829Z12Z1835Z9Z12Z
121,FACOAE180
122,HCO3E
123,THRTHRARGr
124,MAGAH1819Z_c
125,Hfv
126,METHFtxc
127,CITACt
128,NTRIR4ppc
129,T4HCINNMFM
130,r1467
131,EX_thmmp_e
132,lipid5
133,ACP1_FMN
134,ASPTA6
135,SK_trnaasn_c
136,THMMPt4_1
137,EX_lyspheile_e
138,pail_uptake
139,EX_lystyrile_e
140,PTRCtex2
141,TRNFE
142,lipid4
143,LPLIPAL1E120
144,GLNyLATthc
145,SK_trnatyr_c
146,FACOAE60
147,THRTHRARGt
148,UREA
149,AMCOXO
150,EX_thrthrarg_e
151,PLDPE_MYRS_MYRS_c
152,MAGAH160
153,SK_trnacys_c
154,EX_pail_e
155,PLDPE_PALM_PALM_c
156,SK_trnaleu_c
157,FAOXC80
158,GTHPe
159,G3PAT140_c
160,MCITLmc
161,SK_trnagln_c
162,AGPATCOA_PALM_PALM_c
163,PAPA161
164,PLIPA2E120
165,RBK
166,PIPLC
167,GGNG
168,FKYNH
169,3HAO
170,HXAt
171,DAGAH_PALM_PALM_c
172,HIBHr
173,PSERT
174,OPHBDCm
175,LYSTYRILEt
