,rxns_added
0,PCLAD
1,HKYNH
2,LYSLYSLYSr
3,GLUCAN2abc
4,ILEARGILEr
5,SACCD2
6,ECOAH2c
7,EX_ileargile_e
8,TRPO2
9,DNDPt32m
10,EX_hb_e
11,THRTHRARGt
12,KYN3OX
13,ILEARGILEt
14,VALTA
15,SULR_1
16,EX_lystyrile_e
17,NTRIR3ppc
18,LYSPHEILEr
19,EX_thrthrarg_e
20,r1579
21,PSERT
22,GLS2e
23,LYSLYSLYSt
24,PGCD
25,LYSTYRILEr
26,LYSPHEILEt
27,FKYNH
28,GLS2
29,Hfv
30,HACOADr
31,AASAD2
32,CYSLY3
33,AATA
34,HIBHr
35,HISD_c
36,NDH1_3uc
37,ASPTA6
38,THRTHRARGr
39,ALCD19
40,MCITLmc
41,EX_lyslyslys_e
42,3HAO
43,DNDPt56m
44,MMSDHir
45,GMPt6
46,PSP_L
47,PYDXO
48,GMPR
49,H2Ot
50,r1953
51,HMGLB
52,ACOADH2
53,HBtr
54,DGTUP
55,LYSTYRILEt
56,HCO3E
57,SACCD1
58,AMCOXO
59,EX_glucan1500_e
60,FBA
61,NAt5
62,AM6SAD
63,PDYXPT_c
64,EX_lyspheile_e
65,DNDPt58m
66,DCTPtm_cho
67,ATPUP
