,rxns_added
0,GLYDHDA: gly_c + h2o_c + nad_c --> glx_c + h_c + nadh_c + nh4_c
1,PPRGL: atp_c + gly_c + pram_c --> adp_c + gar_c + 2.0 h_c + pi_c
2,r2419: akg_c + pi_m --> akg_m + pi_c
3,DB4PS: ru5p__D_c --> db4p_c + for_c + h_c
4,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
5,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
6,PHEMEtm: pheme_m <=> pheme_c
7,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
8,PRUK: atp_c + ru5p__D_c --> adp_c + h_c + rb15bp_c
9,HBZOPTm: 4hbz_m + octdp_m --> 3ophb_m + 2.0 ppi_m
10,AMPMS: air_c + h2o_c --> 4ampm_c + 2.0 for_c + 4.0 h_c
11,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
12,DCTPD: dctp_c + h2o_c + h_c --> dutp_c + nh4_c
13,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
14,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
15,METGL: h2o_c + met__L_c --> 2obut_c + ch4s_c + nh4_c
16,trna_gln: trnagln_c <=> 
17,QULNS_1: dhap_c + iasp_c --> 2.0 h2o_c + h_c + pi_c + quln_c
18,ASPO2: asp__L_c + nad_c --> 2.0 h_c + iasp_c + nadh_c
19,ARTFR41_cho: fadh2_m + hdcoa_c --> R4coa_cho_c + fad_m
20,D_LACtm: h_c + lac__D_c --> h_m + lac__D_m
21,FAS100ACPm: 3.0 h_m + malACP_m + 2.0 nadph_m + ocACP_m --> ACP_m + co2_m + dcaACP_m + h2o_m + 2.0 nadp_m
22,HXAt3: hxa_c --> hxa_e
23,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
24,FACOAE160: h2o_c + pmtcoa_c --> coa_c + h_c + hdca_c
25,HCITSm: accoa_m + akg_m + h2o_m --> coa_m + h_m + hcit_m
26,GLUS: akg_h + gln__L_h + h_h + nadh_h --> 2.0 glu__L_h + nad_h
