,rxns_added
0,4HBZFm
1,OPHBDCm
2,4HBZtm
3,UDPGtnic
4,OMPHHX
5,34HPLtm
6,GTPCII
7,T4HCINNMFM
8,SK_trnapro_c
9,OMMBLHX3
10,SK_trnaser_c
11,FTHFLi
12,SK_trnaasp_c
13,SK_trnaglu_c
14,SK_trnaasn_c
15,SK_trnathr_c
16,SK_trnaval_c
17,R5PFLc
18,GLPASE2
19,PMDPHT
20,COUCOAFm
21,Q8H2tmt
22,4HBZCOAFm
23,GLGNS1
24,PHEMEtm
25,CO2tmt
26,SK_trnaleu_c
27,SK_trnaala_c
28,SK_trnatyr_c
29,SK_trnatrp_c
30,DHPR2
31,SK_trnahis_c
32,ASPO2y
33,SK_trnaarg_c
34,SK_trnaile_c
35,GLPASE1
36,SK_trnaphe_c
37,OCTDPtmt
38,HBZOPTm
39,QULNS_1
40,OPHHXm
41,RBFSb_1
42,DROPPRx
43,SK_trnalys_c
44,SK_trnagly_c
45,SK_trnamet_c
46,DLDLBTc
47,GLDBRAN
48,GGNG
49,GLBRAN
50,SK_trnacys_c
51,OPHBDC
52,NADK
53,NNDPR
54,HMR_6782
55,SK_trnagln_c
