,rxns_added
0,SK_trnaarg_c
1,SK_trnaval_c
2,4HBZCOAFm
3,SK_trnaasp_c
4,PMDPHT
5,ASPO5_1
6,GLBRAN
7,SK_trnaasn_c
8,ps_prod3
9,SK_trnalys_c
10,CO2tmt
11,SK_trnathr_c
12,ATP2t_m
13,UDPGtnic
14,RBFSa
15,PHEMEtm
16,DROPPRy
17,SK_trnapro_c
18,SK_trnacys_c
19,34HPPt2m
20,GGNG
21,ACCOAtm_1
22,OPHBDCm
23,OCTDPtmt
24,QULNS
25,PGPS_OLE_PALM
26,SK_trnagln_c
27,SK_trnaleu_c
28,GLPASE1
29,FTHFLi
30,SK_trnatyr_c
31,RBFSb_1
32,ps_prod1
33,SK_trnaser_c
34,GLPASE2a
35,R5PFLc
36,SK_trnahis_c
37,SK_trnaile_c
38,SK_trnagly_c
39,SK_trnaglu_c
40,ARTFR207_cho
41,4HBZFm
42,NADK
43,OPHHXm
44,SK_trnaala_c
45,SK_trnaphe_c
46,COUCOAFm
47,HBZOPTm
48,GTPCII
49,GLDBRAN
50,SK_trnamet_c
51,GLGNS1
52,34HPLFM
53,NNDPR
54,FTHFI_1
55,T4HCINNMFM
56,SK_trnatrp_c
57,RTOT2_cho
