,rxns_added
0,SK_trnacys_c
1,34HPLFM
2,OPHBDCm
3,SK_trnaser_c
4,QULNS_1
5,RBFSa
6,R5PFLc
7,NNDPR
8,SK_trnaasn_c
9,COUCOAFm
10,SK_trnahis_c
11,SK_trnagly_c
12,SK_trnapro_c
13,SK_trnalys_c
14,DROPPRx
15,HBZOPTm
16,GLDBRAN
17,SK_trnaasp_c
18,RIBFSc
19,SK_trnaala_c
20,PHEMEtm
21,SK_trnatrp_c
22,GLGNS1
23,FTHFLi
24,CO2tmt
25,34HPPt2m
26,OCTDPtmt
27,SK_trnaleu_c
28,GLPASE2
29,FTHFI_1
30,PMDPHT
31,SK_trnamet_c
32,GTPCII
33,r0853
34,GLBRAN
35,SK_trnaile_c
36,SK_trnagln_c
37,SK_trnaglu_c
38,OPHHXm
39,GGNG
40,UDPGtnic
41,4HBZCOAFm
42,SK_trnaarg_c
43,GLPASE1
44,4HBZFm
45,SK_trnaphe_c
46,ASPO3
47,NADHtm
48,SK_trnatyr_c
49,SK_trnathr_c
50,SK_trnaval_c
51,NADK
52,T4HCINNMFM
