,rxns_added
0,SK_trnaser_c
1,DNDPt2m
2,SK_trnaleu_c
3,GGNG
4,SK_trnagln_c
5,TRPO2
6,UDPGtnic
7,SK_trnaarg_c
8,SK_trnaala_c
9,3HAO
10,HMR_6782
11,HKYNH
12,TMPK
13,LYSTYRILEr
14,HBtr
15,SK_trnagly_c
16,HIBHr
17,PCLAD
18,CYSLY3
19,QUILSYN
20,FBA
21,EX_lyspheile_e
22,PTD1INOt
23,OCTDPtmt
24,MI1PP
25,GLBRAN
26,SK_trnacys_c
27,DTTPt
28,RBFSa
29,SK_trnaphe_c
30,ATPH1e
31,O2tm
32,PTRCtex2
33,4HBZCOAFm
34,SK_trnaasp_c
35,LYSPHEILEt
36,FAO182p_evenevenc
37,SK_trnaval_c
38,DB4PS
39,EX_thmmp_e
40,GLDBRAN
41,GLPASE2a
42,SK_trnapro_c
43,FKYNH
44,EX_thrthrarg_e
45,HISD_c
46,GTHRDt2
47,R07456
48,NNDPR
49,SK_trnaglu_c
50,OPHHXm
51,FAO161p_oddc
52,EX_lystyrile_e
53,PSERT
54,GTPCII
55,HMGLB
56,SK_trnalys_c
57,NTRIR3ppc
58,PDYXPT_c
59,HIBDkt
60,LYSLYSLYSt
61,ILEARGILEt
62,SK_trnaile_c
63,PSP_L
64,MMTSAO
65,CITt4_1
66,PYDXO
67,SULR_1
68,r1579
69,CO2tmt
70,PGCD
71,SACCD2
72,AMPt
73,DGTPtmc
74,RIBFSc
75,EX_ileargile_e
76,THRTHRARGt
77,OPHBDCm
78,COUCOAFm
79,4HBZFm
80,THMMPt4_1
81,ACOADH2
82,SK_trnathr_c
83,KYN3OX
84,NAt5
85,FACOAE141
86,HBZOPTm
87,Hfv
88,GMPt6
89,AASAD2
90,RBK
91,LYSPHEILEr
92,34HPLtm
93,THRTHRARGr
94,FE3Ri
95,AMCOXO
96,lipid4
97,MCITLmc
98,PAPA161
99,SK_trnatyr_c
100,AM6SAD
101,ASPTA6
102,FA182COAabcpc
103,METHFtxc
104,GLPASE1
105,DATPtm_cho
106,NCNt
107,EX_hb_e
108,PGLc
109,SK_trnatrp_c
110,VALTA
111,DROPPRx
112,SK_trnahis_c
113,PINOS
114,FACOAE180
115,SK_trnamet_c
116,EX_lyslyslys_e
117,PHEMEtm
118,LYSTYRILEt
119,EX_fadh2_c
120,AATA
121,LYSLYSLYSr
122,FTHFLi
123,EX_ptd1ino_e
124,GLGNS1
125,SK_trnaasn_c
126,ILEARGILEr
127,DCTPD2
128,T4HCINNMFM
