,rxns_added
0,FUMtm: fum_c + pi_m --> fum_m + pi_c
1,trna_gly: trnagly_c <=> 
2,4HBZtm: 4hbz_c --> 4hbz_m
3,AMPMS: air_c + h2o_c --> 4ampm_c + 2.0 for_c + 4.0 h_c
4,pe_prod12: 1agpe160_c --> all_pe_c
5,PSP: h2o_h + pser__L_h --> pi_h + ser__L_h
6,trna_ala: trnaala_c <=> 
7,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
8,ACChex: coa_c + h_c + hexc_c --> h2o_c + hexccoa_c
9,PAPA141: h2o_c + pa141_c --> 12dgr141_c + pi_c
10,PGDHh: 6pgc_h + nadp_h --> co2_h + nadph_h + ru5p__D_h
11,HSK_1: atp_h + hom__L_h --> adp_h + h_h + phom_h
12,HACNHm: b124tc_m + h2o_m --> hicit_m
13,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
14,ACSERL_c: acser_c + seln_c --> ac_c + selcys_c
15,AASAD1: L2aadp_c + atp_c + h_c + nadph_c --> L2aadp6sa_c + amp_c + nadp_c + ppi_c
16,EX_fol_e: fol_e <=> 
17,D_LACtm: h_c + lac__D_c --> h_m + lac__D_m
18,RTOT2_cho: R2coa_cho_c --> Rtotalcoa_c
19,HISSNAT5tc: h_c + his__L_e + na1_e --> h_e + his__L_c + na1_c
20,FE3Ri: fadh2_c + 2.0 fe3_c --> fad_c + 2.0 fe2_c + 2.0 h_c
21,HICITDm: hicit_m + nad_m --> h_m + nadh_m + oxag_m
22,PGLh: 6pgl_h + h2o_h --> 6pgc_h + h_h
23,PAPA120: h2o_c + pa120_c --> 12dgr120_c + pi_c
24,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
25,ORNt: orn_e --> orn_c
26,FBA: fdp_c <=> dhap_c + g3p_c
27,H2Oth: h2o_c --> h2o_h
28,PYK_h: adp_h + h_h + pep_h --> atp_h + pyr_h
29,HBZOPTm: 4hbz_m + octdp_m --> 3ophb_m + 2.0 ppi_m
30,DAGAH_PALM_PALM_c: 12dgr160_c + h2o_c --> h_c + hdca_c + mag160_c
31,GAPDHh: g3p_h + nad_h + pi_h --> 13dpg_h + h_h + nadh_h
32,GARFT: 10fthf_c + gar_c --> fgam_c + h_c + thf_c
33,NADK2: datp_c + nad_c --> dadp_c + h_c + nadp_c
34,r2101: ac_c + akg_e --> ac_e + akg_c
35,lipid3: dag_c <=> 12dgr120_c + 12dgr140_c + 12dgr141_c + 12dgr160_c + 12dgr161_c + 12dgr180_c + 12dgr181_c
36,5HBZIDMT: 5hbzid_c + 2.0 amet_c + nadph_c --> 2.0 ahcys_c + dmbzid_c + h2o_c + h_c + nadp_c
37,PGLYDH: 3pg_h + nad_h --> 3php_h + h_h + nadh_h
38,CTECOAI8: odecoa_c --> od2coa_c
39,MSULR: ch4s_c + 3.0 h2o_c + 3.0 nadp_c --> 4.0 h_c + mso3_c + 3.0 nadph_c
40,THZT: 2c4mthzep_c --> cthzp_c
41,PRFGCL: atp_c + fpram_c --> adp_c + air_c + pi_c
42,ASPth: asp__L_c + h_c --> asp__L_h + h_h
43,SACCD2: h2o_c + nad_c + saccrp__L_c <=> akg_c + h_c + lys__L_c + nadh_c
44,5HBZIDS2: air_c --> 5hbzid_c + for_c + nh4_c + pi_c
45,HMR_4701: ahcys_c + dmgly_c + h_c --> amet_c + sarcs_c
46,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
47,r2444: ddca_e --> ddca_c
48,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
49,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
50,THII: athis_c + iscssh_c + nadph_c --> amp_c + iscsh_c + nadp_c + thissh_c
51,PPND: nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
52,GLNth: gln__L_c + h_c --> gln__L_h + h_h
53,HCO3E: co2_c + h2o_c --> h_c + hco3_c
54,OPHHXm: 2oph_m + nadph_m + 0.5 o2_m --> 2ohph_m + h2o_m + nadp_m
55,trna_lys: trnalys_c <=> 
56,PSD160: h_c + ps160_c --> co2_c + pe160_c
57,trna_asp: trnaasp_c <=> 
58,trna_gln: trnagln_c <=> 
59,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
60,GTHRDH_syn: gthrd_c + h2o_c --> cgly_c + glu__L_c
61,trna_thr: trnathr_c <=> 
62,PFLh: coa_h + pyr_h --> accoa_h + for_h
63,trna_val: trnaval_c <=> 
64,FOLOAT1tc: akg_c + fol_e + na1_e --> akg_e + fol_c + na1_c
65,CHORM: chor_c --> pphn_c
66,PSAT: 3php_h + glu__L_h --> akg_h + pser__L_h
67,PEDS18111Z1829Z12Z: 2.0 nadh_c + o2_c + pe18111Z1819Z_c --> 2.0 h2o_c + 2.0 nad_c + pe18111Z1829Z12Z_c
68,FORthi: for_h + h_h --> for_c + h_c
69,r2412: citr__L_m + h_c + orn_c --> citr__L_c + h_m + orn_m
70,G3P_pi_thr: g3p_c + pi_h --> g3p_h + pi_c
71,FACOAE60: h2o_c + hxcoa_c --> coa_c + h_c + hxa_c
72,G6PBDHh: g6p_B_h + nadp_h --> 6pgl_h + h_h + nadph_h
73,PRFGS: atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + h_c + pi_c
74,trna_cys: trnacys_c <=> 
75,PRAIi: pran_c --> 2cpr5p_c
76,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
77,GLUPRT: gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c
78,DAGAH_PALM_DHA_c: 12dgr160226n3_c + h2o_c --> crvnc_c + h_c + mag160_c
79,PRUK_1: atp_h + ru5p__D_h --> adp_h + h_h + rb15bp_h
80,FACOAE120: ddcacoa_c + h2o_c --> coa_c + ddca_c + h_c
81,aratyr3: phpyr_c + tyr__L_c --> 34hpp_c + phe__L_c
82,3MOBtmt: 3mob_m <=> 3mob_c
83,R07456: g3p_c + gln__L_c + ru5p__D_c <=> glu__L_c + pydx5p_c
84,trna_ile: trnaile_c <=> 
85,THISAT: atp_c + h_c + this_c --> athis_c + ppi_c
86,trna_leu: trnaleu_c <=> 
87,PEPPIth: pep_c + pi_h --> pep_h + pi_c
88,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
89,trna_met: trnamet_c <=> 
90,PCD12DS_LNA_DHA_sn1_c: 2.0 ficytb5_c + 2.0 nadh_c + o2_c + pc1819Z226n3_c --> 2.0 focytb5_c + 2.0 h2o_c + 2.0 nad_c + pc182n6226n3_c
91,LPEAT_PALM_DHA_sn2_c: 1agpe160_c + c226coa_c --> coa_c + pe160226n3_c
92,OCTm: cbp_m + orn_m --> citr__L_m + pi_m
93,BPNT: h2o_c + pap_c --> amp_c + pi_c
94,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
95,trna_ser: trnaser_c <=> 
96,MEPCT: 2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c
97,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
98,ETHAAL: etha_c --> acald_c + nh4_c
99,HSDH_h: aspsa_h + h_h + nadh_h --> hom__L_h + nad_h
100,pe_prod1: pe120_c --> all_pe_c
101,GLNGLU: adp_c + glntrna_c + glu__L_c + pi_c <=> atp_c + gln__L_c + glutrna_c
102,FBA3: s17bp_c --> dhap_c + e4p_c
103,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
104,MALtm: mal__L_c + pi_m --> mal__L_m + pi_c
105,VPAMTr: 3mob_c + ala__L_c --> pyr_c + val__L_c
106,PIt_h: h_c + pi_c --> h_h + pi_h
107,HMR_4700: fald_c + h_c + nadph_c + sarcs_c --> dmgly_c + h2o_c + nadp_c
108,LDH_D: lac__D_c + nad_c --> h_c + nadh_c + pyr_c
109,CHRPL: chor_c --> 4hbz_c + pyr_c
110,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
111,THFGLUH: h2o_c + thfglu_c --> glu__L_c + h_c + thf_c
112,ps_prod4: ps160_c --> all_ps_c
113,GTHRDt2: gthrd_e --> gthrd_c
114,ARTFR210_cho: 0.125 coa_m + fadh2_m + h_m + lnlccoa_c + nadph_m --> 1.125 R2coa_cho_c + fad_m + nadp_m
115,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
116,trna_tyr: trnatyr_c <=> 
117,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
118,LPCH1829Z12Z_sn1_c: 1agpc182_c + h2o_c --> g3pc_c + h_c + lnlc_c
119,TYRTAi: 34hpp_c + glu__L_c --> akg_c + tyr__L_c
120,CHOPT_OLE_DHA_c: 12dgr1819Z226n3_c + cdpchol_c --> cmp_c + h_c + pc1819Z226n3_c
121,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
122,Htu: h_h --> h_u
123,PGKh: 13dpg_h + adp_h --> 3pg_h + atp_h
124,ETHAPT_MYRS_MYRS_c: 12dgr140_c + cdpea_c --> cmp_c + h_c + pe140_c
125,PSD141: h_c + ps141_c --> co2_c + pe141_c
126,THRAL: ser__L_h --> nh4_h + pyr_h
