,rxns_added
0,GMPR
1,SK_trnathr_c
2,lipid2
3,AGDI_1
4,GTHPe
5,DPCOAK
6,FKYNH
7,FACOAE60
8,H2Ot
9,NAt5
10,GLPASE2a
11,MTI
12,HISLYSILEt
13,SK_trnatyr_c
14,SK_trnaarg_c
15,CBPAH
16,SK_trnapro_c
17,EX_glycogen1500_e
18,SK_trnaile_c
19,PGCD
20,ACPS2
21,CO2tmt
22,LYSPHEILEt
23,PUNP4
24,ARTFR41_cho
25,KYN3OX
26,HHDR7
27,GLGNS1
28,HKYNH
29,NNDPR
30,CMPN
31,MANt1r
32,LYSLYSLYSt
33,CITL
34,PGLc
35,CYSLY3
36,PPM2
37,HODHL8
38,GTHRDH_syn
39,EX_thmmp_e
40,LYSTYRILEr
41,EX_lystyrile_e
42,O2tm
43,EX_hislysile_e
44,MMSAD1
45,HDMAT7
46,HXAt
47,SK_trnalys_c
48,LYSPHEILEr
49,AATA
50,SACCD1
51,OPHHXm
52,ASPTA6
53,r2034
54,GAT1_LLA
55,GLYCOe
56,Hfv
57,PHEMEtm
58,HBtr
59,H2O2t
60,MALTt1r
61,DOLDPP_pf
62,AGAT_LLA
63,NADK1
64,TRE6PSP_c
65,SK_trnahis_c
66,GLNGLU
67,ACP1_FMN
68,SK_trnaasn_c
69,MEPCT
70,HISLYSTHRt
71,ACOADH2
72,HISLYSILEr
73,HBZOPTm
74,EX_ptd1ino_e
75,LYSLYSLYSr
76,CITACt
77,T4HCINNMFM
78,HCO3E
79,HMR_6782
80,SK_trnatrp_c
81,SK_trnagln_c
82,4HBZFm
83,SK_trnamet_c
84,ASPTA
85,GGNG
86,TRNFE
87,FACOAE100
88,SK_trnaphe_c
89,PSP_L
90,PCLAD
91,R07456
92,SK_trnaval_c
93,SK_trnaleu_c
94,HMR_7256
95,SACCD2
96,FABM2
97,OPHBDCm
98,EX_lyslyslys_e
99,SULO
100,UDPGtnic
101,BPNT
102,DPCOAPP
103,3HAO
104,BDMT_L
105,lipid4
106,HMGLB
107,GLCNACT_c
108,GLCNACPT_L
109,GTHOXti
110,AKO
111,GLBRAN
112,SK_trnagly_c
113,TMPK
114,DGTPtmc
115,SK_trnaasp_c
116,PSERT
117,G16MT_cho
118,ACChex
119,r2444
120,PINOS
121,ACPpds
122,EX_hislysthr_e
123,AASAD1
124,FBA
125,EX_ileargile_e
126,COUCOAFm
127,SK_trnacys_c
128,EX_fadh2_c
129,ACALDCD
130,LYSTYRILEt
131,4HBZCOAFm
132,FACOAE141
133,RTOT4_cho
134,QUILSYN
135,SK_trnaala_c
136,HISD_c
137,BDMT_c
138,PAPA161
139,FADDP
140,PGMmc
141,OCTDPtmt
142,G13MT_cho
143,EX_lyspheile_e
144,GLDBRAN
145,PTD1INOt
146,34HPLtm
147,MI3PP
148,G12MT1_cho
149,METHFtxc
150,RBK
151,TRPO2
152,SK_trnaser_c
153,PYRDC2
154,3HBCOAHL
155,PYDXO
156,HISLYSTHRr
157,HHDHL7
158,DURIPP
159,GDPMNH
160,HIBD
161,AM6SAD
162,GLCNACT_L
163,DADNK
164,PUNP2
165,MCITLmc
166,GLPASE1
167,EX_hb_e
168,NTRIR3ppc
169,ECOAH12
170,ILEARGILEt
171,ILEARGILEr
172,DURIK1
173,GLCNACPT_c
174,AMCOXO
175,FACOAE120
176,THMMPt4_1
