,rxns_added
0,PAPA161
1,NTRIR4ppc
2,EX_lyspheile_e
3,AM6SAD
4,acoa_prod13
5,PINOS
6,SK_trnaasn_c
7,LYSPHEILEt
8,PGMmc
9,SK_trnapro_c
10,SK_trnamet_c
11,H2Ot
12,PHEMEtm
13,HCO3E
14,AGDI_1
15,PLDPE_STC_STC_c
16,GMPR
17,FACOAE141
18,P5CDm
19,KYN3OX
20,MI1PP
21,NAt5
22,NTRIR3ppc
23,SK_trnaphe_c
24,GLPASE2a
25,AGPATCOA_PALM_PALM_c
26,MALS
27,CITACt
28,VALTA
29,ACOADH2
30,SK_trnagly_c
31,ARTFR32_cho
32,HIBHr
33,FKYNH
34,T4HCINNMFM
35,EX_lyslyslys_e
36,lipid2
37,QUILSYN
38,ILEARGILEr
39,ACOAR7mc
40,G3PAT160_1
41,METHFtxc
42,r1467
43,NADK
44,EX_thmmp_e
45,CO2tmt
46,lipid4
47,3HAO
48,EX_ileargile_e
49,Hfv
50,THMMPt4_1
51,EX_ptd1ino_e
52,LPLIPAL1E141
53,HBZOPTm
54,CBPAH
55,FACOAE160
56,PGCD
57,HXAt
58,ACALDCD
59,ASPTA6
60,PLDPE_PALM_PALM_c
61,GLBRAN
62,AATA
63,GLGNS1
64,SK_trnaser_c
65,34HPPt2m
66,RBK
67,PRO1xm
68,LYSPHEILEr
69,G3PAT140_c
70,lipid5
71,PCLAD
72,GLPASE1
73,LYSLYSLYSr
74,FADDP
75,H2O2t
76,AASAD2
77,COUCOAFm
78,GTHRDH_syn
79,SK_trnatyr_c
80,r1579
81,GAT_c
82,SK_trnaile_c
83,HBtr
84,LYSTYRILEr
85,G3PT
86,FE3Ri
87,SK_trnaleu_c
88,pail_uptake
89,SK_trnaarg_c
90,EX_pail_e
91,FACOAE180
92,SK_trnatrp_c
93,ACITL
94,LYSTYRILEt
95,MCITLmc
96,OPHHXm
97,OPHBDCm
98,HMGLB
99,THRTHRARGr
100,ACCOAtm_1
101,lipid3
102,SK_trnalys_c
103,R07456
104,GLDBRAN
105,SACCD2
106,SK_trnathr_c
107,PDYXPT_c
108,lipid1
109,PGLc
110,TRPO2
111,SK_trnahis_c
112,SACCD1
113,MMSDHir
114,r0822
115,ICL
116,GTHOXti
117,PEFLIP
118,MI3PP
119,ETHAAL
120,TMPK
121,FAOXC1811603m
122,GLNGLU
123,FAOXC80
124,PLDPE_MYRS_MYRS_c
125,PLIPA2E141
126,SK_trnagln_c
127,AMCOXO
128,PSERT
129,EX_thrthrarg_e
130,PYDXO
131,NNDPR
132,FACOAE80
133,MAGAH160
134,GTHPe
135,GMPt6
136,SK_trnaala_c
137,PSP_L
138,OCTDPtmt
139,SK_trnaasp_c
140,HISD_c
141,DAGAH_PALM_PALM_c
142,RTOT3_cho
143,4HBZCOAFm
144,THRTHRARGt
145,lipid10
146,EX_hb_e
147,EX_lystyrile_e
148,CITL
149,SK_trnacys_c
150,r1923
151,FACOAE100
152,HKYNH
153,SK_trnaval_c
154,ACP1_FMN
155,4HBZFm
156,LYSLYSLYSt
157,PTD1INOt
158,r0911
159,34HPLFM
160,FACOAE120
161,LPS
162,PIPLC
163,GGNG
164,UDPGtnic
165,O2tm
166,EX_fadh2_c
167,HACOADr
168,FBA
169,ILEARGILEt
170,acoa_prod7
