,rxns_added
0,LYSLYSLYSt
1,PSERT
2,AATA
3,HKYNH
4,EX_lyslyslys_e
5,HISD_c
6,PSP_L
7,LYSTYRILEt
8,H2Ot
9,HCO3E
10,PTRCtex2
11,FBA
12,FACOAE160
13,EX_ileargile_e
14,AASAD2
15,PGCD
16,PCLAD
17,LYSPHEILEt
18,THRTHRARGr
19,EX_glucan1500_e
20,PDYXPT_c
21,EX_thrthrarg_e
22,LYSLYSLYSr
23,ILEARGILEt
24,LYSTYRILEr
25,NAt5
26,ACOAR7mc
27,TRPO2
28,NH4t
29,HMGLB
30,UREA
31,GLUCAN2abc
32,NTRIR3ppc
33,EX_lystyrile_e
34,ACOADH2
35,GMPt6
36,CITACt
37,ASPTA6
38,GLS2
39,EX_hb_e
40,SACCD1
41,FKYNH
42,HIBHr
43,LYSPHEILEr
44,HBtr
45,HACOADr
46,r1953
47,THRTHRARGt
48,AM6SAD
49,KYN3OX
50,PUNP1
51,SACCD2
52,EX_lyspheile_e
53,Hfv
54,3HAO
55,GLS2e
56,MMSDHir
57,PUNP3
58,CITL
59,r1801
60,PYDXO
61,MCITLmc
62,ILEARGILEr
63,AMCOXO
64,VALTA
