,rxns_added
0,r1830
1,PPM2
2,AOBUTDs
3,FORAMD
4,MALS
5,SO4HCOtex
6,VALLYSTYRt
7,LYSLYSLYSt
8,SO4t_e
9,LEULEUTRPt
10,GLUCAN2abc
11,HISLYSILEt
12,ILESERARGr
13,ILEASNHISt
14,ME1
15,EX_pap_e
16,NTPTP1
17,XAND
18,GTHPe
19,EX_cysleuthr_e
20,PDYXPT_c
21,ARGDC
22,ACALD
23,HCO3E
24,ALLTAMH
25,GUAD_1
26,ATNAHc
27,THRTHRARGr
28,BPNT
29,EX_thrthrarg_e
30,EX_valleuphe_e
31,AGDI_1
32,GLXCL
33,ANNAT
34,CYSLEUTHRt
35,EX_lyslyslys_e
36,SERLYSHISt
37,PROPAT4te
38,DGTPtmc
39,ARGSERSERt
40,ILEASNHISr
41,ADK2
42,UGLYCH
43,EX_leuleutrp_e
44,CBPAH
45,VALLYSTYRr
46,CYSGLUexR
47,PTRCtex2
48,EX_ileserarg_e
49,EX_vallystyr_e
50,r1600
51,GLUSfx
52,GLYDHDA
53,CYSLEUTHRr
54,LEULEUTRPr
55,LYSLYSLYSr
56,MK8t
57,PYDXO_1
58,NMNP
59,ALATA_L
60,EX_serlyshis_e
61,LYSTYRILEr
62,ARGSERSERr
63,NADHDH
64,SERLYSHISr
65,FERIRDe
66,PSERT
67,ALAALACNc
68,TRSARyr
69,PGK_pf
70,HISD_c
71,H2O2t
72,EX_ileasnhis_e
73,AMOc
74,PYDXO
75,LYSTYRILEt
76,GLCt1
77,PUNP4
78,NMNR
79,GLS2
80,GLS2e
81,URIC
82,THRTHRARGt
83,EX_hislysile_e
84,PSP_L
85,ILESERARGt
86,HISLYSILEr
87,GLYCK2
88,EX_glucan1500_e
89,VALLEUPHEt
90,VALLEUPHEr
91,GLYCLTDy
92,FDH3
93,PAPt
94,EX_lystyrile_e
95,EX_mqn8_e
96,PGCD
97,GTHOXti
98,DRPA
