,rxns_added
0,PSP_L
1,HIBHc
2,EX_lystyrile_e
3,EX_lyspheile_e
4,NADPN
5,EX_asnpheasp_e
6,AATA
7,UMPK7
8,EX_thrasntyr_e
9,CITL
10,SACCD2
11,NCNt
12,THRASNTYRr
13,LYSTYRILEt
14,FKYNH
15,LYSTYRILEr
16,ILEASNHISt
17,GTHRDH_syn
18,HBtr
19,ILEASNHISr
20,LYSPHEILEr
21,ILEARGILEr
22,FBA
23,KYN3OX
24,ACOADH2
25,H2O2t
26,ASNPHEASPt
27,MALS
28,ILEARGILEt
29,ASPTA6
30,NCAMUP
31,GLUCAN2abc
32,GTHPe
33,NADPNe
34,THRASNTYRt
35,NTRIR3ppc
36,GLS2e
37,HISD_c
38,MCITLmc
39,EX_ileargile_e
40,PDYXPT_c
41,AMCOXO
42,EX_nadp_e
43,TRPO2
44,GTHOXti
45,EX_glucan1500_e
46,GMPR
47,AM6SAD
48,LYSPHEILEt
49,EX_ileasnhis_e
50,EX_lyslyslys_e
51,PYDXO
52,PGCD
53,AASAD2
54,SACCD1
55,MMTSAO
56,VALTA
57,NADK3
58,PCLAD
59,LYSLYSLYSt
60,PSERT
61,LYSLYSLYSr
62,3HAO
63,HCO3E
64,r1579
65,GMPt6
66,Hfv
67,HMGLB
68,GLYO1
69,GLS2
70,CITACt
71,EX_hb_e
72,HKYNH
73,ASNPHEASPr
74,AKO
75,HMR_9642
76,ECOAH12
77,HMNOc
78,H2Ot
