,rxns_added
0,PLDPE_MYRS_MYRS_c
1,SK_trnatrp_c
2,OCTDPtmt
3,THRASNTYRt
4,THMMPt4_1
5,SK_trnaala_c
6,4HBZFm
7,TRPO2
8,MTHFC_1
9,ASPTA6
10,PTD1INOt
11,r2034
12,Hfv
13,SULO
14,OPHHXm
15,GLPASE1
16,GMPt6
17,MDRPD
18,HMGLB
19,HIBD
20,CITACt
21,O2tm
22,34HPLFM
23,GTHRDH_syn
24,ASNPHEASPr
25,GGNG
26,r0686
27,HBZOPTm
28,FKYNH
29,PAPA1819Z1819Z
30,MALSm
31,ILEASNHISr
32,NH4t
33,NADK
34,FE3Ri
35,LPLIPAL1E141
36,SK_trnaasp_c
37,LYSTYRILEt
38,SUCOAACTr
39,3HAO
40,DKMPPD2
41,HKYNH
42,EX_thrasntyr_e
43,PAPA161
44,HPROym
45,PDYXPT_c
46,SK_trnaphe_c
47,SK_trnaasn_c
48,EX_lyslyslys_e
49,SK_trnalys_c
50,PGMfc
51,FACOAE60
52,MTHFD
53,GLPASE2a
54,LYSLYSLYSr
55,MTAP
56,ASPtmt
57,THRASNTYRr
58,FACOAE80
59,EX_hb_e
60,PLIPA2E120
61,ECOAH2c
62,SK_trnaile_c
63,EX_ileasnhis_e
64,lipid2
65,MALS
66,FACOAE141
67,SK_trnamet_c
68,ILEASNHISt
69,EX_asnpheasp_e
70,H2Ot
71,TMPK
72,lipid5
73,METHFtxc
74,PFLACTm
75,EX_thmmp_e
76,EX_ptd1ino_e
77,lipid4
78,EX_lystyrile_e
79,AATA
80,HCO3E
81,PEFLIP
82,GLDBRAN
83,LYSLYSLYSt
84,CO2tmt
85,FUMtm
86,SK_trnaval_c
87,PSP_L
88,MTRI
89,SK_trnagly_c
90,SACCD1
91,H2O2t
92,EX_fad_e
93,lipid10
94,ARTCOAL1
95,SK_trnahis_c
96,EHGLAT2m
97,GLGNS1
98,PLDPE_STC_STC_c
99,GLNGLU
100,SK_trnacys_c
101,ILEARGILEt
102,RBK
103,FBA
104,CITL
105,PYDXO
106,34HPPt2m
107,PGLc
108,LPLIPAL1E120
109,VALTA
110,DDPGAm
111,AM6SAD
112,FACOAE100
113,ACOADH2
114,AASAD2
115,GTHOXti
116,KYN3OX
117,ICL
118,MI1PP
119,MCITLmc
120,FACOAE120
121,lipid1
122,SK_trnathr_c
123,ACChex
124,OPHBDCm
125,SK_trnaser_c
126,LYSTYRILEr
127,QUILSYN
128,SK_trnaleu_c
129,PLDPE_PALM_PALM_c
130,NCPA_c
131,CYSLY3
132,PINOS
133,NNDPR
134,ASNPHEASPt
135,ACP1_FMN
136,4HBZCOAFm
137,SK_trnagln_c
138,SK_trnapro_c
139,HIBHr
140,NTRIR3ppc
141,AMCOXO
142,MMSAD1
143,PHEMEtm
144,UDPGtnic
145,EX_ileargile_e
146,G3PT
147,HBtr
148,HMR_4957
149,T4HCINNMFM
150,ILEARGILEr
151,FADDP
152,r0870
153,GLYO1
154,GLBRAN
155,GMPR
156,PSERT
157,SK_trnaarg_c
158,AGDI_1
159,COUCOAFm
160,HISD_c
161,PGCD
162,PLIPA2E141
163,SACCD2
164,GTHPe
165,PCLAD
166,R07456
167,SK_trnatyr_c
168,4HPRO_LTtm
